factset_entity_id,total_aum
000D1Q-E,179440
000C6K-E,NULL
000C8R-E,895
000CGW-E,246845
000D7G-E,NULL
000DPG-E,2601
000FF4-E,NULL
000P57-E,NULL
000PQ2-E,NULL
000PQ4-E,NULL
000PZ3-E,NULL
000PZ6-E,NULL
000Q6V-E,NULL
000Q9Z-E,NULL
000QVM-E,NULL
000R3V-E,NULL
000RBJ-E,NULL
009VC4-E,239
000SSQ-E,NULL
000SSY-E,NULL
000SWB-E,NULL
05FWB8-E,NULL
000T57-E,NULL
000T90-E,NULL
000TBC-E,NULL
000F6K-E,3300
05FFH1-E,NULL
05QBT3-E,201816
000TRY-E,NULL
05L7D5-E,NULL
000TTB-E,NULL
06XM2Y-E,NULL
000V4B-E,NULL
000V67-E,NULL
000VCJ-E,NULL
08BW9N-E,1561
000VKD-E,NULL
000VRV-E,NULL
000VVS-E,NULL
000W5D-E,NULL
000W78-E,NULL
000WHF-E,NULL
000WX9-E,NULL
000WYY-E,NULL
000X3M-E,NULL
000XRL-E,NULL
000XTC-E,NULL
000XTG-E,NULL
000XTX-E,NULL
000XYT-E,NULL
09S82D-E,NULL
000YM9-E,NULL
000YNK-E,NULL
0KGGLG-E,NULL
000YRF-E,NULL
05NR69-E,NULL
000YSW-E,NULL
000Z08-E,NULL
000Z1B-E,NULL
000Z45-E,694
000Z85-E,NULL
000Z9P-E,NULL
05P4TS-E,NULL
000ZCB-E,NULL
0KGFWM-E,NULL
000ZF0-E,NULL
000ZFK-E,NULL
000ZGN-E,NULL
001018-E,NULL
0D754C-E,11229
00DXTN-E,NULL
0DS9XT-E,1682
0010BM-E,NULL
05R3F3-E,NULL
0010D8-E,NULL
0010H1-E,NULL
0010RQ-E,NULL
0DTT62-E,NULL
0F9QQQ-E,NULL
0010TK-E,NULL
0010Z7-E,NULL
00112V-E,NULL
0G64MB-E,145
0G6BF8-E,256
00116S-E,NULL
0011BN-E,11201
0011BY-E,NULL
0011D1-E,NULL
0011HZ-E,NULL
0011J1-E,NULL
0011JT-E,NULL
0011L0-E,NULL
0GCW37-E,560
0011MR-E,NULL
0011NS-E,NULL
0011QF-E,NULL
0GCW47-E,189
0GCW71-E,289
0GDF54-E,704
000Y7M-E,NULL
05L98Q-E,NULL
0HY1P5-E,NULL
000FFT-E,182
0J5HCN-E,NULL
0J5T8M-E,NULL
0JSTH6-E,NULL
0JT9XD-E,NULL
000LXL-E,NULL
0KQB8F-E,NULL
0L7TJW-E,NULL
0L8FRY-E,NULL
000PVR-E,24270
05FWHD-E,NULL
05QW89-E,NULL
000VN1-E,157
05Q6KK-E,NULL
000JGK-E,33643
000P8J-E,230318
05QWDD-E,91347
000P8M-E,182625
000Q6S-E,1401287
000R62-E,NULL
000R9G-E,118100
000RBG-E,4906
000V62-E,NULL
0011S4-E,NULL
0011SJ-E,NULL
0011TB-E,NULL
0011TN-E,574
0011TZ-E,NULL
0011WG-E,NULL
0011XG-E,NULL
0011XL-E,NULL
0FSC2H-E,521
00121H-E,NULL
00121Y-E,NULL
0L8GB5-E,NULL
00127C-E,NULL
0L8H6L-E,NULL
0L8JMR-E,NULL
0012L0-E,NULL
0L8JP7-E,NULL
0L8JPV-E,NULL
0L8JR6-E,NULL
0012NF-E,NULL
0L8JRP-E,NULL
0012RH-E,NULL
0012WM-E,NULL
0012YB-E,NULL
0L8JSK-E,NULL
0L8JT0-E,NULL
0L8JVQ-E,NULL
00134V-E,NULL
00134W-E,NULL
001357-E,NULL
0L8JZL-E,NULL
0013MY-E,NULL
0011QK-E,108404
00141F-E,NULL
0FL2ZS-E,179
00146Q-E,NULL
0014MW-E,NULL
0014VV-E,NULL
0015NZ-E,NULL
00161G-E,NULL
001685-E,NULL
0016C1-E,NULL
0L8JZN-E,NULL
0016HY-E,NULL
0016JR-E,NULL
0016L3-E,NULL
0016VC-E,NULL
0016XJ-E,NULL
0L8KF0-E,NULL
000TGV-E,75348
0FQY4G-E,NULL
0017G2-E,NULL
0017HB-E,NULL
0017ZB-E,NULL
0017ZL-E,NULL
0011TW-E,NULL
001850-E,NULL
0018BF-E,NULL
0018FV-E,NULL
0018FW-E,NULL
0018NJ-E,NULL
0018PD-E,NULL
0011V4-E,673
001980-E,NULL
0019H9-E,NULL
0FV7HT-E,1591
