factset_entity_id,total_aum,equity_aum
001H9G-E,,
05LP1G-E,63900,283
001HJ2-E,290,432
001HM3-E,,
001HPP-E,,142
001HPT-E,,
001HRL-E,,93
001HX6-E,,
001HY2-E,,
001J0L-E,,
05MBBG-E,,38
001J60-E,,1519
001J6H-E,,
001J97-E,11000,620
001JF0-E,,
001JFJ-E,,
001JJ5-E,,
001JJT-E,,
001JKR-E,,
001JLS-E,,
001JQ2-E,,
001JRC-E,,
001JRF-E,,
05T3TT-E,9556,727
001K09-E,,
001K3H-E,,
001K8W-E,,
063GGX-E,1211,47
001KC7-E,,
001KFN-E,,
001KJ7-E,1000,
001KMN-E,,
001KPM-E,12669,756
001KXQ-E,,
001L1R-E,,
001L20-E,,50
063SQQ-E,3710,710
001L49-E,,
001L5K-E,,
001L70-E,1900,127
001L7K-E,,
001L8L-E,,
001L9N-E,,
001LFQ-E,,
001LGK-E,,
001LH2-E,,
001LH5-E,76,
001LKQ-E,296,
001LS9-E,,
06JT7Z-E,,1
001LX3-E,,
001M2C-E,,
001M37-E,,
001MJQ-E,,
001KZT-E,,
001DYS-E,2987,
07M598-E,134,61
001J02-E,,
09YBFH-E,1023,209
0DMXSF-E,,19
0DLB6C-E,,108
05SK12-E,,31
000YS6-E,965327,502120
000Z93-E,129,88
000YND-E,10394,8521
001DP2-E,94952,1488
001F6V-E,,1
001JK7-E,793,564
000WWX-E,,82510
001FKZ-E,160906,109960
001GB0-E,1345,1046
002H4C-E,243,30
05V7ZV-E,,4910
06V5TT-E,,40
001J5M-E,1698,1600
001GY5-E,,1
05SL2P-E,,0
001MKF-E,,
001MQV-E,,
001MR3-E,,
001MRZ-E,,
001S4W-E,,797
001NBV-E,,81267
0FXWRQ-E,,7
001MV1-E,,
001MVG-E,,
001MWW-E,,
001N18-E,,
001N5T-E,,
001N60-E,,
001N85-E,,
001N9K-E,,
001ND6-E,,
05T80C-E,,8071
001NPL-E,,
001NY9-E,,
001NYG-E,,
001P2K-E,,
001P5F-E,2429,
0011MX-E,,20311
001P7Y-E,,
001PC1-E,,
001PDS-E,49,
06MRQ3-E,820,
001PKQ-E,,
0010FM-E,,223
001PSS-E,,
0012MH-E,2433,668
001Q5Q-E,,
001Q6P-E,,
001Q7H-E,,
001Q94-E,,
001QCJ-E,,
001QPY-E,,
001QS9-E,,
001QV0-E,,
001QW9-E,,
001QWK-E,,211
001R13-E,,
001R53-E,,
001RF0-E,,
001RK8-E,,
001RPR-E,,
001RR3-E,,
001RRZ-E,,
001S5B-E,,
001SBP-E,,
001SPB-E,,
001SVX-E,,
001T00-E,,
001T47-E,,
001T4W-E,,
001T9P-E,,
001TKL-E,,
001TLG-E,,
001TPC-E,,
001TY6-E,,
001TYJ-E,,
001V8S-E,,
001VKN-E,,
001VL8-E,,
001VMJ-E,,
001VPR-E,,10926
001W41-E,,
001WF8-E,175,
001WML-E,,
0011Z0-E,,1064
0012ZV-E,29743,1346
001Q4T-E,,
071CC7-E,,28
05V822-E,,0
0728H3-E,,10
001Q69-E,,
001T29-E,74184,2870
001Q8G-E,5024,
001R5D-E,998,954
05V7VS-E,,1
00132N-E,2482,770
001MJX-E,25398,22683
001R2G-E,885,727
0012LW-E,77513,14513
05TJMM-E,,281
001S4P-E,,676
0HX58Q-E,306,122
05V8D1-E,,2
001X1F-E,,
001X30-E,,
001X83-E,,
001X87-E,,
001X8Q-E,,
001X8R-E,,
001XCF-E,,
001XDJ-E,,
001XKH-E,3547,2629
072GB4-E,,5
001XX6-E,,
001XY8-E,,
001Y0B-E,,
001Y4F-E,,
001Y5T-E,,
072S15-E,,58
001Y77-E,,
001Y7K-E,,
073PS2-E,293,14
001Y8F-E,,
