"factset_entity_id","equity_aum"
"0G0H7D-E ",237
"0GVQ3R-E ",4
"0GVBQD-E ",542
"0GVBY1-E ",3045
"05K7XR-E ",17053
"0GZVFY-E ",18
"097XW3-E ",165
"0037CH-E ",672
"0C8L2V-E ",872
"0C8HZD-E ",183
"06171J-E ",2
"06Z0SL-E ",315
"0GSTZF-E ",113
"0CSM0M-E ",21
"003RX9-E ",1800
"062T7S-E ",1
"05W4GV-E ",6
"06LXCR-E ",0
"0GY0DP-E ",11
"0H1XDV-E ",0
"06G8GP-E ",11
"0DQN21-E ",6
"0C97TR-E ",28
"0C5GY7-E ",110
"0F1W39-E ",122
"07BHNN-E ",97
"0C22SM-E ",301
"0C6CCH-E ",8
"07BK9B-E ",906
"000VD2-E ",268
"000V62-E ",262
"000X3M-E ",568
"000XKH-E ",10350
"000Z93-E ",118
"05M8Q9-E ",66
"06F24Q-E ",7
"06F75W-E ",940
"07191G-E ",899
"0CCP6M-E ",192
"0C9V95-E ",32
"0BTWW3-E ",40
"0CX275-E ",91
"0CS7SC-E ",1
"0CSDFX-E ",54
"05K3RH-E ",10560
"0C8H4P-E ",1208
"05GWNF-E ",52
"05GZ8J-E ",653
"07ZRGF-E ",261
"0B18HD-E ",417
"0DD71G-E ",337
"0GQ89N-E ",1
"06YWLG-E ",350
"071TD1-E ",3
"0C7S5N-E ",134
"0C7NNV-E ",114
"0G4M2Q-E ",43
"0G4N35-E ",0
"0GHW8J-E ",6
"002JJY-E ",1526
"05RT5H-E ",116
"0GJ1Z4-E ",58
"0G055G-E ",0
"0D5MM5-E ",432
"0035GM-E ",273
"0B56P2-E ",7
"0024Q4-E ",3530
"0034Y0-E ",1189
"05NCLR-E ",1950
"0D3M1V-E ",60
"0D5RXG-E ",156
"008Y43-E ",110
"0B57LH-E ",531
"0GVP1N-E ",21
"0GVFFN-E ",4906
"0D3P98-E ",122
"05VWDJ-E ",99
"0BZYBY-E ",42
"05VMQ4-E ",938
"0FG27B-E ",1730
"0G1KQH-E ",14246
"0027V1-E ",0
"0028F4-E ",144
"05N4CM-E ",126
"05MZ1Y-E ",2153
"06N0X9-E ",508
"0DPMW4-E ",12
"07LJ6P-E ",1487
"0G53BF-E ",471
"0GZB2Q-E ",6
"0660NR-E ",1188
"0GT3KD-E ",0
"00D11S-E ",113
"05N7YY-E ",149
"08DHPH-E ",214
"0DV7BY-E ",956
"0BM32C-E ",132
"072LSN-E ",0
"0C8H0V-E ",159
"0GZRDC-E ",43
"0J3ZYF-E ",97
"066BY9-E ",13628
"00D17K-E ",4161
"00D085-E ",128
"00D1B6-E ",217
"00D1DK-E ",2358
"05K83B-E ",0
"05Q90T-E ",26
"003SXD-E ",657
"00377X-E ",161
"0H0HTX-E ",3629
"0H9VBG-E ",72
"05K7T2-E ",132
"0HVB34-E ",1044
"06LTD1-E ",187
"0DQVX5-E ",72
"0KFBF6-E ",3
"002K8G-E ",170953
"000VR8-E ",16
"002HLG-E ",713
"05M8NR-E ",162
"071FY0-E ",240
"07BXTD-E ",82
"0G62JZ-E ",400
"0G65PT-E ",16
"0C83PZ-E ",126
"07BQRK-E ",17
"07BYXS-E ",1
"0CKMJH-E ",12
"0B4CNX-E ",39
"0D44XG-E ",5
"0C9R3H-E ",162
"0CSJB1-E ",12636
"05GXG4-E ",9655
