factset_entity_id,total_aum,entity_sub_type,fds_13f_flag
001JWZ-E,1317,IA,1
001JQG-E,10462,IA,1
001M86-E,8736,HF,1
001MS7-E,143,IA,1
001MXZ-E,4020,IA,1
001N85-E,NULL,IN,0
001N9K-E,NULL,BR,0
001ND6-E,NULL,VC,0
001NPL-E,NULL,IA,1
001NY9-E,NULL,IA,1
001NYG-E,NULL,VC,0
001P2K-E,NULL,HF,0
001P5F-E,2429,VC,0
001P7Y-E,NULL,HF,1
001PC1-E,NULL,BR,0
001PDS-E,49,VC,0
001PFN-E,18421,IA,1
001NGD-E,1357,PB,1
001PKQ-E,NULL,HF,0
00298F-E,NULL,CP,1
0029CF-E,405,VC,0
0029RK-E,NULL,MF,1
0029TB-E,NULL,HF,0
0029VD-E,NULL,HF,1
0029VF-E,55,VC,0
002B0Y-E,NULL,HF,0
002FPX-E,NULL,PF,1
002B6L-E,NULL,IA,1
002BB8-E,NULL,MF,0
002BS9-E,2758,IA,1
002BJJ-E,NULL,IA,1
002BJN-E,NULL,IA,0
002BVF-E,NULL,IA,0
002BWL-E,NULL,IA,1
002BZT-E,NULL,IA,1
002C18-E,NULL,IA,0
002C4W-E,NULL,HF,1
002C68-E,NULL,HF,1
002C9T-E,NULL,IA,0
002CS4-E,NULL,IA,1
002CV8-E,NULL,CP,0
002CVM-E,NULL,IA,1
002CYG-E,NULL,IA,1
002D0Q-E,NULL,VC,0
002D10-E,NULL,IA,1
002D1M-E,NULL,VC,0
002D5P-E,NULL,IA,1
002C1K-E,NULL,FO,1
002DDZ-E,NULL,HF,1
002DKJ-E,NULL,HF,1
002DW3-E,20000,VC,0
002F3R-E,NULL,HF,0
002F3S-E,NULL,BR,0
002F5C-E,NULL,BR,0
002F7R-E,NULL,MF,0
006WRP-E,2205,HF,1
002FJJ-E,NULL,FU,0
002FL5-E,NULL,IA,0
002FMY-E,NULL,VC,1
002FP3-E,NULL,IA,1
002FPM-E,195,IA,1
002FSK-E,NULL,IA,1
002FV4-E,NULL,IA,0
002B2T-E,NULL,HF,0
002BY9-E,25320,IA,0
002CM4-E,1048,IA,1
00290F-E,NULL,BR,0
002DKP-E,795,PB,1
002BRP-E,NULL,PF,1
002CDB-E,118946,IA,1
002FTH-E,358772,IA,1
002DFH-E,609,PB,1
001PBJ-E,29756,IA,1
001P6G-E,1040,IA,1
001NBV-E,NULL,IA,1
002CCB-E,2285,IA,1
002CHW-E,3428,IA,1
002BX9-E,NULL,HF,0
002DFS-E,13494,HF,1
002B3Q-E,NULL,PF,1
002CZ9-E,NULL,HF,1
002D5Y-E,NULL,IA,1
002DC8-E,151,PB,1
002D46-E,7646,IA,1
0029W3-E,502,HF,1
002DBD-E,3181,IA,1
002B2S-E,NULL,BR,0
001NJZ-E,65552,IA,1
001NP4-E,148866,IA,1
005TJL-E,NULL,HF,0
002BSH-E,102955,MF,1
002C2Z-E,159307,MF,1
002CBF-E,2163,IA,1
002D6G-E,4339,IA,1
0029XN-E,3000,VC,1
002B7K-E,1700,IA,1
002CH3-E,25107,IA,1
002CS5-E,18699,HF,1
006753-E,NULL,IN,0
002CT0-E,1054,IA,1
002FV9-E,NULL,MF,1
002FVS-E,440,VC,0
002FX3-E,NULL,IA,1
002FXW-E,NULL,IA,0
002G02-E,NULL,IA,0
002G05-E,9900,FO,0
002G17-E,NULL,IA,1
002G23-E,NULL,IA,1
002G2M-E,NULL,IA,0
002G44-E,1202,PB,1
002HFM-E,NULL,IA,0
002G69-E,NULL,IA,1
002G6N-E,NULL,CP,0
002G6T-E,NULL,MF,0
002G6V-E,NULL,IA,1
002G71-E,260,IA,0
002HCJ-E,NULL,IA,1
002HCR-E,968,IA,1
002HCT-E,928,PB,1
002HCW-E,NULL,HF,1
002HD7-E,717,IA,0
002HDJ-E,NULL,CP,1
002HDM-E,NULL,IA,0
002HDN-E,NULL,IA,1
002HDP-E,NULL,IA,1
002HDR-E,67,HF,0
002HDT-E,NULL,IA,1
002HDZ-E,718,PB,1
002HF0-E,NULL,CP,0
002HF1-E,NULL,CP,0
002HF2-E,NULL,CP,0
002HF3-E,NULL,CP,0
002HF4-E,NULL,IA,1
002HF7-E,NULL,HF,1
002HF8-E,NULL,IA,0
002HF9-E,NULL,CP,0
002HFC-E,NULL,HF,1
002HFJ-E,NULL,PF,1
002HFN-E,NULL,PB,1
002HFS-E,NULL,HF,0
002HDD-E,NULL,IA,0
002HG5-E,NULL,IA,1
002HG9-E,NULL,IA,1
002HGD-E,NULL,IA,1
007JNW-E,1099,PB,1
002HGP-E,2218,IA,1
0080FS-E,427,PB,1
002HGX-E,NULL,CP,1
00849H-E,9400,IA,1
002HH3-E,NULL,IA,1
002HH9-E,NULL,HF,1
007M8J-E,47,HF,0
002HHD-E,NULL,IA,1
002HHP-E,NULL,IA,1
002HJ0-E,NULL,IA,1
007NVY-E,NULL,HF,0
002G63-E,527,IA,1
002G77-E,546,IA,1
002HCH-E,358,PB,1
002FZ2-E,1342,PB,1
002HHG-E,38439,IA,1
002HDX-E,417,IA,1
002HCN-E,NULL,PB,1
0080HS-E,2126,IA,0
002FYM-E,490,PB,1
002G53-E,10893,IA,1
002FVQ-E,25937,HF,1
002HFG-E,300,IA,1
002HDF-E,2671,IA,1
002HG1-E,157,IA,1
002G76-E,347,PB,1
002HDL-E,NULL,IA,1
002G2B-E,1322,PB,1
002HF5-E,7861,PB,0
002HGS-E,224,IA,1
002G5X-E,42442,IA,1
002G25-E,14009,IA,1
002HGH-E,8598,IA,1
002HFW-E,870,PB,1
002HFK-E,NULL,PF,1
002HD4-E,46,IA,1
002HFB-E,651,PB,1
002HFD-E,7495,HF,1
002HGW-E,1374,IA,1
002HFV-E,2010,PB,1
002HFZ-E,36962,PB,1
002G4S-E,697,IA,1
002HGM-E,579,PB,1
002HH0-E,842,IA,1
002HH7-E,618,PB,1
002HHL-E,1829,PB,1
002G6D-E,11525,PB,1
002HGC-E,727,PB,1
002HGV-E,26613,IA,1
002HH8-E,1349,PB,1
002HHQ-E,35284,IA,1
002HDY-E,5886,HF,1
002FYS-E,4530139,MF,1
002HFX-E,6733,HF,1
002HHS-E,1269,IA,0
002HJ6-E,27741,IA,0
002HKW-E,301,IA,1
002HJG-E,733,IA,0
002HJH-E,NULL,IA,1
002HJK-E,NULL,IA,1
002HJL-E,NULL,IA,1
002HJQ-E,NULL,VC,0
002HJS-E,NULL,IA,1
002HJV-E,NULL,IA,0
002HJW-E,NULL,IA,1
002HJX-E,NULL,IA,1
002HK2-E,NULL,IA,0
002HK3-E,NULL,IA,0
002HK5-E,NULL,BR,0
002HK8-E,NULL,IA,1
002HKF-E,NULL,IA,1
002HKH-E,NULL,HF,1
002HKS-E,NULL,CP,0
002HKV-E,NULL,IA,1
002HKX-E,NULL,IA,1
002HL2-E,NULL,CP,0
002HL4-E,NULL,IA,0
002HL5-E,NULL,IA,1
002HLR-E,NULL,IA,1
002HLX-E,NULL,CP,0
002JSF-E,1297,IA,1
002JJ9-E,NULL,IA,1
002JJF-E,NULL,IA,0
002JJG-E,NULL,IA,1
002JJL-E,NULL,IA,1
002JK4-E,101,IA,0
002HLB-E,NULL,IA,0
002JKP-E,NULL,HF,1
002JKS-E,NULL,IA,1
002JL6-E,NULL,HF,1
002JLJ-E,NULL,HF,1
002JLK-E,NULL,IA,1
002JLQ-E,NULL,IA,1
002JHW-E,56889,IA,1
