factset_fund_id,fsym_id,adj_holding,reported_holding,Desktop Fund AUM
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04KV1V-E,HKM5XZ-S,7.0,7,0
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04GGQS-E,HKM5XZ-S,7.0,7,0
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04G2ZY-E,HKM5XZ-S,7.0,7,6
04HKRZ-E,HKM5XZ-S,7.0,7,
04G28W-E,HKM5XZ-S,7.0,7,0
04G28W-E,HKM5XZ-S,7.0,7,0
04G2ZY-E,HKM5XZ-S,7.0,7,6
04GD24-E,HKM5XZ-S,7.0,7,
04D5JD-E,HKM5XZ-S,7.0,7,
04D5JD-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04F9HZ-E,HKM5XZ-S,7.0,7,
04F9HZ-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04F5K0-E,HKM5XZ-S,7.0,7,
04C9Y8-E,HKM5XZ-S,7.0,7,
04C9Y8-E,HKM5XZ-S,7.0,7,
04L7R2-E,HKM5XZ-S,8.0,8,0
04C69Y-E,HKM5XZ-S,8.0,8,8
04L7R2-E,HKM5XZ-S,8.0,8,0
04G2ZY-E,HKM5XZ-S,8.0,8,6
04GD82-E,HKM5XZ-S,8.0,8,37
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04JJVD-E,HKM5XZ-S,8.0,8,8
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04KR12-E,HKM5XZ-S,8.0,8,47
04H0XB-E,HKM5XZ-S,8.0,8,
04G2ZY-E,HKM5XZ-S,8.0,8,6
04HKS1-E,HKM5XZ-S,8.0,8,
04G2ZY-E,HKM5XZ-S,8.0,8,6
04HKRZ-E,HKM5XZ-S,8.0,8,
04HKRZ-E,HKM5XZ-S,8.0,8,
04HKRZ-E,HKM5XZ-S,8.0,8,
04HKRZ-E,HKM5XZ-S,8.0,8,
04HQBZ-E,HKM5XZ-S,8.0,8,
04GJRY-E,HKM5XZ-S,8.0,8,28
04G28W-E,HKM5XZ-S,8.0,8,0
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04G2ZY-E,HKM5XZ-S,8.0,8,6
04HJVD-E,HKM5XZ-S,8.0,8,0
04D5JD-E,HKM5XZ-S,8.0,8,
04FYCR-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F9HZ-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F9HZ-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F9HZ-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04F5K0-E,HKM5XZ-S,8.0,8,
04CR0C-E,HKM5XZ-S,8.0,8,
04HM84-E,HKM5XZ-S,9.0,9,0
04HM53-E,HKM5XZ-S,9.0,9,0
04HM53-E,HKM5XZ-S,9.0,9,0
04HM53-E,HKM5XZ-S,9.0,9,0
04KNZP-E,HKM5XZ-S,9.0,9,13
04HM53-E,HKM5XZ-S,9.0,9,0
04J98J-E,HKM5XZ-S,9.0,9,0
04J98J-E,HKM5XZ-S,9.0,9,0
04H0XB-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04G4J9-E,HKM5XZ-S,9.0,9,33
04HKRZ-E,HKM5XZ-S,9.0,9,
04HKRZ-E,HKM5XZ-S,9.0,9,
04G28W-E,HKM5XZ-S,9.0,9,0
04G28W-E,HKM5XZ-S,9.0,9,0
04G2ZY-E,HKM5XZ-S,9.0,9,6
04G2ZY-E,HKM5XZ-S,9.0,9,6
04G2ZY-E,HKM5XZ-S,9.0,9,6
04FYCR-E,HKM5XZ-S,9.0,9,
04FYCR-E,HKM5XZ-S,9.0,9,
04D5JD-E,HKM5XZ-S,9.0,9,
04FYCR-E,HKM5XZ-S,9.0,9,
04D5JD-E,HKM5XZ-S,9.0,9,
04D5JD-E,HKM5XZ-S,9.0,9,
04FYCR-E,HKM5XZ-S,9.0,9,
04GQDT-E,HKM5XZ-S,9.0,9,
04FYCR-E,HKM5XZ-S,9.0,9,
04FYCR-E,HKM5XZ-S,9.0,9,
04G579-E,HKM5XZ-S,9.0,9,
04F11B-E,HKM5XZ-S,9.0,9,
04F11B-E,HKM5XZ-S,9.0,9,
04F11B-E,HKM5XZ-S,9.0,9,
04KW0Q-E,HKM5XZ-S,10.0,10,10
04L5D4-E,HKM5XZ-S,10.0,10,10
04KW0Q-E,HKM5XZ-S,10.0,10,10
04L5D4-E,HKM5XZ-S,10.0,10,10
04KW0Q-E,HKM5XZ-S,10.0,10,10
04KW0Q-E,HKM5XZ-S,10.0,10,10
04KW0Q-E,HKM5XZ-S,10.0,10,10
04GD82-E,HKM5XZ-S,10.0,10,37
04KR12-E,HKM5XZ-S,10.0,10,47
04KR12-E,HKM5XZ-S,10.0,10,47
04KYQR-E,HKM5XZ-S,10.0,10,10
04KR12-E,HKM5XZ-S,10.0,10,47
04KR12-E,HKM5XZ-S,10.0,10,47
04KR12-E,HKM5XZ-S,10.0,10,47
04HKRZ-E,HKM5XZ-S,10.0,10,
04D5K0-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04F2T6-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04F2T6-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04HM84-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04D5K0-E,HKM5XZ-S,10.0,10,0
04HM84-E,HKM5XZ-S,10.0,10,0
04G28W-E,HKM5XZ-S,10.0,10,0
04J993-E,HKM5XZ-S,10.0,10,
04J2GC-E,HKM5XZ-S,10.0,10,2951
04GD24-E,HKM5XZ-S,10.0,10,
04F9HZ-E,HKM5XZ-S,10.0,10,
04CC1G-E,HKM5XZ-S,10.0,10,
04D5JD-E,HKM5XZ-S,10.0,10,
04FDJP-E,HKM5XZ-S,10.0,10,
04FDJP-E,HKM5XZ-S,10.0,10,
04F11B-E,HKM5XZ-S,10.0,10,
04K950-E,HKM5XZ-S,11.0,11,11
04KHQM-E,HKM5XZ-S,11.0,11,0
04JBB5-E,HKM5XZ-S,11.0,11,0
04KR12-E,HKM5XZ-S,11.0,11,47
04JJVD-E,HKM5XZ-S,11.0,11,8
04GJRY-E,HKM5XZ-S,11.0,11,28
04KNZP-E,HKM5XZ-S,11.0,11,13
04JR1R-E,HKM5XZ-S,11.0,11,0
04KNZP-E,HKM5XZ-S,11.0,11,13
04HKS1-E,HKM5XZ-S,11.0,11,
04KBMQ-E,HKM5XZ-S,11.0,11,0
04KBMQ-E,HKM5XZ-S,11.0,11,0
04KBMQ-E,HKM5XZ-S,11.0,11,0
04J8LR-E,HKM5XZ-S,11.0,11,0
04KBMQ-E,HKM5XZ-S,11.0,11,0
04KBMQ-E,HKM5XZ-S,11.0,11,0
04KBMQ-E,HKM5XZ-S,11.0,11,0
04GD82-E,HKM5XZ-S,11.0,11,37
04GD82-E,HKM5XZ-S,11.0,11,37
04HM84-E,HKM5XZ-S,11.0,11,0
04HM84-E,HKM5XZ-S,11.0,11,0
04HM84-E,HKM5XZ-S,11.0,11,0
04BRD0-E,HKM5XZ-S,11.0,11,0
04HM84-E,HKM5XZ-S,11.0,11,0
04GJRY-E,HKM5XZ-S,11.0,11,28
04GJRY-E,HKM5XZ-S,11.0,11,28
04GJRY-E,HKM5XZ-S,11.0,11,28
04GJRY-E,HKM5XZ-S,11.0,11,28
04GJRY-E,HKM5XZ-S,11.0,11,28
04DCZX-E,HKM5XZ-S,11.0,11,0
04DCZX-E,HKM5XZ-S,11.0,11,0
04DCZX-E,HKM5XZ-S,11.0,11,0
04CQ41-E,HKM5XZ-S,12.0,12,0
04KR12-E,HKM5XZ-S,12.0,12,47
04DX83-E,HKM5XZ-S,12.0,12,0
04KNZP-E,HKM5XZ-S,12.0,12,13
04DX83-E,HKM5XZ-S,12.0,12,0
04JBB5-E,HKM5XZ-S,12.0,12,0
04DX83-E,HKM5XZ-S,12.0,12,0
04DX83-E,HKM5XZ-S,12.0,12,0
04HM53-E,HKM5XZ-S,12.0,12,0
04HM53-E,HKM5XZ-S,12.0,12,0
04HM53-E,HKM5XZ-S,12.0,12,0
04HM53-E,HKM5XZ-S,12.0,12,0
04DG3N-E,HKM5XZ-S,12.0,12,
04HM53-E,HKM5XZ-S,12.0,12,0
04GD82-E,HKM5XZ-S,12.0,12,37
04GD82-E,HKM5XZ-S,12.0,12,37
04GD82-E,HKM5XZ-S,12.0,12,37
04GD82-E,HKM5XZ-S,12.0,12,37
