factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM,Difference AUM,Difference Equity AUM
001JWR-E ,79200,28304,79200,28304,0,0
001JWZ-E ,1317,724,1317,724,0,0
001JZX-E ,,15485,,15485,0,0
001K6F-E ,4375,2711,4375,2711,0,0
001KPM-E ,12669,866,12669,866,0,0
001KSQ-E ,13388,9225,13388,9225,0,0
001L20-E ,,246,,246,0,0
001L25-E ,431,207,431,207,0,0
001L2N-E ,97089,87600,97089,87600,0,0
001L70-E ,1900,127,1900,127,0,0
001LHH-E ,1035,941,1035,941,0,0
001LNL-E ,,7701,,7701,0,0
001M86-E ,8570,4551,8570,4551,0,0
001ZRD-E ,,0,,0,0,0
001LWB-E ,4898,3965,4898,3965,0,0
001LWP-E ,7217,3782,7217,3782,0,0
001LWQ-E ,3125,2741,3125,2741,0,0
001LYX-E ,2909,2456,2909,2456,0,0
001M0W-E ,,5561,,5561,0,0
001M67-E ,2742,1066,2742,1066,0,0
001H7S-E ,172,168,172,168,0,0
001M89-E ,5614,5199,5614,5199,0,0
001MCT-E ,8830,7853,8830,7853,0,0
001MDY-E ,,6912,,6912,0,0
001MJ6-E ,,16468,,16468,0,0
001MJX-E ,25398,23326,25398,23326,0,0
001MS7-E ,143,51,143,51,0,0
001MSD-E ,996,230,996,230,0,0
001MTF-E ,,12021,,12021,0,0
001ZV4-E ,,8,,8,0,0
001MXZ-E ,4020,3837,4020,3837,0,0
001MYB-E ,2181,1513,2181,1513,0,0
001MYF-E ,291,143,291,143,0,0
001N09-E ,367,201,367,201,0,0
001N0P-E ,2800,2577,2800,2577,0,0
001N4W-E ,,430,,430,0,0
001NBV-E ,,84629,,84629,0,0
001NGD-E ,1357,940,1357,940,0,0
001NJZ-E ,65552,16460,65552,16460,0,0
001P6G-E ,1040,945,1040,945,0,0
001PBJ-E ,29756,20383,29756,20383,0,0
001PFN-E ,18421,10704,18421,10704,0,0
001PJY-E ,1856,1455,1856,1455,0,0
001PKW-E ,16584,15730,16584,15730,0,0
001PRH-E ,16840,13435,16840,13435,0,0
001Q0T-E ,2232,1223,2232,1223,0,0
001Q1T-E ,174,93,174,93,0,0
001QN6-E ,36260,4358,36260,4358,0,0
001QWK-E ,,373,,373,0,0
001R2G-E ,772,668,772,668,0,0
001R5D-E ,998,908,998,908,0,0
001RLW-E ,3915,3449,3915,3449,0,0
001S4P-E ,,663,,663,0,0
001S4W-E ,728,638,623,638,105,0
00290F-E ,,0,NO DATA,NO DATA,---,---
001T29-E ,72041,3074,72041,3074,0,0
001T5F-E ,80011,22875,80011,22875,0,0
001T6F-E ,7000,6389,7000,6389,0,0
001TCP-E ,4335,3353,4335,3353,0,0
001TFZ-E ,2632,1689,2632,1689,0,0
001TJR-E ,,362,,362,0,0
001TK8-E ,67863,19717,67863,19717,0,0
001TLD-E ,3854,1129,3854,1129,0,0
001TNS-E ,3167,1335,3167,1335,0,0
002B2S-E ,,15,,15,0,0
002BX9-E ,,3,,3,0,0
001VPR-E ,,10881,,10881,0,0
001VR9-E ,42972,2807,42972,2807,0,0
001W3Q-E ,,5626,,5626,0,0
002FPM-E ,195,150,164,150,31,0
001WQ7-E ,350,282,350,282,0,0
001X1H-E ,2856,1892,2856,1892,0,0
001XC9-E ,,5322,,5322,0,0
001XF9-E ,2951,1835,2951,1835,0,0
001XGV-E ,804,630,804,630,0,0
001XJ8-E ,,9404,,9404,0,0
001XKH-E ,3547,2740,3547,2740,0,0
001XN0-E ,331,290,331,290,0,0
001XP1-E ,50384,41758,50384,41758,0,0
001XPP-E ,,621,,621,0,0
001XQ7-E ,4248,1022,4248,1022,0,0
001XT4-E ,179309,20046,179309,20046,0,0
001XW9-E ,3792,2111,3792,2111,0,0
001Y1P-E ,1981,1507,1981,1507,0,0
001Y5Y-E ,112,0,112,0,0,0
001Y7Z-E ,4239,2710,4239,2710,0,0
001Y81-E ,197,0,197,0,0,0
001Y83-E ,35157,36754,35157,36754,0,0
001Y8B-E ,22105,10693,22105,10693,0,0
001Y9W-E ,806,374,806,374,0,0
001YCG-E ,2749,1669,2749,1669,0,0
001YD6-E ,43048,6128,43048,6128,0,0
001YF6-E ,4662,2383,4662,2383,0,0
001YN3-E ,4134,2596,4134,2596,0,0
001YNK-E ,,371,,371,0,0
001YPD-E ,,268,,268,0,0
001YQZ-E ,341,276,341,276,0,0
001YV7-E ,,0,,0,0,0
001YWB-E ,,8830,,8830,0,0
001YX3-E ,41520,4082,41520,4082,0,0
001Z1L-E ,597,535,567,535,30,0
001Z2Y-E ,41047,308,41047,308,0,0
001Z5Y-E ,,126,,126,0,0
001Z6B-E ,441,356,441,356,0,0
001Z79-E ,108,80,108,80,0,0
001ZF3-E ,163328,45090,163328,45090,0,0
001ZHV-E ,,107349,,107349,0,0
002G25-E ,10519,7954,10519,7954,0,0
001ZNW-E ,985,676,985,676,0,0
001ZP6-E ,,1818,,1818,0,0
001ZQ5-E ,252,133,252,133,0,0
001ZTT-E ,2428,1396,2428,1396,0,0
002H4C-E ,249,30,249,30,0,0
001ZY1-E ,,14079,,14079,0,0
002082-E ,433,229,433,229,0,0
00208Z-E ,,1140,,1140,0,0
00209B-E ,1569,989,1569,989,0,0
0020GL-E ,,25060,,25060,0,0
0020GT-E ,,0,,0,0,0
0020QN-E ,1480,1370,1480,1370,0,0
0020T6-E ,544,0,544,0,0,0
0020WJ-E ,4817,3643,4817,3643,0,0
0020Z0-E ,,148,,148,0,0
0021HG-E ,8292,3001,8292,3001,0,0
0021QB-E ,,115,,115,0,0
0021VT-E ,,525,,525,0,0
0022CW-E ,15439,5637,15439,5637,0,0
0022H4-E ,32100,17405,32100,17405,0,0
0022J9-E ,147,98,147,98,0,0
002340-E ,3321,1387,3321,1387,0,0
002384-E ,827,658,827,658,0,0
002187-E ,22619,19888,22619,19888,0,0
0023GR-E ,1418,1137,1418,1137,0,0
00245B-E ,744,242,744,242,0,0
0024GN-E ,295,213,295,213,0,0
0024MZ-E ,45758,13288,45758,13288,0,0
0024N0-E ,1944042,163,1944042,163,0,0
0024Q4-E ,21353,3530,21353,3530,0,0
002HGY-E ,,101,,101,0,0
0024SV-E ,,28347,,28347,0,0
0024VM-E ,,137,,137,0,0
0024VP-E ,36550,521,36550,521,0,0
