factset_entity_id,total_aum,Desktop Institution Position
001BXX-E,,
001C3W-E,,
001C59-E,,
001C6G-E,,
001CMV-E,,
001DN5-E,552.0,
001D0F-E,,
001DBD-E,,
001DCC-E,3400.0,
001DDN-E,,
001DKD-E,,
000TNX-E,940638.0,963666
00120M-E,2131.0,
0011WH-E,2095.0,
0DPBL5-E,,
0DWMSX-E,,
0HP39L-E,,
000TRW-E,783.0,
000VR8-E,,
0012X3-E,6200.0,
0FRKXL-E,,
000WMY-E,,
000WPQ-E,14063.0,2916717
0KVPJF-E,,
0011RH-E,,61084
0KVQ10-E,,
0KVQ4J-E,,
0KVQ8X-E,,
0011Y4-E,1901.0,
001207-E,19329.0,54989
00120G-E,1365.0,
00121D-E,43144.0,3594
001DPF-E,,
001DR8-E,,
001DTQ-E,,
001DTT-E,,
05SK12-E,,
001FCW-E,,
001FCX-E,,
001FCY-E,,
001FFM-E,,
05SL2P-E,,
001G54-E,,
001G5D-E,,
001GJD-E,,
0HQ5SW-E,,
001GPR-E,,
001GVT-E,,
001GZ3-E,,
001H1F-E,,
001H56-E,,
001H9G-E,,
001HJ2-E,290.0,
001HM3-E,,
0JJYC0-E,,
001HPP-E,,
001HPT-E,,
001HRL-E,,
001HX6-E,,
001HY2-E,,
001J0L-E,,
001J60-E,,
001J6H-E,,
001J97-E,11000.0,
001JF0-E,,
001JFJ-E,,
001JJ5-E,,
001JJT-E,,
001JKR-E,,
001JLS-E,,
001JQ2-E,,
001JRC-E,,
001JRF-E,,
001K09-E,,
001K3H-E,,
001K8W-E,,
001KC7-E,,
001KFN-E,,
001KJ7-E,1000.0,
001KMN-E,,
001KPM-E,12669.0,
001KXQ-E,,
001L1R-E,,
001L20-E,,
001L49-E,,
001L5K-E,,
001L70-E,1900.0,
001L7K-E,,
001L8L-E,,
001L9N-E,,
001LFQ-E,,
001LGK-E,,
001LH2-E,,
001LH5-E,76.0,
001LKQ-E,296.0,
0KGKNB-E,,
0KGLLB-E,,
0KGLP0-E,,
001LS9-E,,
0KGLW5-E,,
001LX3-E,,
0KGLXK-E,,
001M2C-E,,
001M37-E,,
0KGM9C-E,,
001MJQ-E,,
001KZT-E,,
001DYS-E,2987.0,
002H4C-E,243.0,
00787Y-E,574.0,0
05V7ZV-E,,
0638MV-E,,
07M598-E,134.0,0
09QHBL-E,,
001J02-E,,
09YBFH-E,1023.0,
0CRPT5-E,,
0DLB6C-E,,50
0DLDF8-E,,
000WWX-E,,
001GB0-E,1345.0,
001J5M-E,,
001JK7-E,793.0,
000YND-E,13519.0,
0FDF4P-E,,
06V5TT-E,,
0DMXSF-E,,
000YS6-E,1035310.0,16579
000Z93-E,129.0,
001DP2-E,94952.0,
001F6V-E,,
001FKZ-E,160906.0,0
001GY5-E,,
001MKF-E,,
001MQV-E,,
001MR3-E,,
001MRZ-E,,
05T80C-E,,
0FXWRQ-E,,
001MV1-E,,
001MVG-E,,
001MWW-E,,
0GDTXW-E,,
0H66PD-E,,
0H7985-E,,
001N18-E,,
0HX58Q-E,306.0,17597
001N5T-E,,
001N60-E,,
001N85-E,,
001N9K-E,,
001ND6-E,,
0J31X8-E,,
001S4W-E,623.0,
0J55ZC-E,,
001NPL-E,,
001NY9-E,,
001NYG-E,,
001P2K-E,,
001P5F-E,2429.0,
0010FM-E,,
001P7Y-E,,
0KKQC5-E,,
001PC1-E,,
001PDS-E,49.0,
0L79JS-E,,
001PKQ-E,,
0011MX-E,,62334
0L8D57-E,,
001PSS-E,,
0011Z0-E,,104695
001Q5Q-E,,
001Q6P-E,,
001Q7H-E,,
001Q94-E,,
001QCJ-E,,
001QPY-E,,
001QS9-E,,
001QV0-E,,
001QW9-E,,
