factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM
0010BP-E ,4231.0,2397,N/A,N/A
0010FM-E ,,215,N/A,N/A
0010SV-E ,,882,N/A,N/A
0010TK-E ,,80,N/A,N/A
00114R-E ,,1,N/A,N/A
001150-E ,24527.0,11038,N/A,N/A
0011M0-E ,285931.0,163145,N/A,N/A
0011MX-E ,,20538,N/A,N/A
0011QG-E ,173.0,165,N/A,N/A
001LRL-E ,1752.0,13,N/A,N/A
000VD2-E ,74072.0,268,N/A,N/A
0011RH-E ,,1026,N/A,N/A
0011TW-E ,,419,N/A,N/A
0011V4-E ,673.0,572,N/A,N/A
0011WH-E ,2095.0,1896,N/A,N/A
0011Y4-E ,1901.0,610,N/A,N/A
0011Z0-E ,,1195,N/A,N/A
001207-E ,19329.0,8321,N/A,N/A
00120G-E ,1365.0,588,N/A,N/A
00120M-E ,2131.0,172,N/A,N/A
00121D-E ,43144.0,32369,N/A,N/A
00122J-E ,2719.0,2692,N/A,N/A
00128H-E ,,11222,N/A,N/A
0012DH-E ,1279.0,571,N/A,N/A
0012LW-E ,77513.0,14520,N/A,N/A
0012MH-E ,1703.0,668,N/A,N/A
0012MS-E ,,646,N/A,N/A
0012X3-E ,6200.0,5751,N/A,N/A
0012ZV-E ,29099.0,4016,N/A,N/A
00132N-E ,2482.0,711,N/A,N/A
00134N-E ,2193.0,2405,N/A,N/A
001BQN-E ,233.0,200,N/A,N/A
001LTJ-E ,,7,N/A,N/A
0013BS-E ,23826.0,17590,N/A,N/A
0013X9-E ,25066.0,7836,N/A,N/A
001RH3-E ,76.0,41,N/A,N/A
0013ZM-E ,182.0,163,N/A,N/A
00140T-E ,28579.0,2087,N/A,N/A
00143D-E ,,247,N/A,N/A
0015NZ-E ,,55977,N/A,N/A
00161G-E ,,91,N/A,N/A
001SHD-E ,,4,N/A,N/A
0016VC-E ,,74,N/A,N/A
0016Z2-E ,,140,N/A,N/A
00176H-E ,1397.0,464,N/A,N/A
00179W-E ,,63972,N/A,N/A
0017DP-E ,712.0,520,N/A,N/A
001V32-E ,,1,N/A,N/A
0017ZL-E ,,13,N/A,N/A
00180K-E ,57824.0,184,N/A,N/A
00189R-E ,,3245,N/A,N/A
0018FV-E ,,3,N/A,N/A
0018XT-E ,36060.0,2645,N/A,N/A
001980-E ,,19,N/A,N/A
0019KF-E ,98186.0,21220,N/A,N/A
001BC5-E ,496035.0,140647,N/A,N/A
001WLL-E ,,34733,N/A,N/A
001CVY-E ,53882.0,41051,N/A,N/A
001D27-E ,,2984,N/A,N/A
001D77-E ,,45007,N/A,N/A
001DGK-E ,,24667,N/A,N/A
001DN5-E ,552.0,7,N/A,N/A
001DP2-E ,94952.0,1630,N/A,N/A
001DPF-E ,,438,N/A,N/A
001F5Z-E ,,97,N/A,N/A
001FCW-E ,,120,N/A,N/A
001FKZ-E ,160906.0,114366,N/A,N/A
001FQ5-E ,774.0,669,N/A,N/A
001GB0-E ,1345.0,1032,N/A,N/A
001GCK-E ,,3447,N/A,N/A
001GH1-E ,,88,N/A,N/A
001GM8-E ,4888.0,4339,N/A,N/A
001K96-E ,,2040,N/A,N/A
001H78-E ,5590.0,4172,N/A,N/A
001H9C-E ,686.0,452,N/A,N/A
001HBR-E ,20279.0,17201,N/A,N/A
001HJ2-E ,290.0,460,N/A,N/A
001HP4-E ,,0,N/A,N/A
001HPP-E ,,0,N/A,N/A
001HRL-E ,,105,N/A,N/A
001J20-E ,393.0,121,N/A,N/A
001J5M-E ,,1636,N/A,N/A
001J5S-E ,7800.0,1818,N/A,N/A
001J60-E ,,1519,N/A,N/A
001J97-E ,16000.0,749,N/A,N/A
001JJ6-E ,6991.0,5758,N/A,N/A
001JK7-E ,793.0,585,N/A,N/A
001JQG-E ,10462.0,8791,N/A,N/A
001JWR-E ,79200.0,28304,N/A,N/A
001JWZ-E ,1317.0,724,N/A,N/A
001JZX-E ,,15485,N/A,N/A
001K6F-E ,4375.0,2711,N/A,N/A
001KPM-E ,12669.0,866,N/A,N/A
001KSQ-E ,13388.0,9225,N/A,N/A
001L20-E ,,246,N/A,N/A
001L25-E ,431.0,207,N/A,N/A
001L2N-E ,97089.0,87600,N/A,N/A
001L70-E ,1900.0,127,N/A,N/A
001LHH-E ,1035.0,941,N/A,N/A
001LNL-E ,,7701,N/A,N/A
001M86-E ,8570.0,4551,N/A,N/A
001ZRD-E ,,0,N/A,N/A
001LWB-E ,4898.0,3965,N/A,N/A
001LWP-E ,7217.0,3782,N/A,N/A
001LWQ-E ,3125.0,2741,N/A,N/A
001LYX-E ,2909.0,2456,N/A,N/A
001M0W-E ,,5561,N/A,N/A
001M67-E ,2742.0,1066,N/A,N/A
001H7S-E ,172.0,168,N/A,N/A
001M89-E ,5614.0,5199,N/A,N/A
001MCT-E ,8830.0,7853,N/A,N/A
001MDY-E ,,6912,N/A,N/A
001MJ6-E ,,16468,N/A,N/A
001MJX-E ,25398.0,23326,N/A,N/A
001MS7-E ,143.0,51,N/A,N/A
001MSD-E ,996.0,230,N/A,N/A
001MTF-E ,,12021,N/A,N/A
001ZV4-E ,,8,N/A,N/A
001MXZ-E ,4020.0,3837,N/A,N/A
001MYB-E ,2181.0,1513,N/A,N/A
001MYF-E ,291.0,143,N/A,N/A
001N09-E ,367.0,201,N/A,N/A
001N0P-E ,2800.0,2577,N/A,N/A
001N4W-E ,,430,N/A,N/A
001NBV-E ,,84629,N/A,N/A
001NGD-E ,1357.0,940,N/A,N/A
