factset_fund_id,aum,equity_aum,Desktop AUM,Desktop Equity AUM,Difference AUM,Difference Equity AUM
04DSJS-E ,77804160,8497328,77804160,8497328,0,0
04HVR1-E ,4154638,1908329,4154638,1908329,0,0
04D3MF-E ,13031514,,13031514,,0,0
04H1KT-E ,,,,,0,0
04H1NW-E ,,,,,0,0
04HQ18-E ,,,,,0,0
04GDMB-E ,,,,,0,0
04F82V-E ,2082106223,,2082106223,,0,0
04H1F6-E ,12625794,14204048,12625794,14204048,0,0
04DSFM-E ,,,,,0,0
04FGRN-E ,27061348,341963369,27061348,341963369,0,0
04KZ37-E ,,,,,0,0
04DYPH-E ,,,,,0,0
04F1N9-E ,,,,,0,0
04F6DH-E ,211646541,9129172,211646541,9129172,0,0
04J8YN-E ,6364353722,6364353722,6364353722,6364353722,0,0
04F623-E ,31063940,,31063940,,0,0
04HQ7Y-E ,1893366294,1497500578,1893366294,1497500578,0,0
04F9G5-E ,235020191,215125879,235020191,215125879,0,0
04F71Q-E ,97488752,120052394,97488752,120052394,0,0
04CVYC-E ,,455350359,,455350359,0,0
04B8S2-E ,138837341,159774497,138837341,159774497,0,0
04KS8N-E ,,452595863,,452595863,0,0
04F9DF-E ,,327222168,,327222168,0,0
04C312-E ,,596095845,,596095845,0,0
04K91L-E ,153671009,2686806863,153671009,2686806863,0,0
04C34J-E ,,3145064526,,3145064526,0,0
04DX63-E ,,154017114,,154017114,0,0
04JVRZ-E ,,15103374,,15103374,0,0
04BR78-E ,1324865074,2244410457,1324865074,2244410457,0,0
04BQJW-E ,411488384,988706396,411488384,988706396,0,0
04JCBL-E ,,112428086,,112428086,0,0
04KJMW-E ,,7709457,,7709457,0,0
04HXMK-E ,,58478865,,58478865,0,0
04L610-E ,,97698505,,97698505,0,0
04D3R6-E ,310189,1729843,310189,1729843,0,0
04BXCT-E ,327413239,972143596,327413239,972143596,0,0
04KTV4-E ,22662462,31417834,22662462,31417834,0,0
04L7GX-E ,,11664983,,11664983,0,0
04DVZ8-E ,144190666,1906907134,144190666,1906907134,0,0
04F33W-E ,26276378,8494,26276378,8494,0,0
04BVVB-E ,43359096,99198842,43359096,99198842,0,0
04F57B-E ,41464311,48984167,41464311,48984167,0,0
04BVH7-E ,245391314,2461926327,245391314,2461926327,0,0
04J79B-E ,93409295,122906096,93409295,122906096,0,0
04CMY8-E ,,880490111,,880490111,0,0
04HPCL-E ,49706096,58336494,49706096,58336494,0,0
04BHR2-E ,62470395,1394507973,62470395,1394507973,0,0
04JL2R-E ,,8094572,,8094572,0,0
04HNWB-E ,903855083,544403491,903855083,544403491,0,0
04B9JB-E ,320834371,1059582522,320834371,1059582522,0,0
04FJ6M-E ,621885145,12078278,621885145,12078278,0,0
04J8JC-E ,22174887089,22174887090,22174887089,22174887090,0,0
04JDCY-E ,,1116604050,,1116604050,0,0
04DXYK-E ,3247714,,3247714,,0,0
04B948-E ,,,,,0,0
04F820-E ,1899069611,3014829064,1899069611,3014829064,0,0
04F54J-E ,25831999,,25831999,,0,0
04JCT0-E ,,157101767,,157101767,0,0
04BL50-E ,,527006601,,527006601,0,0
04KQZ9-E ,,6508057,,6508057,0,0
04DF1N-E ,,,,,0,0
04F83N-E ,265390767,,265390767,,0,0
04CSRB-E ,,178813535,,178813535,0,0
04KBP1-E ,,140245008,,140245008,0,0
04BNV9-E ,257337329,383478199,257337329,383478199,0,0
04FWMJ-E ,,,,,0,0
04JZ1R-E ,7210084,4600102,7210084,4600102,0,0
04BNPK-E ,2061062125,3485425233,2061062125,3485425233,0,0
04FKC0-E ,1141587267,99399085,1141587267,99399085,0,0
04DHCY-E ,1146085387,51958480,1146085387,51958480,0,0
04BJ2Y-E ,235545155,246182455,235545155,246182455,0,0
04BPLC-E ,362140642,695335630,362140642,695335630,0,0
04GH8V-E ,,,,,0,0
04DHVD-E ,299180650,3934480,299180650,3934480,0,0
04DG4N-E ,148066946,349554059,148066946,349554059,0,0
04JKXG-E ,,14794461,,14794461,0,0
04GCW4-E ,301751257,24285241,301751257,24285241,0,0
04HJ9P-E ,18586553,74365763,18586553,74365763,0,0
04FJ6S-E ,157044813,19039668,157044813,19039668,0,0
04BNS1-E ,2351477447,4579147449,2351477447,4579147449,0,0
04BGXK-E ,,,,,0,0
04BL62-E ,16173295,,16173295,,0,0
04BXD2-E ,1676929870,3342107959,1676929870,3342107959,0,0
04KMFS-E ,36034965,36034965,36034965,36034965,0,0
04HW94-E ,205983537,247035541,205983537,247035541,0,0
04HYCH-E ,,619739007,,619739007,0,0
04JF5J-E ,,130653766,,130653766,0,0
04DPL9-E ,37427614,7694235,37427614,7694235,0,0
04L9DS-E ,5524475,6013860,5524475,6013860,0,0
04KLP5-E ,602338,12840216,602338,12840216,0,0
04JJDL-E ,,138562094,,138562094,0,0
04HXMJ-E ,,42222555,,42222555,0,0
04HZTH-E ,9322788,,9322788,,0,0
04CP6N-E ,125575244,,125575244,,0,0
04G4X0-E ,19559401470,15057607000,19559401470,15057607000,0,0
04DXPY-E ,,,,,0,0
04CY6Q-E ,8710186,,8710186,,0,0
04HZP7-E ,7516002,21355973,7516002,21355973,0,0
04BRWJ-E ,628757058,1481454319,628757058,1481454319,0,0
04GNN8-E ,66203725,9675676,66203725,9675676,0,0
04BY5J-E ,382232427,1054233764,382232427,1054233764,0,0
04DJCQ-E ,597730472,50680157,597730472,50680157,0,0
04F341-E ,41447953,37081508,41447953,37081508,0,0
04JCV9-E ,,629038210,,629038210,0,0
04H3NN-E ,17723186,17723186,17723186,17723186,0,0
04HMXB-E ,23707366,,23707366,,0,0
04HXYY-E ,222954136,,222954136,,0,0
04F62Y-E ,193850902,16425919,193850902,16425919,0,0
04BRB8-E ,830705223,880407485,830705223,880407485,0,0
04F689-E ,19909368,4134535,19909368,4134535,0,0
04B9KW-E ,2907691486,7129199536,2907691486,7129199536,0,0
04JQ6W-E ,564572128,416026352,564572128,416026352,0,0
04B9T3-E ,1070018041,1110309157,1070018041,1110309157,0,0
04BB09-E ,2168169074,2780615514,2168169074,2780615514,0,0
04JLW0-E ,,153603815,,153603815,0,0
04JTKP-E ,,104933938,,104933938,0,0
04KV34-E ,69015210,101512778,69015210,101512778,0,0
04KN1V-E ,33360284,55592271,33360284,55592271,0,0
04DJ4P-E ,111407435,15516787,111407435,15516787,0,0
04JBS3-E ,,30871816,,30871816,0,0
04J42F-E ,,272394434,,272394434,0,0
04B9XR-E ,174948367,1500205131,174948367,1500205131,0,0
04J3C2-E ,,77082723,,77082723,0,0
04KDKF-E ,,8130208,,8130208,0,0
04GCK1-E ,,225515145,,225515145,0,0
04K23W-E ,,108197022,,108197022,0,0
04K9F2-E ,,94809445,,94809445,0,0
04KTLZ-E ,299822,306620,299822,306620,0,0
04JQ58-E ,354477707,307794258,354477707,307794258,0,0
04JX7S-E ,,33934486,,33934486,0,0
04J5SK-E ,,124417667,,124417667,0,0
04L5HY-E ,4143003,7219479,4143003,7219479,0,0
04JHRY-E ,209250942,229838307,209250942,229838307,0,0
04F985-E ,847938234,1720981,847938234,1720981,0,0
04BG1N-E ,6113052,11092453,6113052,11092453,0,0
04J8JD-E ,20412087206,20412087207,20412087206,20412087207,0,0
04F619-E ,404024715,,404024715,,0,0
04HGQ0-E ,611943617,1416276567,611943617,1416276567,0,0
04F61G-E ,381054840,,381054840,,0,0
04KS49-E ,,32052430,,32052430,0,0
04DSXZ-E ,,11570757,,11570757,0,0
04F8H5-E ,437100637,,437100637,,0,0
04F86D-E ,,43268945,,43268945,0,0
04DXFL-E ,2445752,2445877,2445752,2445877,0,0
04JWT1-E ,,71549041,,71549041,0,0
04KMM3-E ,30174302,30174303,30174302,30174303,0,0
04DF1Q-E ,,,,,0,0
04J0B9-E ,,29609780,,29609780,0,0
04FX6X-E ,1571688,,1571688,,0,0
04FX6T-E ,79203,,79203,,0,0
04DHV5-E ,997870961,2056400,997870961,2056400,0,0
04FX1T-E ,292260802,24333176,292260802,24333176,0,0
04DQQJ-E ,207230449,203318285,207230449,203318285,0,0
04L6CG-E ,,2749984,,2749984,0,0
04BBN1-E ,788773911,1389453880,788773911,1389453880,0,0
04BWV7-E ,266260172,1503757612,266260172,1503757612,0,0
04FX88-E ,,,,,0,0
04BHZ4-E ,2057893292,3439031090,2057893292,3439031090,0,0
04GQG3-E ,103684540,492365519,103684540,492365519,0,0
04DXWV-E ,3570086,,3570086,,0,0
04HZSS-E ,25543610,,25543610,,0,0
04J435-E ,1825690,,1825690,,0,0
04KTDK-E ,,,,,0,0
04LBBH-E ,,,,,0,0
04L9VB-E ,,,,,0,0
04FHS7-E ,12060666797,12058281568,12060666797,12058281568,0,0
04G996-E ,,288939,,288939,0,0
04D3N4-E ,3294372,,3294372,,0,0
04L7PH-E ,8946231,,8946231,,0,0
04D552-E ,26591211,,26591211,,0,0
04D53N-E ,,,,,0,0
04DF9P-E ,,,,,0,0
04L68S-E ,43867845,,43867845,,0,0
04BV04-E ,26993872,26307546,26993872,26307546,0,0
04KQBY-E ,2821549133,5075999410,2821549133,5075999410,0,0
04D01R-E ,,1330984521,,1330984521,0,0
04B8JV-E ,17826759,23654836,17826759,23654836,0,0
04JX8X-E ,297322927,105946788,297322927,105946788,0,0
04DRXL-E ,,230062331,,230062331,0,0
04C8NS-E ,385005987,418816563,385005987,418816563,0,0
04HMVH-E ,156100391,3064617,156100391,3064617,0,0
04BB5L-E ,2921959705,4882342081,2921959705,4882342081,0,0
04JGXV-E ,42619141,31244715,42619141,31244715,0,0
04GS9S-E ,148643638,135757661,148643638,135757661,0,0
04B8NW-E ,3919495269,4752576347,3919495269,4752576347,0,0
04DRDK-E ,16258679,954403,16258679,954403,0,0
04FHNS-E ,373663389,78225842,373663389,78225842,0,0
04J06S-E ,86646496,118169995,86646496,118169995,0,0
