factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating,Style Desktop,Turnover Desktop,AUM Desktop,Equity AUM Desktop,Quality Rating Desktop,Targeting_Score Desktop,Position Desktop,STYLE MATCH,TURNOVER MATCH,POSITION MATCH,QR MATCH
069KMT-E,UBS Swiss Financial Advisers AG,0,Yield,Very Low,339.067815,58,Yield,Very Low,4145,362,58,46,0,TRUE,TRUE,TRUE,TRUE
069SKD-E,The Bollard Group LLC,2209,GARP,Very Low,2683.279602,75,GARP,Very Low,4941,2649,75,59,2209,TRUE,TRUE,TRUE,TRUE
069ZPJ-E,CapFinancial Partners LLC,2713,GARP,Low,2478.197691,60,GARP,Low,273979,2420,60,17,2713,TRUE,TRUE,TRUE,TRUE
06BJ1G-E,ClearBridge Investments LLC,1200000,GARP,Very Low,115199.6639,94,GARP,Very Low,130388,113894,94,94,1200000,TRUE,TRUE,TRUE,TRUE
06BXQL-E,Beaumont Financial Partners LLC,1272,GARP,Low,977.395537,61,GARP,Low,2021,922,61,45,1272,TRUE,TRUE,TRUE,TRUE
06C5QC-E,BlueMountain Capital Management LLC,0,Hedge Fund,High,4015.072495,28,Hedge Fund,High,17403,2533,28,21,0,TRUE,TRUE,TRUE,TRUE
06CCRX-E,Louisiana State Employees' Retirement System,11600,GARP,Very Low,2043.325143,65,GARP,Very Low,,2053,65,65,11600,TRUE,TRUE,TRUE,TRUE
06D2PY-E,"Securities America Advisors, Inc.",7874,Growth,Very Low,6913.017174,66,Growth,Very Low,21887,6310,66,,7874,TRUE,TRUE,TRUE,TRUE
06D6ZM-E,Legg Mason Asset Management (Japan) Co. Ltd.,2500,GARP,Low,96.523315,39,GARP,Low,38893,85,39,36,2500,TRUE,TRUE,TRUE,TRUE
06DB7L-E,FIAM LLC,118300,GARP,Low,42403.79727,82,GARP,Low,84566,48945,82,84,118300,TRUE,TRUE,TRUE,TRUE
06DTG8-E,Dividend Assets Capital LLC,0,GARP,Very Low,714.78716,65,GARP,Very Low,942,632,65,69,0,TRUE,TRUE,TRUE,TRUE
06F2CJ-E,One Capital Management LLC,0,GARP,Very Low,567.616063,64,GARP,Very Low,1379,615,64,77,0,TRUE,TRUE,TRUE,TRUE
06F9HC-E,Glaxis Capital Management LLC,0,Hedge Fund,Very High,58.011323,13,Hedge Fund,Very High,101,44,13,4,0,TRUE,TRUE,TRUE,TRUE
06FV4F-E,Ancora Family Wealth Advisors LLC,2345,Growth,Very Low,846.830935,60,Growth,Very Low,1307,757,60,64,2345,TRUE,TRUE,TRUE,TRUE
