factset_entity_id,fs_perm_sec_id,security_name,fsym_id,Match,Upper,Security,Mkt Val,Position,Mkt Value Desktop,Position Desktop
0011M0-E,TTHQS7-S-US,MEDTRONIC PLC  COM,TTHQS7-S,True,MEDTRONIC PLC  COM,Medtronic Plc  Com,571136424.0,5780148.0,526455880,5780148
0011M0-E,V9FMMN-S-US,MERCK & CO INC  COM,V9FMMN-S,True,MERCK & CO INC  COM,Merck & Co Inc  Com,66799161.0,768690.0,63931947,768690
0011M0-E,NV2X6X-S-US,METLIFE INC  COM,NV2X6X-S,True,METLIFE INC  COM,Metlife Inc  Com,2343280866.0,46429183.0,1976490320,46429183
0011M0-E,DQ7MZZ-S-GB,MICRO FOCUS INTERNATIONAL PLC  ORD,DQ7MZZ-S,True,MICRO FOCUS INTERNATIONAL PLC  ORD,Micro Focus International Plc  Ord,568815973.0,21000500.0,653161554,20828549
0011M0-E,C00L6P-S-US,MICRO FOCUS INTL PLC  SPONSORED ADR,C00L6P-S,True,MICRO FOCUS INTL PLC  SPONSORED ADR,Micro Focus Intl Plc  Sponsored Adr,814823023.0,29978772.0,931958194,29978772
0011M0-E,SY92RH-S-US,MICROCHIP TECHNOLOGY INC  COM,SY92RH-S,True,MICROCHIP TECHNOLOGY INC  COM,Microchip Technology Inc  Com,1677306039.0,18684483.0,1550064710,18684483
0011M0-E,DF3K29-S-US,MICROSOFT CORP  COM,DF3K29-S,True,MICROSOFT CORP  COM,Microsoft Corp  Com,4346877236.0,31622852.0,3729599165,31622852
0011M0-E,NK1W43-S-SE,MILLICOM INTL CELLULAR SA  SDR,NK1W43-S,True,MILLICOM INTL CELLULAR SA  SDR,Millicom Intl Cellular Sa  Sdr,451648049.0,7936436.0,483016019,7936436
0011M0-E,RRYBT2-S-JP,MITSUBISHI ELECTRIC CORP  ORD,RRYBT2-S,True,MITSUBISHI ELECTRIC CORP  ORD,Mitsubishi Electric Corp  Ord,1474343390.0,107612614.0,1464442193,113948500
0011M0-E,R5S5QK-S-JP,MITSUBISHI UFJ FINL GROUP INC  ORD,R5S5QK-S,True,MITSUBISHI UFJ FINL GROUP INC  ORD,Mitsubishi Ufj Finl Group Inc  Ord,804320921.0,166984500.0,829756000,166984500
0011M0-E,HY0FNH-S-US,MOLSON COORS BREWING CO  CL B,HY0FNH-S,True,MOLSON COORS BREWING CO  CL B,Molson Coors Brewing Co  Cl B,765838754.0,13468849.0,803416843,13468849
0011M0-E,D8DHJ7-S-US,MONDELEZ INTERNATIONAL INC  CL A,D8DHJ7-S,True,MONDELEZ INTERNATIONAL INC  CL A,Mondelez International Inc  Cl A,660790.0,11840.0,591053,11840
0011M0-E,C4BW2G-S-US,MOODYS CORP  COM,C4BW2G-S,True,MOODYS CORP  COM,Moodys Corp  Com,415351.0,2050.0,371235,2050
0011M0-E,X8M6VK-S-US,MOTOROLA SOLUTIONS INC  COM,X8M6VK-S,True,MOTOROLA SOLUTIONS INC  COM,Motorola Solutions Inc  Com,8405885.0,49339.0,6928182,49339
0011M0-E,TVPSG0-S-ZA,MTN GROUP LTD  ORD,TVPSG0-S,True,MTN GROUP LTD  ORD,Mtn Group Ltd  Ord,280735121.0,38010580.0,328017183,53274580
,,,,False,MULTICHOICE GROUP LTD  ORD,Multichoice Group Ltd  Ord,78022779.0,8086695.0,-,-
,,,,False,MURATA MANUFACTURING CO LTD  ORD,Murata Manufacturing Co Ltd  Ord,202367823.0,4391700.0,-,-
0011M0-E,D1N7DV-S-ZA,NASPERS LTD  ORD N,D1N7DV-S,True,NASPERS LTD  ORD N,Naspers Ltd  Ord N,1936738076.0,7836695.0,1810728174,7836695
0011M0-E,C37KN8-S-US,NATIONAL OILWELL VARCO INC  COM,C37KN8-S,True,NATIONAL OILWELL VARCO INC  COM,National Oilwell Varco Inc  Com,364177412.0,16720726.0,445440141,16720726
