fsym-id	Security	Ticker	Position	MV	factset_entity_id	fs_perm_sec_id	fsym_id	Security Name
G6L6W5-S	RAYTHEON CO  COM	RTN-NYS	22619875	4118626840	002FYS-E	G9ZQ25-S-US	G9ZQ25-S	ACTIVISION BLIZZARD INC  COM
JT792F-S	PNC FINANCIAL SERVICES GROUP  COM	PNC-NYS	32953463	4042071772	002FYS-E	QQ0TFB-S-US	QQ0TFB-S	ACTUANT CORP  CL A
HG5T14-S	EXELON CORP  COM	EXC-NYS	79985983	4009697328	002FYS-E	G5M4HY-S-US	G5M4HY-S	ACUITY BRANDS INC  COM
GX5W1M-S	AVALONBAY COMMUNITIES INC  COM	AVB-NYS	19889765	3992472528	002FYS-E	CZ3WHV-S-US	CZ3WHV-S	ACUSHNET HOLDINGS CORP  COM
G7VKY3-S	BOSTON SCIENTIFIC CORP  COM	BSX-NYS	103265292	3963321907	002FYS-E	DPDLV1-S-US	DPDLV1-S	ADAMAS PHARMACEUTICALS INC  COM
FV7BRY-S	ROPER TECHNOLOGIES INC  COM	ROP-NYS	11460266	3919067164	002FYS-E	SFJP84-S-US	SFJP84-S	ADAMIS PHARMACEUTICALS CORP  COM
WB8GRS-S	DIGITAL REALTY TRUST INC  COM	DLR-NYS	32789170	3901911230	002FYS-E	G5L7T3-S-US	G5L7T3-S	ADAMS RESOURCES & ENERGY INC  COM
L46MXM-S	ECOLAB INC  COM	ECL-NYS	21912819	3868489066	002FYS-E	HY4MNF-S-TR	HY4MNF-S	ADANA CIMENTO SANAYII  ORD A
FXHMTX-S	WELLTOWER INC  COM	WELL-NYS	49374899	3831492162	002FYS-E	HVW589-S-IN	HVW589-S	ADANI ENTERPRISES (EXPORTS) LTD  ORD
B6VPNM-S	CHARLES SCHWAB CORP  COM	SCHW-NYS	88696384	3792657380	002FYS-E	N4CBV1-S-IN	N4CBV1-S	ADANI GAS LTD  ORD
PB11JK-S	BLACKROCK INC  CL A	BLK-NYS	8800341	3761001733	002FYS-E	GTHNLS-S-IN	GTHNLS-S	ADANI GREEN ENERGY LTD  ORD
J0JKSY-S	GENERAL MOTORS CO  COM	GM-NYS	100121341	3714501751	002FYS-E	QKLDGH-S-IN	QKLDGH-S	ADANI PORT&SPCL ECONOMIC ZONE ORD
KHRJNM-S	XILINX INC  COM	XLNX-NAS	29268379	3710937773	002FYS-E	VVJZ7H-S-IN	VVJZ7H-S	ADANI POWER LTD  ORD
B00CQC-S	FISERV INC  COM	FISV-NAS	41937602	3702251505	002FYS-E	CW4G73-S-IN	CW4G73-S	ADANI TRANSMISSION LTD  ORD
G5FWH0-S	DEERE & CO  COM	DE-NYS	23000281	3676364915	002FYS-E	VDVR07-S-JP	VDVR07-S	ADASTRIA CO LTD  ORD
PQJ0KQ-S	WASTE MANAGEMENT INC  COM	WM-NYS	35162144	3653698383	002FYS-E	H8KB8D-S-TW	H8KB8D-S	ADATA TECHNOLOGY CO LTD  ORD
D2W0G9-S	NORTHROP GRUMMAN CORP  COM	NOC-NYS	13535697	3649223911	002FYS-E	MLJL3S-S-ZA	MLJL3S-S	ADBEE RF LTD  ORD
P7M7WC-S	AIR PRODUCTS & CHEMICALS INC  COM	APD-NYS	18963093	3621192239	002FYS-E	VWM5KN-S-ZA	VWM5KN-S	ADCOCK INGRAM HOLDINGS LTD  ORD
TY1NFD-S	NORFOLK SOUTHERN CORP  COM	NSC-NYS	19353456	3616967392	002FYS-E	HJPRVF-S-US	HJPRVF-S	ADDUS HOMECARE CORP  COM
G7RJ37-S	SBA COMMUNICATIONS CORP  COM	SBAC-NAS	18034176	3600703580	002FYS-E	VK7SGX-S-US	VK7SGX-S	ADDVANTAGE TECHNOLOGIES GROUP  COM
CQJ281-S	ZOETIS INC  CL A	ZTS-NYS	35729522	3596890980	002FYS-E	CQJ9P7-S-CH	CQJ9P7-S	ADECCO GROUP AG  ORD REG
KC74XW-S	ILLINOIS TOOL WORKS INC  COM	ITW-NYS	24991267	3586996553	002FYS-E	GPPK6T-S-US	GPPK6T-S	ADECOAGRO SA  COM
CN301K-S	EQUITY RESIDENTIAL  SBI	EQR-NYS	47256906	3559390160	002FYS-E	LTPCMD-S-JP	LTPCMD-S	ADEKA CORP  ORD
FWHW51-S	EDWARDS LIFESCIENCES CORP  COM	EW-NYS	18570979	3553185412	002FYS-E	NW7SNL-S-AU	NW7SNL-S	ADELAIDE BRIGHTON LTD  ORD
RCKMZZ-S	VERTEX PHARMACEUTICALS INC  COM	VRTX-NAS	19113299	3515891351	002FYS-E	QX3CKT-S-US	QX3CKT-S	ADESTO TECHNOLOGIES CORP  COM
HKM5XZ-S	FEDEX CORP  COM	FDX-NYS	19377826	3515331415	002FYS-E	GNKS09-S-US	GNKS09-S	ADIAL PHARMACEUTICALS  COM
DCZG4C-S	GENERAL DYNAMICS CORP  COM	GD-NYS	20729538	3509096193	002FYS-E	TMV5ZH-S-DE	TMV5ZH-S	ADIDAS AG  ORD REG
CC0SQN-S	ILLUMINA INC  COM	ILMN-NAS	11282128	3505244348	002FYS-E	CQ6FHM-S-US	CQ6FHM-S	ADIENT PLC  COM
VFV0RN-S	REALTY INCOME CORP  COM	O-NYS	47583413	3500235860	002FYS-E	XCST17-S-IN	XCST17-S	ADITYA BIRLA FASHI (PANTALOONS)  ORD
D1RR34-S	MICRON TECHNOLOGY INC  COM	MU-NAS	84499063	3492346274	002FYS-E	SRLQCZ-S-DE	SRLQCZ-S	ADLER REAL ESTATE AG  ORD
RWB1HB-S	MARSH & MCLENNAN COS INC  COM	MMC-NYS	37153468	3488710645	002FYS-E	Q8F21J-S-TW	Q8F21J-S	ADLINK TECHNOLOGY INC  ORD
JK7YB9-S	ALLERGAN PLC  COM	AGN-NYS	23786688	3482608990	002FYS-E	WB0722-S-US	WB0722-S	ADMA BIOLOGICS INC  COM VTG
S38X5X-S	BIOGEN INC  COM	BIIB-NAS	14729249	3481699879	002FYS-E	W3JD7T-S-GR	W3JD7T-S	ADMIE HOLDINGS SA  ORD
X0NKF2-S	KIMBERLY CLARK CORP  COM	KMB-NYS	27642396	3424892864	002FYS-E	PVYBGL-S-GB	PVYBGL-S	ADMIRAL GROUP PLC  ORD
PJNLKG-S	AFLAC INC  COM	AFL-NYS	66466706	3323335300	002FYS-E	DJH8TL-S-US	DJH8TL-S	ADOBE INC  COM
HTJWJK-S	PROGRESSIVE CORP  COM	PGR-NYS	45804603	3302053830	002FYS-E	M2SMV6-S-IL	M2SMV6-S	ADO GROUP LTD  ORD
SP70YY-S	PHILLIPS 66  COM	PSX-NYS	34680060	3300501310	002FYS-E	P6KXWP-S-DE	P6KXWP-S	ADO PROPERTIES SA  ORD
GRMT07-S	RED HAT INC  COM	RHT-NYS	18017737	3291840550	002FYS-E	MZ0G63-S-US	MZ0G63-S	ADTALEM GLOBAL EDUCATION INC  COM
SW3WLF-S	AMERICAN ELECTRIC POWER INC  COM	AEP-NYS	39127059	3276891191	002FYS-E	DM522N-S-US	DM522N-S	ADT INC  COM
MQLFH7-S	MARATHON PETROLEUM CORP  COM	MPC-NYS	53937133	3228137410	002FYS-E	Q8JV82-S-US	Q8JV82-S	ADTRAN INC  COM
P0X865-S	ANALOG DEVICES INC  COM	ADI-NAS	30594936	3220728913	002FYS-E	CSG04W-S-US	CSG04W-S	ADURO BIOTECH INC  COM
HSDSLM-S	BANK OF NEW YORK MELLON CORP  COM	BK-NYS	63647810	3209759058	002FYS-E	KXFJ5F-S-US	KXFJ5F-S	ADVANCE AUTO PARTS INC  COM
H6GV8W-S	INTERCONTINENTAL EXCHANGE INC  COM	ICE-NYS	41905559	3190689262	002FYS-E	BK7RXW-S-TW	BK7RXW-S	ADVANCED CERAMIC X CORP  ORD
GYN3G6-S	KINDER MORGAN INC  COM CL P	KMI-NYS	158864544	3178879525	002FYS-E	C7W1ZL-S-US	C7W1ZL-S	ADVANCED DISPOSAL SERVICES INC  COM
LSHSW2-S	ONEOK INC  COM	OKE-NYS	45211850	3157595604	002FYS-E	JY0TWC-S-US	JY0TWC-S	ADVANCED DRAINAGE SYSTEMS INC  COM
KZJ3C1-S	EMERSON ELECTRIC CO  COM	EMR-NYS	46061350	3153820635	002FYS-E	Q684DQ-S-US	Q684DQ-S	ADVANCED EMISSIONS SOLUTIONS INC ORD
RLF8JJ-S	COGNIZANT TECHNOLOGY SOLUTIONS  CL A	CTSH-NAS	43329594	3139229085	002FYS-E	CYB3R2-S-US	CYB3R2-S	ADVANCED ENERGY INDUSTRIES INC  COM
WX72B4-S	TARGET CORP  COM	TGT-NYS	38943483	3125603946	002FYS-E	NRZHGJ-S-TH	NRZHGJ-S	ADVANCED INFO SERVICE PCL  FGN
WSZW73-S	AUTODESK INC  COM	ADSK-NAS	19844522	3092173418	002FYS-E	J1JXG7-S-TH	J1JXG7-S	ADVANCED INFO SERVICE PCL  ORD
C4BW2G-S	MOODYS CORP  COM	MCO-NYS	17058449	3089114529	002FYS-E	PD9Q9W-S-TW	PD9Q9W-S	ADVANCED INTL MULTITECH CO LTD  ORD
DMY2HT-S	SHERWIN WILLIAMS CO  COM	SHW-NYS	7091239	3054267550	002FYS-E	K4KQ64-S-GB	K4KQ64-S	ADVANCED MEDICAL SOLUTIONS GRP  ORD
H9T6DW-S	AON PLC  CL A	AON-NYS	17778662	3034817603	002FYS-E	T0NKXG-S-US	T0NKXG-S	ADVANCED MICRO DEVICES INC  COM
