factset_fund_id,fs_perm_sec_id,fsym_id,security_name,FS_Market_Value,FS_Position,Upper_Case Name,Lower_case_name,Mkt Val,Pos
04CC29-E,H9T6DW-S-US,H9T6DW-S,AON PLC  CL A,225678025,1142500,MEDIBANK PRIVATE LTD  ORD,Medibank Private Ltd  Ord,75290958,29920345
04CC29-E,QJHZM0-S-ES,QJHZM0-S,SIEMENS GAMESA RENEWABLE ENERGY  ORD,225674229,13359038,CITY BANK LTD  ORD,City Bank Ltd  Ord,9522547,29909376
04CC29-E,B4KXP6-S-US,B4KXP6-S,REGENERON PHARMACEUTICALS  COM,225617822,756599,BANGCHAK CORP PCL  ORD,Bangchak Corp Pcl  Ord,"30,020,707",29890087
04CC29-E,HSF6D0-S-SE,HSF6D0-S,TELIA (TELIASONERA) CO AB  ORD,224312777,48575996,KINGENTA ECOLOGICAL ENG  ORD A,Kingenta Ecological Eng  Ord A,15175384,29811772
04CC29-E,MTVC76-S-IT,MTVC76-S,PIRELLI & C SPA  ORD,223796640,34887330,EEI CORP  ORD,Eei Corp  Ord,6575922,29795748
04CC29-E,L6HBRZ-S-GB,L6HBRZ-S,BURBERRY GROUP PLC  ORD,223334613,8966694,COMFORTDELGRO CORP LTD  ORD,Comfortdelgro Corp Ltd  Ord,60979254,29755848
04CC29-E,R3JBJ0-S-US,R3JBJ0-S,CENTENE CORP  COM,223261637,4129886,LITE ON TECHNOLOGY CORP  ORD,Lite On Technology Corp  Ord,44967543,29701151
04CC29-E,N6TDN5-S-US,N6TDN5-S,VENTAS INC  COM,222903626,3249324,UNILEVER PLC  ORD,Unilever Plc  Ord,"1,858,192,060",29552425
04CC29-E,LY689L-S-ID,LY689L-S,PT ASTRA INTERNATIONAL  ORD,222622898,417350115,JPMORGAN CHASE & CO  COM,Jpmorgan Chase & Co  Com,3356833578,29471761
04CC29-E,FQV436-S-CH,FQV436-S,SWISSCOM AG  ORD REG,222585039,453646,SOFTBANK CORP  ORD,Softbank Corp  Ord,390928559,29414998
04CC29-E,D0SXB8-S-US,D0SXB8-S,FLEETCOR TECHNOLOGIES INC  COM,222500658,760608,ZOOMLION HEAVY IND SCI & TECH  ORD H,Zoomlion Heavy Ind Sci & Tech  Ord H,20058683,29399057
04CC29-E,DKH0FF-S-US,DKH0FF-S,ARCHER DANIELS MIDLAND CO  COM,222438262,5329139,HANGZHOU HIKVISION DIGITAL  ORD A,Hangzhou Hikvision Digital  Ord A,115936986,29360873
04CC29-E,TP36J7-S-US,TP36J7-S,MSCI INC  CL A,222261540,906450,GAIL INDIA LTD  ORD,Gail India Ltd  Ord,62203320,29315054
04CC29-E,VFTHS5-S-BE,VFTHS5-S,UCB  ORD,222243636,2784134,STOCKLAND TRUST GROUP  ORD,Stockland Trust Group  Ord,94755642,29242229
04CC29-E,H0KFGR-S-US,H0KFGR-S,TYSON FOODS INC  CL A,221659566,2711432,SOUTHEAST BANK LTD  ORD,Southeast Bank Ltd  Ord,4429437,29237208
04CC29-E,FYN7RB-S-US,FYN7RB-S,LKQ CORP  COM,221424821,8231406,TULLOW OIL PLC  ORD,Tullow Oil Plc  Ord,76629256,29203445
04CC29-E,J3MNZ0-S-DE,J3MNZ0-S,DEUTSCHE LUFTHANSA AG  ORD REG,221129577,13204454,COATS GROUP PLC  ORD,Coats Group Plc  Ord,29171516,29177643
04CC29-E,KW96V9-S-US,KW96V9-S,STATE STREET CORP  COM,220976956,3985157,UNIMICRON TECHNOLOGY CORP  ORD,Unimicron Technology Corp  Ord,34963911,29177441
04CC29-E,CRPT9H-S-SE,CRPT9H-S,INDUSTRIVAERDEN AB  ORD A,220364005,9288610,CLEANAWAY WASTE MANAGEMENT LTD  ORD,Cleanaway Waste Management Ltd  Ord,50419119,29158663
04CC29-E,HKSQH5-S-BR,HKSQH5-S,LOJAS RENNER SA  ORD,220040094,17245819,FINCANTIERI SPA  ORD,Fincantieri Spa  Ord,33125655,29151183
