FactSetEntityId,Style,TurnoverLabel,TotalAUM
001H9C-E,Growth,Medium,686
001H9G-E,,,NULL
001H9W-E,,,NULL
001HBR-E,GARP,Very Low,20279
001HJ2-E,,,290
001HM3-E,,,NULL
001HP4-E,,,NULL
001HPP-E,,,NULL
001HPT-E,,,NULL
001HRL-E,,,NULL
001HTC-E,,,NULL
001HX6-E,,,NULL
001HY2-E,,,NULL
001J02-E,,,NULL
001J0L-E,,,NULL
001J20-E,Yield,Low,393
001J5M-E,Growth,Very Low,NULL
001J5S-E,GARP,Very Low,7800
001J60-E,,,NULL
001J6H-E,,,NULL
001J97-E,,,16000
001JF0-E,,,NULL
001JFJ-E,,,NULL
001JJ5-E,,,NULL
001JJ6-E,Growth,Low,6991
001JJT-E,,,NULL
001JK7-E,Yield,Very Low,793
001JKR-E,,,NULL
001JLS-E,,,NULL
001JNR-E,,,NULL
001JQ2-E,,,NULL
001JQG-E,Value,Low,10462
001JRC-E,,,NULL
001JRF-E,,,NULL
001JWR-E,GARP,Very Low,79200
001JWZ-E,Growth,Very Low,1317
001JZX-E,GARP,Low,NULL
001K09-E,Index,,NULL
001K0B-E,,,NULL
001K20-E,,,NULL
001K3H-E,,,NULL
001K6F-E,Growth,Very Low,4375
001K8W-E,,,NULL
001K96-E,Value,Low,NULL
001KC7-E,,,NULL
001KFN-E,,,NULL
001KJ7-E,,,1000
001KMN-E,,,NULL
001KPM-E,,,12669
001KSQ-E,GARP,Medium,13388
001KXQ-E,,,NULL
001KZT-E,,,NULL
001L1R-E,,,NULL
001L20-E,,,NULL
001L25-E,Growth,Very Low,431
001L2N-E,Growth,Low,97089
001L49-E,,,NULL
001L5K-E,,,NULL
001L70-E,,,1900
001L7K-E,,,NULL
001L8L-E,,,NULL
001L9N-E,,,NULL
001LFQ-E,,,NULL
001LGK-E,,,NULL
001LH2-E,,,NULL
001LH5-E,,,76
001LHH-E,Growth,Very Low,1035
001LKQ-E,,,296
001LLJ-E,,Low,5203
001LNL-E,GARP,Low,NULL
001LRL-E,Yield,,1752
001LS9-E,,,NULL
001LTJ-E,,,NULL
001LWB-E,Growth,Very Low,4898
001LWP-E,Growth,Very Low,7217
001LWQ-E,GARP,Very Low,3125
001LX3-E,,,NULL
001LYX-E,Growth,Low,2909
001M0W-E,Value,Very Low,NULL
001M2C-E,,,NULL
001M37-E,,,NULL
001M67-E,Value,Very Low,2742
001M86-E,GARP,Medium,8570
001M89-E,Value,Low,5614
001MCT-E,GARP,Low,8830
001MDY-E,GARP,Medium,NULL
001MJ6-E,Growth,Very Low,NULL
001MJQ-E,,,NULL
001MJX-E,Value,Very Low,25398
001MKF-E,,,NULL
001MQV-E,,,NULL
001MR3-E,,,NULL
001MRZ-E,,,NULL
001MS7-E,Deep Value,High,143
001MSD-E,Value,Low,996
001MTF-E,Growth,Very Low,NULL
001MV1-E,,,NULL
001MVG-E,,,NULL
001MVX-E,Value,Very Low,65546
001MWW-E,,,NULL
001MXZ-E,Aggressive Growth,Medium,4020
001MYB-E,Growth,Very Low,2181
001MYF-E,GARP,Very Low,291
001N09-E,Growth,Very Low,367
001N0P-E,Growth,Low,2800
001N18-E,,,NULL
001N4W-E,Growth,Low,NULL
001N5T-E,,,NULL
001N60-E,,,NULL
001N85-E,,,NULL
001N9K-E,,,NULL
001NBV-E,Yield,Very Low,NULL
001ND6-E,,,NULL
001NGD-E,Growth,Very Low,1357
001NJZ-E,Value,Low,65552
001NP4-E,Growth,Very Low,NULL
001NPL-E,,,NULL
001NY9-E,,,NULL
001NYG-E,,,NULL
001P2K-E,,,NULL
001P5F-E,,,2429
001P6G-E,Growth,Very Low,1040
001P7Y-E,,,NULL
001PBJ-E,Growth,Very Low,29756
001PC1-E,,,NULL
001PDS-E,,,49
001PFN-E,Growth,Medium,18421
