factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
0GKKZK-E,Lighthouse Partners UK LLC,NULL,
0GKPTF-E,Captii Ventures Pte Ltd.,NULL,
0GL7Y9-E,Pegasus FinInvest Advisory Pvt Ltd.,NULL,
0GLNG8-E,Torchlight Investment Group Ltd. (Private Equity),NULL,
0HKTZT-E,Goldbell Investments,NULL,
0HLG8P-E,Cedarlake Capital Co.,NULL,
0JJT94-E,NC Advisory AB,NULL,
0JJVWG-E,Armadillo Capital Management LLC,NULL,Aggressive Growth
0JKMK8-E,OpenVC,NULL,
0KFCCG-E,Infraestructura Asset Management Colombia SAS,NULL,
0KFG6L-E,Seed Money Srl,NULL,
00CNRW-E,"Exotix USA, Inc.",NULL,
00CQW8-E,"Counsel Portfolio Services, Inc.",NULL,GARP
00CXX2-E,"Windhaven Investment Management, Inc.",NULL,GARP
00D0J4-E,New Asia Partners LLC,NULL,
00D12N-E,Thomas Story & Son LLC,NULL,GARP
00D17J-E,Rocky Mountain Advisers LLC,NULL,GARP
00D17K-E,Salient Capital Advisors LLC,NULL,Yield
00D18N-E,"Riversville Capital, Inc.",NULL,
00D1CH-E,BSW Wealth Partners LLC,NULL,GARP
00D2V7-E,MSD Partners LP,NULL,Growth
00D6WQ-E,"Sandgrain Advisors, Inc.",NULL,
06GPHG-E,NW Brown Ventures Ltd.,NULL,
06GSGP-E,RAD Ventures,NULL,
06GTLN-E,E. F. Hutton & Co.,NULL,
06GTSX-E,Enhanced Investment Strategies,NULL,
06H0GV-E,DB Platinum Advisors SA,NULL,Index
06H0KF-E,Rockpoint Group LLC,NULL,
06H3T0-E,"Friedman Billings Ramsey Group, Inc. /Brokerage Business/",NULL,
06H7PR-E,Olympus Capital Holdings Asia (Hong Kong) Ltd.,NULL,
06H95X-E,MCAP Global Finance (UK) LLP,NULL,
06H9FV-E,Innova Venture SGEIC SA,NULL,
06HFQB-E,FundX Investment Group LLC,NULL,GARP
06HGBR-E,Draper Esprit (Private Equity),NULL,
06HGHK-E,ING Barings LLC,NULL,
06HX1J-E,Boss Group (UK),NULL,
06HZ2T-E,"ePlanet Capital Advisors US, Inc.",NULL,
06HZ73-E,Carlin Asset Management,NULL,
06HZRM-E,Krom River Trading AG,NULL,
06J0F1-E,Hanwha Investment Corp.,NULL,
06J0RR-E,JPMorgan Securities (Singapore) Pte Ltd.,NULL,
