FactSet Entity ID,Institution_name,Discrepancy_Column
0080QY-E,GSA Capital Partners LLP,
00B346-E,LPL Financial LLC,
0DLDNG-E,Dynamic Technology Lab Pte Ltd.,
0CQXQ4-E,Twin Tree Management LP,
002HMF-E,Paloma Partners Management Co.,
002J3B-E,OakBrook Investments LLC,
09V9V1-E,Amundi Hong Kong Ltd.,
0DVH09-E,First Hawaiian Bank (Wealth Management),
002P34-E,The Caisse de dÌ©pÌ«t et placement du QuÌ©bec,
004G3H-E,Peak6 Capital Management LLC,
0BJ0LD-E,"RBC Global Asset Management, Inc.",
001ZF3-E,Aberdeen Asset Managers Ltd.,
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",
06GL6L-E,Gotham Asset Management LLC,
001YWB-E,Virginia Retirement Systems,
09N7PK-E,Allianz Global Investors U.S. LLC,
09NF3J-E,BG Fund Management Luxembourg SA,
0DVFWG-E,Trexquant Investment LP,
002G53-E,Tocqueville Asset Management LP,
0084HS-E,ProShare Advisors LLC,
0074DB-E,Jump Trading LLC,
0019KF-E,"CIBC Asset Management, Inc.",
07NMMQ-E,Neuberger Berman Investment Advisers LLC,
001XT4-E,"DWS Investment Management Americas, Inc.",
0J8GKZ-E,Seeyond SA,
0KKTM4-E,Quantamental Technologies LLC,
006WTM-E,QMA LLC,
061DXL-E,"State Street Global Advisors, Australia, Ltd.",
06LW5H-E,Catalyst Capital Advisors LLC,
05G79W-E,Nordea Investment Management AB (Denmark),
0FWWDY-E,Sciencast Management LP,
009S80-E,"First Republic Investment Management, Inc.",
06GBQC-E,Winton Capital Management Ltd.,
07GBC6-E,"Mercer Global Advisors, Inc.",
002HGT-E,"SunTrust Banks, Inc. (Wealth Management)",
0G1KQH-E,Degroof Petercam Asset Management SA,
001T5F-E,State Teachers Retirement System of Ohio,
05K7GZ-E,Wellington Management International Ltd.,
0FM5MX-E,NN Investment Partners BV,
05ZYBJ-E,Barclays Capital Securities Ltd.,
002HNF-E,"Citigroup Global Markets, Inc. (Broker)",
05HDJR-E,Security Kapitalanlage AG,
07SJYN-E,Group One Trading LP,
05FW5X-E,BNP Paribas Asset Management France SAS,
074MNH-E,"World Asset Management, Inc.",
0C9HSK-E,"Nelson, Van Denburg & Campbell Wealth Management Group LLC",
00DQWY-E,"Itau USA Asset Management, Inc.",
07HQ1Z-E,HighTower Advisors LLC,
05V81Q-E,State Street Global Advisors (Japan) Co. Ltd.,
0FJWF8-E,Teza Capital Management LLC,
064B7H-E,"Woodbury Financial Services, Inc.",
002H43-E,"PanAgora Asset Management, Inc.",
07HTQ0-E,Barclays Bank Plc (Investment Management),
0CXJCC-E,Penserra Capital Management LLC,
05FY88-E,Renaissance Capital LLC,
0DB9DH-E,Manulife Asset Management Ltd.,
0FRMWL-E,"ZB, NA (Private Banking)",
00DGXD-E,Ibex Investors LLC,
00361Y-E,UBS AG (New York),
069ZPJ-E,CapFinancial Partners LLC,
00CDLB-E,Virtu Financial BD LLC,
00BJ81-E,Cerebellum GP LLC,
003RRD-E,Susquehanna Financial Group LLLP,
007RXL-E,"TD Waterhouse Private Investment Counsel, Inc.",
0C83PZ-E,Addison Capital Co.,
003F7L-E,Sheets Smith Wealth Management,
0663GT-E,Summit Creek Advisors LLC,
0DVJ4H-E,BlackRock Asset Management Schweiz AG,
00CGZD-E,Two Sigma Securities LLC,
0DDLFQ-E,Janney Montgomery Scott LLC (Investment Management),
000BL3-E,"Advisory Research, Inc.",
07F3P1-E,"Taishin Securities Investment Trust Co., Ltd.",
000CGW-E,Barings LLC,
002J8Y-E,"Empiric Advisors, Inc.",
00D3JM-E,Simplex Trading LLC,
001YNK-E,"Rational Advisors, Inc.",
05VRNL-E,BlueCrest Capital Management (UK) LLP,
001JWR-E,SunAmerica Asset Management LLC,
09CG0R-E,Sparinvest SA (Denmark),
0G2DKB-E,Bayesian Capital Management LP,
006TW3-E,Morgan Stanley AIP GP LP,
0H28MQ-E,"Global Wealth Management Investment Advisory, Inc.",
07QM1L-E,Tower Research Capital LLC,
0HFPMQ-E,Pictet Asset Management Ltd. (Italy),
0GN6R7-E,Corient Capital Partners LLC,
0FK1JV-E,Sawtooth Solutions LLC,
00FYV6-E,Landscape Capital Management LLC,
0CCSBL-E,"FDx Advisors, Inc.",
05P8JC-E,Degroof Petercam Asset Services SA,
05HPFF-E,Canada Pension Plan Investment Board,
003LS0-E,Petrus Securities LP,
0C3D9M-E,Atria Investments LLC,
00FDDB-E,HRT Financial LLC,
0C9WCM-E,Fox Run Management LLC,
0D9273-E,Redpoint Investment Management Pty Ltd.,
002SMY-E,Pillar Pacific Capital Management LLC,
0CTN67-E,Skandinaviska Enskilda Banken AB (Denmark),
0H2Y9D-E,"SagePoint Financial, Inc. (Investment Management)",
05J57J-E,DZ PRIVATBANK SA,
001ZHV-E,"TD Asset Management, Inc.",
05G875-E,BI Asset Management FondsmÌ_glerselskab A/S,
0GK9D1-E,D.A. Davidson & Co. (Investment Management),
0GXZ6H-E,Machina Capital SAS,
000KN8-E,BMO Asset Managers Ltd.,
00D16K-E,E*TRADE Capital Management LLC,
001207-E,Segall Bryant & Hamill LLC,
076FHD-E,ThomÌ© Asset Management & Asset Controlling,
06D2PY-E,"Securities America Advisors, Inc.",
05FYG9-E,Vontobel Asset Management AG,
09W4DY-E,Amundi Japan Ltd.,
0B4CRQ-E,ItaÌ¼ Chile Administradora General de Fondos SA,
066FL0-E,Banco Santander (Suisse) SA,
0D5X11-E,Skandia Investment Management AB,
05HL2P-E,"Industrial Alliance Investment Management, Inc.",
0C2W81-E,Vision2020 Wealth Management Corp.,
0CKYNL-E,Brown Advisory Ltd.,
00BQTC-E,LS Investment Advisors LLC,
05GNGN-E,"Wilmington Trust Investment Advisors, Inc.",
06QGFG-E,Russell Investments Canada Ltd.,
00CJ9V-E,Mirae Asset Global Investments (USA) LLC,
002GZG-E,Franklin Advisory Services LLC,
002HYJ-E,Wilmington Trust Investment Management LLC,
