Factset Entity ID,Fund Name,Discrepancy Column
04BGP5-E,Valic Company I - Stock Index Fund,
04GRB7-E,Bmo S&p 500 Index Etf,
04KXG5-E,Legal & General Global Infrastructure Index Fund,
04GHXL-E,St. James's Place Unit Trust - Global Equity,
04CSXK-E,Ishares Dow Jones Us Select Dividend (de),
04HJCY-E,Vanguard Total Stock Market Index Trust,
04HL62-E,Ubs Life - Usa Equity Tracker Fund,
04D50X-E,Qs Batterymarch Us Large Cap Equity Fund,
04DQY1-E,Voya Russell Mid Cap Index Portfolio,
04BL00-E,Legal & General Us Index Trust,
04BTY1-E,Northwestern Mutual-large Cap Core Stock Portfolio,
04BVRB-E,John Hancock Vit - Utilities Trust,
04BD4Y-E,T Rowe Price Balanced Fund,
04C8WP-E,Challenge Funds - International Equity Fund,
04JLR8-E,Spdr Russell 1000 Yield Focus Etf,
04B9HB-E,Fidelity Advisor Series I - Balanced Fund,
04BLDG-E,Fidelity Invt. Funds - American Fund,
04DZVW-E,Wellington Mgmt. Fds. (lu) - Global Value Equity Fd.,
04JF52-E,Vanguard Russell 1000 Value Index Trust,
04CMW7-E,American Beacon Mid Cap Value Fund,
04DS38-E,Vanguard Invt. Fds. Icvc - Ftse Dev. World (ex-uk) Eq. Index,
04BY10-E,Hsbc Index Tracker Investment Funds - American Index,
04JJ2X-E,Goldman Sachs Etf Tr. - Activebeta Us Large Cap Equity Etf,
04BCHY-E,Jpmorgan Equity Index Fund,
04CS39-E,Fidelity Dividend Fund,
04BDVJ-E,Simt Tax Managed Large Cap Fund,
04CGBF-E,Northwestern Mutual-mid Cap Value Portfolio,
04J6VL-E,Brookfield Invt. Fds. Ucits Plc - Global Listed Infrastructure,
04BQHR-E,Prudential Series - Stock Index Portfolio,
04BV6S-E,Spp Aktiefond Usa,
04B95S-E,Delaware Pooled Large Cap Value Equity Portfolio,
04BF26-E,Jpmorgan Growth & Income Fund,
04C0P6-E,Iprofile Us Equity Pool,
04BJCF-E,Pgim Qma Mid Cap Value Fund,
04BJY5-E,American Century Variable - Value Portfolio,
04CBJW-E,Interfund Sicav - Equity Usa,
04BGMY-E,Ast Neuberger Berman/lsv Mid Cap Value Portfolio,
04HJV2-E,Sei Institutional Investment Trust - S&p 500 Index Fund,
04J7Q8-E,Goldman Sachs Multi Manager Real Assets Strategy Fund,
04J4QF-E,Jpmorgan Funds - Us Equity All Cap Fund,
04JD7R-E,Goldman Sachs Global Infrastructure Fund,
04BX46-E,Fidelity Canadian Asset Allocation Fund,
04KQDG-E,Scottish Widows Invt. Sol. Fds. Icvc - Fund. Index Glb. Equity,
04H1BX-E,Ishares V Plc - S&p 500 (eur) Hedged Ucits Etf,
04CVYJ-E,Wisdomtree Tr. - Us Large Cap Dividend Fund,
04G4R1-E,Am One World Attractive Dividend Pure Infra. Eq. Mother Fund,
04JW6K-E,Fidelity Large Cap Value Index Fund,
04BGD3-E,Nationwide Vit - S&p 500 Index Fund,
04CL3Z-E,Fidelity Monthly Income Fund,
04CW5T-E,Mml Equity Income Fund,
04CWJG-E,Ishares Tr. - Global Utilities Etf,
04H1DC-E,Pacific Select Fund - Value Advantage Portfolio,
04GQ8D-E,Ssga Spdr Etfs Europe I Plc - S&p 500 Ucits Etf,
04C55Y-E,Amundi Funds Ii - Us Mid Cap Value,Incorrect: style eaum 
04GTNH-E,Mercer Funds - Global Low Volatility Equity Fund,
04CW60-E,Mml Mid Cap Value Fund,
04KSPT-E,Ubs Life Climate Aware World Equity Fund,
04BFSZ-E,Lincoln Vip - Blended Large Cap Growth Managed Volatility Fund,
04CVYG-E,Wisdomtree Tr. - Us High Dividend Fund,
04BDW9-E,T Rowe Price Personal Strategy Growth Fund,
04G29H-E,Thrivent Variable Product - Moderate Allocation Portfolio,
04J0VN-E,Nt Ucits Common Contractual Fd. - World Cus. Esg Eq. Ind. Fd.,
04BHR1-E,Northwestern Mutual-index 500 Stock Portfolio,
04HJPS-E,American Century Us Mid Cap Value Equity Trust,
04BGD8-E,Penn Series - Mid Cap Value Fund,
04J97Z-E,Robeco Customized Us Large Cap Equities,
04GQ7W-E,Janus Aspen Ser. - Vit Us Low Volatility Portfolio,
04B8S5-E,Blackrock High Equity Income Fund,
04DXLZ-E,Proshares Large Cap Core Plus,
04BH2S-E,Columbia Large Cap Index Fund,
04BQ4T-E,Massmutual S&p 500 Index Fund,
04JCFN-E,Ishares Russell Mid Cap Index Fund,
04GH6Q-E,"Blackrock Utility, Infrastructure & Power Opportunities Trust",
04HNWT-E,Fidelity Invt. Funds - Global Enhanced Income Fund,
04CLVQ-E,Eastspring Investments - World Value Equity,
04BYFT-E,Dfa Tax Managed Us Equity Portfolio,
04CMDL-E,"Cohen & Steers Global Infrastructure Fund, Inc.",
04BH9B-E,Rydex Utilities Fund,
04D614-E,Dfa Ta Us Core Equity 2 Portfolio,
04CSZS-E,Nomura Asset Foreign Equity Msci Kokusai Mother Fund,
04GHSQ-E,Actiam Responsible Index Fund Equity Na (fbi),
04HL31-E,Actiam Responsible Index Fund Equity Na - B (fgr),
04CSLD-E,Mercer Funds - Us Large Cap Equity Fund,
04JLR6-E,Spdr Russell 1000 Low Volatility Focus Etf,
04DG1T-E,Fdc Sicav - Actions Monde - Actif 2,
04K0VF-E,Mediolanum Best Brands - Infrastructure Opportunity Collection,
04DMBP-E,Pictet - Global Megatrend Selection,
04BHSN-E,Pacific Select Fund - Equity Index Portfolio,
04L09D-E,Eq/mfs Utilities Series Portfolio,
04HYDC-E,Xtrackers (ie) Plc - Msci World Ucits Etf,
04FVP1-E,Vanguard Russell 1000 Index Fund,
04KV4X-E,Vanguard Global Wellesley Income Fund,
04BPZR-E,Spdr Portfolio Total Stock Market Etf,
04CSTR-E,Ishares Plc - Msci World Ucits Etf,
