Factset Fund ID,Fund Name,Discrepancy Column
04JDCY-E,Pacer Fds. Tr. - Trendpilot Us Large Cap Etf,
04FWTW-E,Spdr S&p Transportation Etf,
04B9HZ-E,Fidelity Advisor Series I - Large Cap Fund,
04FVP8-E,Vanguard S&p 500 Growth Index Fund,
04BF4J-E,Vanguard Tax Managed Balanced Fund,
04G30B-E,Invesco S&p 500 Garp Etf,
04GBCV-E,Threadneedle (lux) - Us Contrarian Core Equities,
04CNNP-E,First Trust Enhanced Equity Income Fund,
04G8KP-E,Handelsbanken Usa Index Criteria,
04CNCP-E,Mitsubishi Ufj Kokusai Foreign Equity Index Mother Fund,
04BSKB-E,Lux-croissance 1,
04HY2Z-E,Fidelity Series Growth Company Fund,
04KM8T-E,Wells Fargo Factor Enhanced Large Cap Portfolio,
04BCB7-E,Mainstay Vp - Mackay S&p 500 Index Portfolio,
04FGSH-E,Legg Mason Bw Diversified Large Cap Value Fund,
04HNG5-E,Day Hagan Tactical Dividend Fund,
04HY33-E,Mgi Funds Plc - Mercer Passive Global Equity Fund,
04KQDG-E,Scottish Widows Invt. Sol. Fds. Icvc - Fund. Index Glb. Equity,
04CH9G-E,Smtam Foreign Equity Index Mother Fund,
04BFGN-E,Sunamerica Series Trust - Sa Large Cap Index Portfolio,
04GR8J-E,Hennessy Equity & Income Fund,
04BDVJ-E,Simt Tax Managed Large Cap Fund,
04LBPY-E,Invesco Russell 1000 Dynamic Multifactor Etf,
04GGSD-E,Sei Institutional Invt. Trust - Dynamic Asset Allocation Fund,
04CWGG-E,Westwood Large Cap Value Fund,
04JF3R-E,Ssga Spdr Etfs Europe Ii Plc - Morningstar Multi-asset Global,
04J6ZF-E,Swisscanto (ch) Ipf I - Index Equity Usa,
04CCN4-E,Amundi Fondi Italia - Azionario America,
04KRWX-E,Touchstone Large Cap Focused Fund,
04CVZ9-E,Ishares Plc - Msci North America Ucits Etf,
04BS69-E,Hsbc Gif - Economic Scale Us Equity,
04K3Q2-E,Ishares Iv Plc - Digitalisation Ucits Etf,
04BC8K-E,Natixis Fds. Tr. Ii - Oakmark Fund,
04BFB6-E,Blackrock S&p 500 Index V.i. Fund,
04BJZ3-E,Sa Us Value Fund,
04GTXT-E,Fidelity Invt. Funds - Index Us Fund,
04JM28-E,Gs Funds Ii - Gms Global Multi-manager Alternatives Portfolio,
04C07J-E,Td Emerald Us Market Index Fund,
04CQYB-E,Am One Foreign Equity Passive Fund Mother Fund,
04CNNN-E,Madison Covered Call & Equity Strategy Fund,
04BJ1C-E,Manning & Napier Pro-blend Maximum Term Series,
04CCG6-E,Fidelity American Disciplined Equity Fund,
04J496-E,Indosuez Funds - America Opportunities,
04HN2S-E,Ubs (irl) Etf Plc - Msci Usa Hedged To (eur) Ucits,
04KWY5-E,Invesco S&p 500 Equal Weight Industrials Etf,
04BZJS-E,Manulife Monthly High Income Class,
04BPWK-E,Gam Funds - Global Diversified,
04BZ35-E,Guidestone Equity Index Fund,
04FGQ5-E,Dnb Global Indeks,
04BPTB-E,Blackrock Nvit Equity Dividend Fund,
04CWFK-E,Gs Funds - Gms Dynamic World Equity Portfolio,
04DY94-E,Voya Russell Large Cap Growth Index Portfolio,
04K0MJ-E,Nordea 2 - Global Large Cap Equity Fund,
04GTDX-E,Ubs (irl) Etf Plc - Msci Usa Ucits Etf,
04BFN6-E,Cref Growth Account,
04C04B-E,Bl - Global 75,
04FCZ1-E,Allianz Vip Trust - Azl Russell 1000 Growth Index Fund,
04BNZM-E,Columbia Variable Portfolio-balanced Fund,
04C22S-E,Eurizon Fund - Equity North America Lte,
04JXY0-E,John Hancock Ii - Us Strategic Equity Allocation Fund,
04CWMS-E,Proshares Ultra S&p500,
04FDJQ-E,Manulife Yield Opportunities Fund,
04CJ0Y-E,Cleome Index - Usa,
04D306-E,Franklin Select Us Equity Fund,
04J7SJ-E,Manning & Napier Pro Mix Extended Term Cit,
04JJMR-E,Swedbank Robur Access Usa,
04G9Q0-E,Dws S&p 500 Index Fund,
04B8TD-E,Deutsche Equity 500 Index Portfolio,
04CP4D-E,Ubs (ch) Investment Fund - Equities Usa Passive,
04GRP7-E,State Street Equity 500 Index Portfolio,
04G2L3-E,State Farm S&p 500 Index Fund,
04CZGC-E,Gam Star Fund Plc - Us All Cap Equity,
04CSNH-E,Nlb Funds - Global Balanced,
04GHXL-E,St. James's Place Unit Trust - Global Equity,
04JPKD-E,Blackrock Strategic Fds. - Style Advantage Fund,
04C6VN-E,Sei Institutional Invt. Trust - Large Cap Index Fund,
04CLY7-E,Plato Institutional Index Fund - North American Equity,
04C208-E,Alger Sicav - American Asset Growth Fund,
04BJHF-E,Stralem Equity Fund,
04HYK8-E,Nt Ucits Common Contractual Fd. - World Cust. Esg (eur) Hedge,
04GP5X-E,Blackrock Cif - Us Equity Tracker Fund,
04JJCB-E,Ssga (lux) Sicav - Us Index Equity Fund,
04JGPK-E,Northern Trust Ucits Fgr Fund - North America Equity Index,
04BR9L-E,Kbc Institutional Fund - Sri World Equity,
04H1QC-E,Gwl American Growth Fund 8.05a,
04C3DY-E,Cavendish Investments Funds - Worldwide Fund,
04BGZ2-E,T Rowe Price Total Equity Market Index Fund,
04G86X-E,Gs Funds Ii - Gms Us Equity Portfolio,
04K1FK-E,Nt Ucits Common Contractual Fd. - North America Custom Esg Eq.,
04GWF0-E,Scotia Us Dividend Fund,
04KR5B-E,Manning & Napier Global Equity Cit,
04D942-E,Legal & General International Index Trust,
04C1DF-E,Hsbc Us Equity Pooled Fund,
04CVYJ-E,Wisdomtree Tr. - Us Large Cap Dividend Fund,
04KJ6R-E,Blackrock Acs I - 50:50 Global Equity Tracker Fund,
04GX8K-E,Vanguard Funds Plc - Ftse All World Ucits Etf,
04D996-E,Multi Manager Access - Us Equities,
04BKVM-E,Russell Invt. Co. Plc - Us Equity Fund (the),
04JH3M-E,Actiam Verantwoord Index Aandelenfonds - Wereld,
04JCMH-E,Hsbc Index Tracker Investment Funds - Ftse All-world Index,
04KCBN-E,Amundi Index Solutions - Index S&p 500,
04CWJS-E,Ishares Tr. - Global Industrials Etf,
04DG1V-E,Fdc Sicav - Actions Monde - Index̩,
04BV6T-E,Spp Aktiefond Global,
04KR8V-E,Entrepreneur 30 Fund Etf,
04BDKM-E,Invesco S&p 500 Index Fund,
04LCK8-E,Nationwide Multi Cap Portfolio,
04G3GD-E,Tactical Offensive Equity Fund,
04JB0B-E,Csif Iii - World (ex-ch) Index Blue,
04DXKN-E,L�_nsf̦rs�_kringar Usa Index,
04CWMJ-E,Swip Multi-manager Icvc - International Equity Fund,
04GNM1-E,First Trust/dow Jones Dividend & Income Allocation Portfolio,
04D8ZJ-E,Rbc Regent Strategy Fund Ltd. - Us Core Equity Class,
04BYQJ-E,Td Us Index Fund,
04BQSH-E,Dpam Capital B - Equities Us Index,
04DH13-E,Pictet (ch) Institutional - World (ex-swiss) Eqs. Tracker Us,
04H3Y3-E,L�_nsf̦rs�_kringar Global Index,
04FVP7-E,Vanguard S&p 500 Value Index Fund,
04BHRD-E,Ohio National - S&p 500 Index Portfolio,
04BV6J-E,Spp Generation 60 Tal,
04BFT0-E,Lincoln Vip - Dimensional Us Core Equity 1 Fund,
04DY3T-E,Pacific Select Fund - Pd Large Cap Growth Index Portfolio,
04KBS2-E,Cbp Select - Chilton Us Equities,
04KSPT-E,Ubs Life Climate Aware World Equity Fund,
04BHT5-E,Sei Institutional Invt. Trust - Large Cap Fund,
04L2WB-E,Dnb Global Industrisektor Indeks,
04BJ1B-E,Manning & Napier Pro-blend Extended Term Series,
04DY3Q-E,Nvit Dynamic Us Growth Fund,
04BCGB-E,Wells Fargo Index Portfolio,
04HPK3-E,Entrepreneur Us Large Cap Fund,
04J9RG-E,Bridge Builder Large Cap Growth Fund,
04CW2R-E,Amundi Fondi Italia - Obbligazionario Pi�_ A Distrib.,
04C04C-E,Bl - Global Equities,
04KL4N-E,Aama Equity Fund,
04DQXZ-E,Voya Russell Large Cap Index Portfolio,
04KRGJ-E,Danske Invest Sicav - Global Index,
04GMPS-E,Ishares V Plc - Msci World (eur) Hedged Ucits Etf,
04BFZH-E,Jnl/dfa Us Core Equity Fund,
04CNZM-E,Hsbc Islamic Funds - Global Equity Index Fund,
04H1PT-E,Deka - Globale Aktien Lowrisk,
04KXW5-E,More (4d) Global Equity,
04CPVR-E,Klp Aksjeusa Indeks (usd),
04BDW6-E,Simt Large Cap Value Fund,
04DQ35-E,Amundi Oeko Sozial Stock,
04JTTV-E,Xtrackers (ie) Plc - S&p 500 Ucits Etf,
04G6ND-E,Ast Blackrock Global Strategies Portfolio,
04DR7N-E,"Swift Inversiones, Sicav",
04JYP5-E,Swedbank Robur Access Global,
04FVP6-E,Vanguard Russell 3000 Index Fund,
04BZMW-E,Investment House Growth Fund,
04J2F6-E,Manning & Napier Pro Mix Moderate Term Cit,
04CN9Y-E,Generali Fond Globalnich Znacek,
04BG13-E,Thrivent Variable Product - Large Cap Index Portfolio,
04CKPH-E,Eq Advisors Trust - Multimanager Aggressive Equity Port.,
04DWQK-E,Mgi Funds Plc - Global Equity Fund,
04BKBB-E,Thompson Large Cap Fund,
04BNMR-E,Ft Interspezial,
04DXLT-E,Sei Institutional Invt. Trust - Us Managed Volatility Fund,
04GG8Q-E,Green Owl Intrinsic Value Fund,
04DJPC-E,Agipi Monde Durable,
04BH6X-E,Nationwide S&p 500 Index Fund,
04BHWZ-E,Ishares Tr. - Dow Jones Us Etf,
04BNYR-E,Mainstay Mackay S&p 500 Index Fund,
04FVMH-E,Eaton Vance Richard Bernstein Equity Strategy Fund,
04BG0H-E,Hirtle Callaghan Growth Equity Fund,
04DCB8-E,Hirtle Callaghan Institutional Growth Equity Fund,
04BK6G-E,Tocqueville Trust - Tocqueville Fund (the),
04CV48-E,Triglav Steber Global,
04CW3R-E,Voya Investors Trust - Balanced Income Portfolio,
04G7BG-E,Flexshares Morningstar Us Market Factor Tilt Index Fund,
04D8DJ-E,Advisors Series Trust - Davidson Multi-cap Equity Fund,
04CQ2C-E,Primecap Odyssey Aggressive Growth Fund,
04BRNJ-E,Columbia Variable Portfolio-large Cap Index Fund,
04FQVB-E,New Capital Ucits Fund Plc - Us Growth Fund,
04K8B0-E,Fonditalia - Constant Return,
04BJZ4-E,Sa Us Core Market Fund,
04BJ18-E,Manning & Napier Pro-blend Conservative Term Series,
04F204-E,Blackrock Dynamic Diversified Growth Fund,
04DKNP-E,Nissay Asset Nissay Foreign Equity Index Mother Fund,
04JN4Y-E,Mackenzie Diversified Alternatives Fund,
04J6ZG-E,Swisscanto (ch) Ipf I - Index Equity World (ex-ch),
04J4G8-E,Guggenheim Capital Stewardship Fund,
04CQBV-E,State Street (japan) Foreign Equity Index Open Mother Fund,
04CYCC-E,Aberdeen Global Dynamic Dividend Fund,
04CBJW-E,Interfund Sicav - Equity Usa,
04CTCJ-E,Gam Star Fund Plc - Worldwide Equity,
04HL57-E,Scotia Us Low Volatility Equity Lp,
