Factset Fund ID,Fund Name,Discrepancy Column
04HL62-E,Ubs Life - Usa Equity Tracker Fund,
04BY10-E,Hsbc Index Tracker Investment Funds - American Index,
04HJCY-E,Vanguard Total Stock Market Index Trust,
04GH8F-E,Goldman Sachs Rising Dividend Growth Fund,
04D7T1-E,Voya Corporate Leaders 100 Fund,
04HLXY-E,Allianz Global Investors Fund - Best Styles Us Equity,
04DS38-E,Vanguard Invt. Fds. Icvc - Ftse Dev. World (ex-uk) Eq. Index,
04BL00-E,Legal & General Us Index Trust,
04D0KR-E,First Trust Large Cap Value Alphadex Fund,
04KG9R-E,Destinations Large Cap Equity Fund,
04JF52-E,Vanguard Russell 1000 Value Index Trust,
04GQKJ-E,John Hancock Ii - Strategic Equity Allocation Fund,
04CLM5-E,Ilmarinen Mutual Pension Insurance Co.,
04K7R3-E,Ishares Iv Plc - Edge Msci Usa Value Factor Ucits Etf,
04BPZJ-E,Spdr Portfolio S&p 500 Growth Etf,
04BL4N-E,Raiffeisen - Global - Aktienfonds,
04BX86-E,Invesco Global Balanced Fund,
04CWRL-E,Dws Smart Industrial Technologies,
04HQ13-E,Touchstone Large Cap Fund,
04BCHY-E,Jpmorgan Equity Index Fund,
04BWH9-E,Agf Canadian Growth Equity Fund,
04CPVS-E,Klp Aksjeglobal Indeks I,
04BQHR-E,Prudential Series - Stock Index Portfolio,
04BQQJ-E,Usaa Capital Growth Fund,
04BF9L-E,Fidelity Mega Cap Stock Fund,
04JW6L-E,Fidelity Large Cap Growth Index Fund,
04CMSC-E,Advisors Inner Circle - Haverford Quality Growth Stock Fund,
04HJV2-E,Sei Institutional Investment Trust - S&p 500 Index Fund,
04GYDR-E,Wisdomtree Tr. - Us Quality Dividend Growth Fund,
04BYFT-E,Dfa Tax Managed Us Equity Portfolio,
04KZKR-E,Fidelity Strategic Advisers Us Total Stock Fund,
04BB1R-E,Ge Rsp Us Equity Fund,
04CNFV-E,Janus Henderson - Global Equity Fund,
04H3H5-E,Fidelity Covington Tr. - Msci Industrials Index Etf,
04CLYB-E,Becker Value Equity Fund,
04H1BX-E,Ishares V Plc - S&p 500 (eur) Hedged Ucits Etf,
04CRYT-E,M&g Investment Funds (1) - North American Value Fund,
04BGD3-E,Nationwide Vit - S&p 500 Index Fund,
04D9MG-E,Blackrock Global Funds - Fixed Income Global Opportunities,
04CDBN-E,Capital Group Global Equity Fund (ca),
04GQ8D-E,Ssga Spdr Etfs Europe I Plc - S&p 500 Ucits Etf,
04J0VN-E,Nt Ucits Common Contractual Fd. - World Cus. Esg Eq. Ind. Fd.,
04GF7G-E,Nordea 1 - Alpha 15 Ma Fund,
04DYRR-E,Ishares Tr. - Russell Top 200 Growth Etf,
