Factset Fund ID,Fund Name,Discrepancy Column
04B8Z5-E,Blackrock Mid Cap Growth Equity Portfolio,position-(Ownership:991300 Profile: 1152691) 
04B8KH-E,American Funds New Perspective Fund,
04BF4M-E,Vanguard Total Stock Market Index Fund,
04BFYD-E,Vanguard Mid Cap Index Fund,
04BBHF-E,Janus Henderson Enterprise Fund,
04CW3F-E,First Trust Dow Jones Internet Index Fund,
04B98N-E,Mainstay Large Cap Growth Fund,
04BF1P-E,Vanguard Extended Market Index Fund,
04BBH8-E,Janus Henderson Research Fund,
04BSDG-E,Carmignac Patrimoine,
04CC29-E,Government Pension Fund - Global (the),
04BQKV-E,American Funds Insurance Series - Growth Income Fund,
04BF2L-E,Vanguard Growth Index Fund,
04BG4P-E,Hartford Growth Opportunities Fund (the),
04B9T2-E,Fidelity Otc Portfolio,
04B9K6-E,Fidelity Select Port. - It Services Portfolio,
04CWZN-E,Vanguard Mid Cap Growth Index Fund,
04BSDP-E,Carmignac Investissement,
04BFN6-E,Cref Growth Account,
04CXH8-E,St. James's Place Unit Trust - Worldwide Opportunities,
04B9RV-E,Fidelity Magellan Fund,
04CMHV-E,Voya Investors Trust - Large Cap Growth Portfolio,
04CQ5T-E,Goldman Sachs Am Netwin Internet Strategy Mother Fund,
04BSM4-E,Jpmorgan Growth Advantage Fund,
04BBKW-E,Federated Kaufmann Fund,
04BHQ9-E,Hartford Core Equity Fund,
04B9WW-E,Fidelity Extended Market Index Fund,
04BHQ4-E,Hartford Capital Appreciation Fund,
04D2NS-E,Federated Kaufmann Large Cap Fund,
04BCKR-E,Jpmorgan Mid Cap Growth Fund,
04BG2L-E,Transamerica Wmc Us Growth Vp,
04BX9G-E,Ishares Tr. - Russell Mid Cap Growth Etf,
04CLD8-E,Vanguard Information Technology Index Fund,
04BGBB-E,Voya Mid Cap Opportunities Portfolio,
04BHDC-E,Ishares Tr. - Russell 1000 Growth Etf,
04CW21-E,Tiaa-cref Large Cap Growth Fund,
04CKCQ-E,William Blair Small Mid Cap Growth Fund,
04BFN4-E,Cref Stock Account,
04B8YY-E,Columbia Mid Cap Growth Fund,
04BDHJ-E,Columbia Seligman Communications & Information Fund,
04B9HQ-E,Fidelity Advisor Series I -growth Opportunities Fund,
04B9QD-E,Franklin Dynatech Fund,
04BX99-E,Ishares Tr. - Russell Mid Cap Etf,
