FactSet Entity ID,Institution_name,Discrepancy_Column
009Q6F-E,IndexIQ Advisors LLC,
05JJBM-E,Keskinäinen Eläkevakuutusyhtiö Ilmarinen,
006VRV-E,SG Americas Securities LLC,
06F5NK-E,RBC Capital Markets LLC (Investment Management),
002P34-E,The Caisse de dépôt et placement du Québec,
0048PD-E,Shell Asset Management Company BV,
06HDPS-E,BCEE Asset Management SA,
002J58-E,"MUFG Union Bank, NA",
002HBD-E,"Jacobs Levy Equity Management, Inc.",
007753-E,Ronald L. Litzinger,NO DATA
0GVFFW-E,Tyers Asset Management LLC,
0H6JNC-E,Credit Suisse Asset Management (Schweiz) AG,
08C7YJ-E,BlackRock Asset Management Deutschland AG,
001MTF-E,Comerica Bank (Investment Management Texas),
004F37-E,Texas Permanent School Fund,
05KBWD-E,Fideuram Asset Management (Ireland) DAC,
05HCR0-E,1832 Asset Management LP,
06FZZY-E,Prelude Capital Management LLC,
006230-E,Mizuho Securities USA LLC,
008K3J-E,Alaska Retirement Management Board,
06C27W-E,"NLB Skladi, d.o.o.",
05K31K-E,The Norinchukin Bank (Investment Management),
00D1CQ-E,Quantbot Technologies LP,
001MJ6-E,Colorado Public Employees' Retirement Association,
05K7GZ-E,Wellington Management International Ltd.,
05RK9D-E,Utah Retirement Systems,
002H3S-E,"Nomura Asset Management Co., Ltd.",
002H3Q-E,Mutual of America Capital Management LLC,
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd.,
001T5F-E,State Teachers Retirement System of Ohio,
05G79W-E,Nordea Investment Management AB (Denmark),
002MDL-E,Systematic Financial Management LP,
0DYG4K-E,The Northwestern Mutual Life Insurance Co. (Invt Port),
006F31-E,DWS International GmbH,
05N4PC-E,Jefferies Investment Advisers LLC,
0GVFHV-E,Neuburgh Advisers LLC,
002HNF-E,"Citigroup Global Markets, Inc. (Broker)",
065ZDY-E,Pedro J. Pizarro,NO DATA
00D6TS-E,ARGI Investment Services LLC,
00140T-E,Tudor Investment Corp.,
002KM8-E,"Victory Capital Management, Inc.(Investment Management)",
0D58B0-E,Invesco Investment Advisers LLC,
00D6GY-E,"American National Registered Investment Advisor, Inc.",
05HNL1-E,State Street Global Advisors France SA,
001XT4-E,"DWS Investment Management Americas, Inc.",
05J6JS-E,Nissay Asset Management Corp.,
0DDBDX-E,Metropolitan Life Insurance Co. (Investment Portfolio),
002PL7-E,Moody National Bank (Trust Division),
00D16K-E,E*TRADE Capital Management LLC,
0080MP-E,"Lockwood Advisors, Inc.",
0071ZN-E,"Commonwealth Equity Services, Inc.",
05GSK4-E,DNB Asset Management AS,
0032WN-E,DuPont Capital Management Corp.,
0CLQ91-E,CIBC World Markets Corp.,
002Y4H-E,UBS Securities LLC,
0HXD23-E,Blueshift Asset Management LLC,
078XH2-E,Verition Fund Management LLC,
0C7CGL-E,"Creative Planning, Inc.",
002HJ2-E,Amalgamated Bank (Investment Management),
05J862-E,Neuberger Berman BD LLC,
06JZJ9-E,Alberta Investment Management Corp.,
05JP7W-E,"Highstreet Asset Management, Inc.",
002NC8-E,"ICON Advisers, Inc.",
0GVFFN-E,Meadow Creek Investment Management LLC,
05F9FV-E,AXA Rosenberg Investment Management LLC,Incorrect: aum-(Ownership:19700 Profile: 22477) 
0BGFYT-E,Russell C. Swartz,NO DATA
0BJ0LD-E,"RBC Global Asset Management, Inc.",
0DV7F4-E,KWMG LLC,
05J6XX-E,CNA Insurance Cos.,
0CVCK1-E,"Pacer Advisors, Inc.",
09SJS1-E,ABN AMRO Investment Solutions SA,
002H7B-E,Natixis Advisors LP,
0G15HV-E,Schonfeld Strategic Advisors LLC,
002H2Z-E,Hartford Investment Management Co.,
0D8QQB-E,"Raymond James Financial Services Advisors, Inc.",
0D9273-E,Redpoint Investment Management Pty Ltd.,
00D703-E,Parallax Volatility Advisers LP,
0074HR-E,PNC Investments LLC,
05ZYBJ-E,Barclays Capital Securities Ltd.,
002HR9-E,Capital International SARL,
002HXZ-E,Teachers Retirement System of the State of Kentucky,
06C5QC-E,BlueMountain Capital Management LLC,
002GSB-E,"Miller/Howard Investments, Inc.",
002HLZ-E,NISA Investment Advisors LLC,
0019KF-E,"CIBC Asset Management, Inc.",
0C04XM-E,Ziegler Capital Management LLC,
06Z4N0-E,Guggenheim Partners Investment Management LLC,
009S8T-E,"Ameritas Investment Partners, Inc.",
000L3V-E,"Grantham, Mayo, Van Otterloo & Co. LLC",
00D01J-E,"Cohen Capital Management, Inc. (California)",
05XF3L-E,Irish Life Investment Managers Ltd.,
00GFHN-E,Aberdeen Standard Capital Ltd.,
00CX44-E,DBX Advisors LLC,
0HFPMQ-E,Pictet Asset Management Ltd. (Italy),
004B51-E,American Assets Investment Management LLC,
05HDD9-E,Manulife Asset Management (Hong Kong) Ltd.,
0KMSQT-E,Wealthfront Advisers LLC,
00D3JM-E,Simplex Trading LLC,
099NQD-E,FIL Pensions Management,
05FWFM-E,Premier Fund Managers Ltd.,
0DH2NF-E,MML Investment Advisers LLC,
0612GZ-E,The Public Sector Pension Investment Board,
002GL7-E,New Mexico Educational Retirement Board,
06LD0Q-E,Invesco Asset Management Deutschland GmbH,
0CH436-E,"Sumitomo Mitsui Trust Asset Management Co., Ltd.",
002HRC-E,"Crossmark Global Investments, Inc.",
0DZ853-E,Wellington Management Singapore Pte Ltd.,
06149J-E,South Dakota Investment Council,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)",
05SP7S-E,Banque Cantonale Vaudoise (Investment Management),
05FVVM-E,ProFund Advisors LLC,
07KW7X-E,"Legal & General Investment Management America, Inc.",
002GGK-E,Rampart Investment Management Co. LLC,
06TMWC-E,Natixis Investment Managers International SA,
00FDDB-E,HRT Financial LLC,
0631M3-E,IFM Investors Pty Ltd.,
05G975-E,Danske Bank A/S (Investment Management),
0G7PZK-E,Arca Fondi SGR SpA,
0GK9D1-E,D.A. Davidson & Co. (Investment Management),
0076JN-E,Capital Fund Management SA,
06H2SB-E,First Securities Investment Trust Co. Ltd.,
0DNBZ2-E,Cubist Systematic Strategies LLC,
05ZP03-E,Dimensional Fund Advisors Ltd.,
00CZN8-E,State Street Global Advisors Ireland Ltd.,
07NMMQ-E,Neuberger Berman Investment Advisers LLC,
05K1YC-E,Eurizon Capital SA,
073Q04-E,"Cutter & Co. Brokerage, Inc. (Investment Management)",
0JK8HH-E,Danske Bank A/S (Investment Management Sweden),
0JJVHD-E,"Ruane, Cunniff & Goldfarb LP",
05LQ04-E,Kentucky Retirement Systems,
008K0W-E,United Capital Financial Advisers LLC,Incorrect: aum-(Ownership:22056 Profile: 21476) 
05FW8P-E,CPR Asset Management SA,
0DV738-E,Pacad Investment Ltd.,
0CN24P-E,City National Rochdale LLC,
06Z0SL-E,Macquarie Investment Management Global Ltd.,
0HWFTZ-E,ExodusPoint Capital Management LP,
0DYG40-E,Amica Mutual Insurance Co. (Investment Portfolio),
07HQ1Z-E,HighTower Advisors LLC,
05K7SL-E,LLB Asset Management AG,
06QP03-E,Lån & Spar Bank A/S (Investment Management),
05V81Q-E,State Street Global Advisors (Japan) Co. Ltd.,
0G1KQH-E,Degroof Petercam Asset Management SA,
05FL7Y-E,Wolverine Trading LLC,
06Q1B4-E,BlackRock (Singapore) Ltd.,
05GNGN-E,"Wilmington Trust Investment Advisors, Inc.",
0BBF05-E,Maria C. Rigatti,NO DATA
0011MX-E,Glenmede Investment Management LP,
0GXZ6H-E,Machina Capital SAS,
0H2G9Y-E,Aberdeen Investment Solutions Ltd.,
004G3H-E,Peak6 Capital Management LLC,
0KMSNB-E,Farmers & Merchants Trust Co. of Long Beach (Invt Mgmt),
005P98-E,"Manchester Financial, Inc.",
060DTF-E,"Mirae Asset Global Investments Co., Ltd.",
0DLDNG-E,Dynamic Technology Lab Pte Ltd.,
0G68G4-E,O'Shares Investment Advisers LLC,
07QM1L-E,Tower Research Capital LLC,
05FW1Q-E,"The Moneypaper Advisor, Inc.",
06CCRX-E,Louisiana State Employees' Retirement System,
005N9V-E,Jane Street Capital LLC,
05L8NW-E,SEI Investments Canada Co.,
05HLZQ-E,Old Mutual Investment Group (Pty) Ltd.,
009S80-E,"First Republic Investment Management, Inc.",
0GH8XH-E,Qube Research & Technologies Ltd.,
05J6QK-E,"Los Angeles Capital Management & Equity Research, Inc.",
002J3B-E,OakBrook Investments LLC,
0C2W36-E,Voloridge Investment Management LLC,
05HPRQ-E,W&W Asset Management GmbH,
0C86GB-E,BFSG LLC,
05PW13-E,Macquarie Investment Management Austria Kapitalanlage AG,
0049MP-E,RegentAtlantic Capital LLC,
00BQTC-E,LS Investment Advisors LLC,
0G7J03-E,"Trilogy Capital, Inc.",
0J8GKZ-E,Seeyond SA,
002L8H-E,"CIBC Private Wealth Advisors, Inc.",
0071NH-E,MML Investors Services LLC,
074WM9-E,Stuart R. Hemphill,NO DATA
002GVY-E,"Thrivent Investment Management, Inc.",
0DL9MD-E,KCS Wealth Advisory LLC,
003C27-E,Wilmington Funds Management Corp.,
002YD0-E,First Foundation Advisors,
002LY6-E,Teacher Retirement System of Texas,
0D2W16-E,Cetera Advisor Networks LLC,
0DF26R-E,Mutual Advisors LLC,
0FB3YK-E,Merrill Lynch International (Investment Management),
05PKND-E,"Clark Capital Management Group, Inc.",
001LWP-E,Everett Harris & Co.,
0FL6WR-E,Allianz Global Investors Asia Pacific Ltd.,
0074DB-E,Jump Trading LLC,
003RRD-E,Susquehanna Financial Group LLLP,
05KZN7-E,"CIBC World Markets, Inc.",
075NT7-E,OxFORD Asset Management LLP,
05K5TW-E,Sanlam Investment Management (Pty) Ltd.,
002GTP-E,Gateway Investment Advisers LLC,
06D2PY-E,"Securities America Advisors, Inc.",
061DXL-E,"State Street Global Advisors, Australia, Ltd.",
006THN-E,Cetera Advisors LLC,
0618KM-E,Employees Retirement System of Texas,
0038VG-E,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,
002HHC-E,Austin Atlantic Asset Management Co.,
006ZH9-E,"Advisors Asset Management, Inc.",
05LZ44-E,"Nexus Investment Management, Inc.",
0BZXX2-E,Guggenheim Funds Investment Advisors LLC,
05GRNK-E,"ClearArc Capital, Inc.",
006W17-E,Zebra Capital Management LLC,
05G5RD-E,FIL Investment Management (Hong Kong) Ltd.,
0718CY-E,The Municipal Employees' Retirement System of Michigan,
0D5X11-E,Skandia Investment Management AB,
0CZNZJ-E,Private Advisor Group LLC,
06C7RY-E,Peter J. Taylor,NO DATA
05J57J-E,DZ PRIVATBANK SA,
088SCL-E,Gaddi H. Vasquez,NO DATA
05GVB9-E,E. Öhman J :or Fonder AB,
05G352-E,"Hussman Strategic Advisors, Inc.",
0DDLFQ-E,Janney Montgomery Scott LLC (Investment Management),
0GKB9B-E,Achmea Investment Management BV,
0DJQBS-E,"Oppenheimer & Co., Inc. (Wealth Management)",
05JBJD-E,Nykredit Bank A/S (Investment Management),
003L7H-E,"Foster & Motley, Inc.",
00B4HZ-E,Global X Management Co. LLC,
002HGT-E,"SunTrust Banks, Inc. (Wealth Management)",
05HX0B-E,Russell Investments Ltd.,
002HRL-E,"Cigna Investments, Inc.",
09CG0R-E,Sparinvest SA (Denmark),
05HM07-E,State Street Global Advisors Ltd. (Canada),
0080QY-E,GSA Capital Partners LLP,
0BGFVV-E,Kevin M. Payne,NO DATA
0C5CZX-E,Beacon Pointe Advisors LLC,
001JJ6-E,"Kornitzer Capital Management, Inc.",
0GFY4W-E,Tech Square Trading LP,
07GBC6-E,"Mercer Global Advisors, Inc.",
0CYFP7-E,Squar Milner Financial Services LLC,
0F1VXV-E,Adam S. Umanoff,NO DATA
0012DH-E,"Everence Capital Management, Inc.",
09SCX6-E,LMR Partners LLP,
05GDZX-E,FIM Asset Management Ltd.,
05HF98-E,FIL Gestion SASU,
005HYK-E,The PrivateBank & Trust Co. (Investment Management),
0FJWF8-E,Teza Capital Management LLC,
002H6W-E,"Lawson Kroeker Investment Management, Inc.",
0CTN67-E,Skandinaviska Enskilda Banken AB (Denmark),
00BQKM-E,Old Mission Capital LLC,
0DVJ4H-E,BlackRock Asset Management Schweiz AG,
05P8JC-E,Degroof Petercam Asset Services SA,
066XHG-E,Marshall Wace North America LP,
0B4476-E,Ossiam SA,
0717BB-E,Clifford Swan Investment Counsel LLC,
00D13P-E,"First Allied Advisory Services, Inc.",
05STRL-E,Meiji Yasuda Asset Management Co. Ltd.,
00FYV6-E,Landscape Capital Management LLC,
06QGX5-E,"Nomura Securities Co., Ltd. (Private Banking)",
0H2YCC-E,"Wedbush Securities, Inc. (Investment Management)",
0D6P2W-E,Bank J. Safra Sarasin AG (Investment Management),
05H8J8-E,Goldman Sachs Asset Management International,
0D7YRS-E,Hancock Whitney Bank (Investment Management),
09QBTD-E,Janet T. Clayton,NO DATA
05X6XR-E,Veritable LP,
05G696-E,Union Investment Institutional GmbH,
004VF9-E,Security National Trust Co.,
002G4S-E,"Private Asset Management, Inc.",
0DRH69-E,COMMERZBANK AG (Investment Management),
05FTVB-E,William P. Sullivan,NO DATA
0CSMC3-E,The Investment House LLC,
0KVYGW-E,Estate Of Tauscher Ellen Okane,NO DATA
0C3H65-E,"Mitchell, McLeod, Pugh & Williams, Inc.",
00907S-E,Reilly Financial Advisors LLC,
060R9V-E,"Hexavest, Inc.",
00BZKF-E,TD Ameritrade Investment Management LLC,
001T29-E,"Conning, Inc.",Incorrect: aum-(Ownership:74184 Profile: 72041) 
0D2CW0-E,BB&T Securities LLC,
09NF3J-E,BG Fund Management Luxembourg SA,
005GNQ-E,"Wetherby Asset Management, Inc.",
0025QG-E,Old National Bank (Investment Management),
05FW6P-E,HSBC Global Asset Management (France) SA,
0L45NK-E,Estate Of Nichols Ronald Owen,NO DATA
0C98MF-E,"EQIS Capital Management, Inc.",
07L0CH-E,Zeke Capital Advisors LLC,
002H9X-E,First Midwest Bank Trust Division,
074C8T-E,Lombard Odier Asset Management (Switzerland) SA,
002L4X-E,Paradigm Asset Management Co. LLC,
09QWTV-E,BNP Paribas Asset Management Belgium SA,
05FQ0X-E,Linda Gillespie Stuntz,NO DATA
0DVH09-E,First Hawaiian Bank (Wealth Management),
07GPD8-E,Estabrook Capital Management LLC,
05G72B-E,Amundi Iberia SGIIC SA,
07K0FK-E,Feri Trust GmbH,
06JN4W-E,BNP Paribas Arbitrage SNC,
05PN7C-E,Douglass Winthrop Advisors LLC,
0C9H0R-E,Financial Advocates Investment Management LLC,
0C8V4Y-E,"Regal Wealth Group, Inc.",
0G67J4-E,Steward Partners Investment Advisory LLC,
00BJ81-E,Cerebellum GP LLC,
07FDBB-E,"Bellatore Financial, Inc.",
0DQ0M1-E,Pax Ellevate Management LLC,
05K2L0-E,Invesco Australia Ltd.,
005H1L-E,Vanessa C. L. Chang,NO DATA
0076G4-E,Covington Capital Management,
