FactSet Entity ID,Institution_name,Discrepancy_Column
05GSFD-E,KLP Kapitalforvaltning AS,
09ZTH9-E,Brown Advisory LLC,
0GVFHN-E,Glen Harbor Capital Management LLC,
00C84T-E,Nuance Investments LLC,
05JJB4-E,Andra AP-fonden,
002GQ5-E,Jacobs & Co. (California),Incorrect: aum-(Ownership:682 Profile: 664) 
0618KM-E,Employees Retirement System of Texas,
002HCN-E,Osborn Williams & Donohoe LLC,
009ND6-E,KBC Asset Management NV,
006F31-E,DWS International GmbH,
0C2SKJ-E,Sheaff Brock Investment Advisors LLC,
00496Q-E,Susquehanna Investment Group LLC,
0CSMC3-E,The Investment House LLC,
094VV1-E,ANIMA Sgr SpA,
0FYZK3-E,Xact Kapitalförvaltning AB,
002HJB-E,BlackRock Advisors LLC,
001PBJ-E,"Eagle Asset Management, Inc.",
05FBK7-E,Morgan Stanley & Co. LLC,
05GPWC-E,The Oregon Investment Council,
002J0Q-E,"Fort Washington Investment Advisors, Inc.",
0C2W36-E,Voloridge Investment Management LLC,
0G1KQH-E,Degroof Petercam Asset Management SA,
05XF3L-E,Irish Life Investment Managers Ltd.,
0GGXNT-E,"Unigestion Asset Management (Canada), Inc.",
002HJJ-E,Cadinha & Co. LLC,
05G6HN-E,SEB Investment Management AB,
0KKQC8-E,"Graves-Light Private Wealth Management, Inc.",
060K8R-E,Calamos Advisors LLC,
002GGK-E,Rampart Investment Management Co. LLC,
007JNW-E,Ironwood Investment Counsel LLC,
0C38YG-E,Eliot Michelow Finkel (Investment Management),
001Y83-E,Bessemer Investment Management LLC,
0GKB9B-E,Achmea Investment Management BV,
0DH8SC-E,Blackstone Alternative Investment Advisors LLC,
002HGT-E,"SunTrust Banks, Inc. (Wealth Management)",
001MJ6-E,Colorado Public Employees' Retirement Association,
06RP12-E,The Glenview Trust Co.,
05G259-E,"Cambridge Financial Group, Inc. (Ohio)",
0CJK8G-E,Monyx Financial Group AB,
002G6D-E,"Bahl & Gaynor, Inc.",
0019KF-E,"CIBC Asset Management, Inc.",
004F37-E,Texas Permanent School Fund,
05J6JN-E,"The Dai-ichi Life Insurance Co., Ltd. (Investment Portfolio)",
05FW5X-E,BNP Paribas Asset Management France SAS,
08BS69-E,"Sawyer & Co., Inc.",
05NLNX-E,BC Investment Management Corp.,
05K31K-E,The Norinchukin Bank (Investment Management),
0DDBDX-E,Metropolitan Life Insurance Co. (Investment Portfolio),
001J5S-E,The Park National Bank (Investment Management),
0GCW2M-E,"SunTrust Advisory Services, Inc.",
05RK9D-E,Utah Retirement Systems,
05J6JS-E,Nissay Asset Management Corp.,
0FB3YK-E,Merrill Lynch International (Investment Management),
05NDVW-E,Illinois State Board of Investment,
0GMWYQ-E,Calvert Research & Management,
002JJ1-E,Woodstock Corp.,
06QBDB-E,Mn Services Vermogensbeheer BV,
002M15-E,Trillium Asset Management LLC,
002JSF-E,North American Management Corp.,
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd.,
001JZX-E,Brown Brothers Harriman & Co. (Investment Management),
002GTQ-E,"New England Asset Management, Inc.",
05JJC3-E,Tredje AP-fonden,
002HYG-E,"David Wendell Associates, Inc.",
0GVFHV-E,Neuburgh Advisers LLC,
0083B6-E,Stevens First Principles Investment Advisors,Incorrect: turnover-(Ownership:Very Low Profile: Low) 
066XHG-E,Marshall Wace North America LP,
060DTF-E,"Mirae Asset Global Investments Co., Ltd.",
002J0K-E,Fiduciary Trust Co.,
002JJ7-E,"Bailard, Inc.",
05YW84-E,Coastline Trust Co.,
07RCT9-E,Iowa State Bank (Des Moines),
001N0P-E,"Peter B. Cannell & Co., Inc.",
000PC4-E,MacKay Shields LLC,
05MFWB-E,Huntington National Bank (Investment Management),
05G2J8-E,Eurizon Capital SGR SpA,
05HNL1-E,State Street Global Advisors France SA,
001YQZ-E,"Monarch Capital Management, Inc.",
00BQTC-E,LS Investment Advisors LLC,
