FactSet Entity ID,Institution_name,Discrepancy_Column
05H8J8-E,Goldman Sachs Asset Management International,Incorrect: eaum 
000P8M-E,"Lord, Abbett & Co. LLC",
06L8XD-E,BlackRock Investment Management LLC,
06NPXD-E,Capital Research & Management Co. (World Investors),
000LH9-E,Federated MDTA LLC,
05F9FS-E,AllianceBernstein LP,
0012ZV-E,HBK Investments LP,
075NT7-E,OxFORD Asset Management LLP,
003LBB-E,AQR Capital Management LLC,
06PMGQ-E,BlackRock Investment Management (Australia) Ltd.,
06DB7L-E,FIAM LLC,
06327D-E,Mitsubishi UFJ Trust & Banking Corp. (Investment Management),
077MSX-E,Nima Jacobs Kelly,NO DATA
000FF4-E,Credit Suisse Securities (USA) LLC (Broker),
0JQFMD-E,Atom Investors LP,
07KDFN-E,University of Notre Dame (Investment Management),
0D7C6T-E,"Wells Fargo Bank, NA (Private Banking)",
0DMK17-E,Taylor Wealth Management Partners LLC,
001YT0-E,Ohio Public Employees Retirement System,Incorrect: aum 
000PC4-E,MacKay Shields LLC,Incorrect: aum 
002J1N-E,NNIP Advisors BV,
0024Q5-E,"Capital International, Inc.",
0H29XJ-E,Red Cedar Management LP,
0GMWYQ-E,Calvert Research & Management,Incorrect: style eaum 
05HP6D-E,AMP Capital Investors Ltd.,
069316-E,DWS Investments (UK) Ltd.,
0CJ46C-E,"RBC Dominion Securities, Inc. (Investment Management)",
001VR9-E,Moore Capital Management LP,
0043R8-E,Marshall Wace LLP,
0035QZ-E,Stevens Capital Management LP,
09Y0R8-E,Silver Lake Management Co. LLC,Incorrect: eaum 
0BCNBH-E,Nuveen Asset Management LLC,
06CRJR-E,Raymond E. Winborne,NO DATA
00FC8N-E,Cipher Capital LP,
05G643-E,Credit Suisse AG,Incorrect: eaum 
0606CR-E,Vanguard Investments Australia Ltd.,
0618D7-E,Zurich Life Assurance Plc,
0020GL-E,Vanguard Fiduciary Trust Co.,
0BQCLM-E,Elk Creek Partners LLC,
005N9V-E,Jane Street Capital LLC,Incorrect: eaum 
0D4S3P-E,James M. Carroll,NO DATA
