FactSet Entity ID,Institution_name,Discrepancy_Column,
002LG5-E,Analytic Investors LLC, ,
05G6HN-E,SEB Investment Management AB, ,
002G7V-E,"Dillon & Associates, Inc.", ,
002M15-E,Trillium Asset Management LLC, ,
009ND6-E,KBC Asset Management NV, ,
002H43-E,"PanAgora Asset Management, Inc.", ,
00577F-E,Gabelli Funds LLC, ,
001ZF3-E,Aberdeen Asset Managers Ltd., ,
001JZX-E,Brown Brothers Harriman & Co. (Investment Management), ,
0618D7-E,Zurich Life Assurance Plc, ,
05G643-E,Credit Suisse AG, ,
000BPX-E,APG Asset Management NV, ,
05V81C-E,ACTIAM NV, ,
06Q1B4-E,BlackRock (Singapore) Ltd., ,
002HDZ-E,"Henry H. Armstrong Associates, Inc.", ,
05FWLZ-E,Aberdeen Asset Investments Ltd., ,
0C90JQ-E,Nixon Peabody Financial Advisors LLC, ,
0DDLFQ-E,Janney Montgomery Scott LLC (Investment Management), ,
05G3L9-E,Raiffeisen Kapitalanlage-Gesellschaft mbH, ,
004F37-E,Texas Permanent School Fund, ,
0090PS-E,"Patriot Wealth Management, Inc.", ,
00907S-E,Reilly Financial Advisors LLC, ,
0DYG4K-E,The Northwestern Mutual Life Insurance Co. (Invt Port), ,
05GNGN-E,"Wilmington Trust Investment Advisors, Inc.", ,
05JJ9M-E,Fjarde AP-fonden, ,
05K31K-E,The Norinchukin Bank (Investment Management), ,
0C7SBR-E,Brightworth LLC, ,
005GHN-E,"Oppenheimer Asset Management, Inc.", ,
0032WN-E,DuPont Capital Management Corp., ,
05RK9D-E,Utah Retirement Systems, ,
009X9F-E,Renaissance Investment Group LLC, ,
001MJ6-E,Colorado Public Employees' Retirement Association, ,
0080MP-E,"Lockwood Advisors, Inc.", ,
000XKH-E,TCW Asset Management Co. LLC, ,
05K8QH-E,JPMorgan International Bank Ltd., ,
07HKTT-E,Federated Global Investment Management Corp., ,
002J23-E,"Loring, Wolcott & Coolidge Fiduciary Advisors LLP", ,
05FYG9-E,Vontobel Asset Management AG, ,
0DX2RS-E,"Investec Asset Management North America, Inc.", ,
002HVY-E,Meyer Handelman Co. LLC, ,
00G8LL-E,EOS Focused Equity Management LP, ,
0GMWYQ-E,Calvert Research & Management, ,
05HPFF-E,Canada Pension Plan Investment Board, ,
00B346-E,LPL Financial LLC, ,
0021HG-E,Chartwell Investment Partners LLC, ,
008Z3V-E,Marble Harbor Investment Counsel LLC, ,
0FYZK3-E,Xact Kapitalforvaltning AB, ,
06DQ8L-E,Stephens Investment Management Group LLC, ,
0G67J4-E,Steward Partners Investment Advisory LLC, ,
05GSK4-E,DNB Asset Management AS, ,
05VHVJ-E,Lazard Asset Management LLC, ,
05T76G-E,"Penobscot Investment Management Co., Inc.", ,
0090LS-E,Richard C. Young & Co. Ltd., ,
0048PD-E,Shell Asset Management Company BV, ,
05J6Y6-E,Commerce Bank (Investment Management), ,
002P1V-E,"Opus Investment Management, Inc.", ,
0C8QKB-E,Herbert Faulkner Reilly III (Investment Management), ,
001JQG-E,WEDGE Capital Management LLP, ,
008K3J-E,Alaska Retirement Management Board, ,
00BQTC-E,LS Investment Advisors LLC, ,
002FQB-E,F.L. Putnam Investment Management Co., ,
002JJ1-E,Woodstock Corp., ,
0071ZN-E,"Commonwealth Equity Services, Inc.", ,
0025QG-E,Old National Bank (Investment Management), ,
002P34-E,The Caisse de depot et placement du Quebec, ,
002JMT-E,"Bradley, Foster & Sargent, Inc.", ,
0GCKCQ-E,"Franklin, Parlapiano, Turner & Welch LLC", ,
05M4WB-E,"Tower Bridge Advisors, Inc.", ,
003QZ9-E,"Goelzer Investment Management, Inc.", ,
06Z4N0-E,Guggenheim Partners Investment Management LLC, ,
002HWY-E,"Pittenger & Anderson, Inc.", ,
000RGG-E,Mason Street Advisors LLC, ,
003LJ0-E,"Bragg Financial Advisors, Inc.", ,
002VK6-E,Walter Scott & Partners Ltd., ,
00B0TT-E,WealthTrust Fairport LLC, ,
07JGRK-E,Cornerstone Capital Management Holdings LLC,,
05K5TW-E,Sanlam Investment Management (Pty) Ltd., ,
0DDBDX-E,Metropolitan Life Insurance Co. (Investment Portfolio), ,
0684CV-E,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.", ,
002LL2-E,Kanawha Capital Management LLC, ,
002H3Q-E,Mutual of America Capital Management LLC, ,
08756C-E,Fidelity (Canada) Asset Management ULC, ,
002KM8-E,"Victory Capital Management, Inc.(Investment Management)", ,
00D6GY-E,"American National Registered Investment Advisor, Inc.", ,
05ZP03-E,Dimensional Fund Advisors Ltd., ,
0J0WX8-E,JGP Wealth Management LLC, ,
002HJ2-E,Amalgamated Bank (Investment Management), ,
0JD1LK-E,CX Institutional LLC, ,
0DJQBS-E,"Oppenheimer & Co., Inc. (Wealth Management)", ,
002HTL-E,"Hendley & Co., Inc.", ,
002GTZ-E,"Johnson Investment Counsel, Inc.", ,
002H2Z-E,Hartford Investment Management Co., ,
007RWM-E,TBFM LLP, ,
066NC4-E,"Haverford Financial Services, Inc.", ,
001PBJ-E,"Eagle Asset Management, Inc.", ,
0019KF-E,"CIBC Asset Management, Inc.", ,
0GK52S-E,"BB&T Institutional Investment Advisers, Inc.", ,
05JJC2-E,Forsta AP-fonden, ,
002SMY-E,Pillar Pacific Capital Management LLC, ,
0BG6YQ-E,Richard Bernstein Advisors LLC, ,
0C7BVB-E,"Commerce Investment Advisors, Inc.", ,
074MK0-E,Broadway National Bank Asset Management, ,
0JZRF0-E,"Andesa Financial Management, Inc.", ,
081WGM-E,"BOKF, NA", ,
05NSRR-E,"A.N. Culbertson & Co., Inc.", ,
003LHZ-E,BP Investment Management Ltd., ,
05LQW5-E,Clough Capital Partners LP, ,
066BNY-E,Credit Andorra,Incorrect: style-(Ownership:None Profile: ) ,
05SYRM-E,Los Angeles City Employees Retirement System,,
0B4476-E,Ossiam SA, ,
0049LM-E,Two Sigma Investments LP, ,
0B6K88-E,Cambria Investment Management LP, ,
05G6NV-E,Nordea Investment Management AB, ,
002PL7-E,Moody National Bank (Trust Division), ,
002GG9-E,McKinley Capital Management LLC, ,
05LVK2-E,Fruth Investment Management, ,
05MFWB-E,Huntington National Bank (Investment Management), ,
002JPV-E,Allstate Investment Management Co., ,
0DMS5B-E,Capital Bank & Trust Co. (Investment Management), ,
002GF6-E,"Argus Investors' Counsel, Inc.", ,
002H57-E,"Armstrong Shaw Associates, Inc.", ,
0CW4TM-E,Silvercrest Asset Management Group LLC, ,
05GPWC-E,The Oregon Investment Council, ,
001YX3-E,"Securian Asset Management, Inc.", ,
05GBGD-E,Amundi Deutschland GmbH, ,
002HDX-E,Arcadia Investment Management Corp., ,
0CV2GP-E,Ascent Wealth Partners LLC, ,
0C8883-E,Blue Rock Advisors LLC, ,
00DJHK-E,Summit Global Investments LLC, ,
0C27BS-E,Signet Financial Management LLC, ,
003SP6-E,Capital Analysts LLC, ,
05KSHP-E,Callan LLC, ,
002HXZ-E,Teachers Retirement System of the State of Kentucky, ,
06C27W-E,"NLB Skladi, d.o.o.", ,
00FH8G-E,Segment Wealth Management LLC, ,
003BXT-E,Nichols & Pratt Advisers LLP, ,
00189R-E,"UMB Bank, NA (Investment Management)", ,
0C7GG6-E,Stratos Wealth Partners Ltd., ,
09KLWX-E,Brookfield Public Securities Group LLC, ,
002HRC-E,"Crossmark Global Investments, Inc.", ,
0C27D7-E,Scholtz & Co. LLC, ,
00GFHN-E,Aberdeen Standard Capital Ltd., ,
002H07-E,Charter Trust Co., ,
0HQYQK-E,BancorpSouth Bank (Investment Management), ,
0076G4-E,Covington Capital Management, ,
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd., ,
0FJYPK-E,Institutional & Family Asset Management LLC, ,
002J58-E,"MUFG Union Bank, NA", ,
001207-E,Segall Bryant & Hamill LLC, ,
003L7B-E,"Cornerstone Advisors, Inc.", ,
071FY0-E,"FIS Group, Inc.", ,
07NQS6-E,Weiler & Eberhardt Depotverwaltung AG, ,
05HDD9-E,Manulife Asset Management (Hong Kong) Ltd., ,
0C3PPV-E,EagleClaw Capital Management LLC,Incorrect: aum-(Ownership:238 Profile: 263) eaum-(Ownership:224.858864 Profile: 231) ,
003RLJ-E,"Carderock Capital Management, Inc.", ,
001MDY-E,Ontario Teachers' Pension Plan Board, ,
008K0W-E,United Capital Financial Advisers LLC, ,
009K4M-E,Security Investors LLC, ,
05JJC3-E,Tredje AP-fonden, ,
0F1YWP-E,River Wealth Advisors LLC, ,
000KVL-E,"GAMCO Asset Management, Inc.", ,
002DFS-E,Maverick Capital Ltd., ,
00CX44-E,DBX Advisors LLC, ,
0814VH-E,Delta Capital Management LLC (New York), ,
0CVCK1-E,"Pacer Advisors, Inc.", ,
006840-E,"Morgan Stanley Investment Management, Inc.", ,
0DY7G5-E,Ropes Wealth Advisors LLC, ,
0CQGBF-E,Great Lakes Advisors LLC, ,
002J55-E,"TWIN Capital Management, Inc.", ,
0612GZ-E,The Public Sector Pension Investment Board, ,
002GL7-E,New Mexico Educational Retirement Board, ,
0GLJY4-E,Northstar Capital Management LLC, ,
004VF9-E,Security National Trust Co., ,
0HJZ2P-E,Albar Capital Ltd., ,
05TBQH-E,Wolverine Asset Management LLC, ,
061VCS-E,First American Bank (Asset Management), ,
0J04L5-E,Keeler Thomas Management LLC, ,
0022CW-E,"Foresters Investment Management Co., Inc.", ,
002HYG-E,"David Wendell Associates, Inc.", ,
0JVWCD-E,"People's United Advisors, Inc.", ,
05J6JN-E,"The Dai-ichi Life Insurance Co., Ltd. (Investment Portfolio)", ,
0G1KQH-E,Degroof Petercam Asset Management SA, ,
05K7XR-E,CAPFI DELEN Asset Management SA, ,
002GB3-E,Prio Wealth LP, ,
05G23H-E,Water Island Capital LLC, ,
009S8T-E,"Ameritas Investment Partners, Inc.", ,
009JC8-E,"GHP Investment Advisors, Inc.", ,
0CN45L-E,1919 Investment Counsel & Trust Co. NA,,
0DV7CF-E,Long Road Investment Counsel LLC, ,
07PWJV-E,Northwest & Ethical Investments LP, ,
0GN6R7-E,Corient Capital Partners LLC, ,
