FactSet Entity ID,Institution_name,Discrepancy_Column
002J1K-E,"Howe & Rusling, Inc.",
05K57N-E,Tennessee Consolidated Retirement System,
05WSYW-E,"Brinker Capital, Inc.",
05GPWC-E,The Oregon Investment Council,
0GVBY1-E,Flinton Capital Management LLC,
05J862-E,Neuberger Berman BD LLC,
09Q6NJ-E,JPMorgan Asset Management (Canada) Inc.,
05G36K-E,Gulf International Bank (UK) Ltd.,
0DKM72-E,Michigan Department of Treasury (Investment Management),
00FC62-E,Riverhead Capital Management LLC,
05V7ZM-E,NS Partners Ltd.,
001ZF3-E,Aberdeen Asset Managers Ltd.,
001NBV-E,"PNC Bank, NA (Investment Management)",
003G7H-E,"US Bancorp Asset Management, Inc.",
05XF3L-E,Irish Life Investment Managers Ltd.,
009Q6F-E,IndexIQ Advisors LLC,
05NDVW-E,Illinois State Board of Investment,
05JJC2-E,FÌ¦rsta AP-fonden,
05JJBM-E,KeskinÌ_inen ElÌ_kevakuutusyhtiÌ¦ Ilmarinen,
06T5YJ-E,ZÌ_rcher Kantonalbank (Investment Management),
06F5NK-E,RBC Capital Markets LLC (Investment Management),
0H6JNC-E,Credit Suisse Asset Management (Schweiz) AG,
0048PD-E,Shell Asset Management Company BV,
06HDPS-E,BCEE Asset Management SA,
001MTF-E,Comerica Bank (Investment Management Texas),
002HBD-E,"Jacobs Levy Equity Management, Inc.",
0GVFFW-E,Tyers Asset Management LLC,
002J58-E,"MUFG Union Bank, NA",
05G6HN-E,SEB Investment Management AB,
009ND6-E,KBC Asset Management NV,
08C7YJ-E,BlackRock Asset Management Deutschland AG,
05KBWD-E,Fideuram Asset Management (Ireland) DAC,
05HCR0-E,1832 Asset Management LP,
06FZZY-E,Prelude Capital Management LLC,
004F37-E,Texas Permanent School Fund,
008K3J-E,Alaska Retirement Management Board,
06C27W-E,"NLB Skladi, d.o.o.",
00D1CQ-E,Quantbot Technologies LP,
001MJ6-E,Colorado Public Employees' Retirement Association,
0FM5MX-E,NN Investment Partners BV,
05RK9D-E,Utah Retirement Systems,
002H3S-E,"Nomura Asset Management Co., Ltd.",
002P34-E,The Caisse de dÌ©pÌ«t et placement du QuÌ©bec,
002H3Q-E,Mutual of America Capital Management LLC,
003L2K-E,"Tealwood Asset Management, Inc.",
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd.,
001T5F-E,State Teachers Retirement System of Ohio,
0DFMYG-E,BMO Asset Management Corp.,
05G53H-E,Candriam Belgium SA,
05G79W-E,Nordea Investment Management AB (Denmark),
0684CV-E,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",
0DYG4K-E,The Northwestern Mutual Life Insurance Co. (Invt Port),
006F31-E,DWS International GmbH,
05N4PC-E,Jefferies Investment Advisers LLC,
0GVFHV-E,Neuburgh Advisers LLC,
002HNF-E,"Citigroup Global Markets, Inc. (Broker)",
00D6TS-E,ARGI Investment Services LLC,
00140T-E,Tudor Investment Corp.,
002KM8-E,"Victory Capital Management, Inc.(Investment Management)",
0D58B0-E,Invesco Investment Advisers LLC,
00D6GY-E,"American National Registered Investment Advisor, Inc.",
05HNL1-E,State Street Global Advisors France SA,
001XT4-E,"DWS Investment Management Americas, Inc.",
00B346-E,LPL Financial LLC,
000RGG-E,Mason Street Advisors LLC,
05K31K-E,The Norinchukin Bank (Investment Management),
0DDBDX-E,Metropolitan Life Insurance Co. (Investment Portfolio),
002PL7-E,Moody National Bank (Trust Division),
00D16K-E,E*TRADE Capital Management LLC,
0080MP-E,"Lockwood Advisors, Inc.",
0071ZN-E,"Commonwealth Equity Services, Inc.",
05FWKL-E,JF Asset Management Ltd.,
05GSK4-E,DNB Asset Management AS,
0CLQ91-E,CIBC World Markets Corp.,
002Y4H-E,UBS Securities LLC,
0HXD23-E,Blueshift Asset Management LLC,
078XH2-E,Verition Fund Management LLC,
05J6JS-E,Nissay Asset Management Corp.,
0C7CGL-E,"Creative Planning, Inc.",
003LHZ-E,BP Investment Management Ltd.,
0CH436-E,"Sumitomo Mitsui Trust Asset Management Co., Ltd.",
002HJ2-E,Amalgamated Bank (Investment Management),
06JZJ9-E,Alberta Investment Management Corp.,
05JP7W-E,"Highstreet Asset Management, Inc.",
0KSFG8-E,"Sumitomo Mitsui DS Asset Management Co., Ltd.",
0GVFFN-E,Meadow Creek Investment Management LLC,
05F9FV-E,AXA Rosenberg Investment Management LLC,
0BJ0LD-E,"RBC Global Asset Management, Inc.",
0DV7F4-E,KWMG LLC,
05J6XX-E,CNA Insurance Cos.,
0CVCK1-E,"Pacer Advisors, Inc.",
09SJS1-E,ABN AMRO Investment Solutions SA,
002H7B-E,Natixis Advisors LP,
0G15HV-E,Schonfeld Strategic Advisors LLC,
002H2Z-E,Hartford Investment Management Co.,
0D8QQB-E,"Raymond James Financial Services Advisors, Inc.",
002NC8-E,"ICON Advisers, Inc.",
00D703-E,Parallax Volatility Advisers LP,
05ZYBJ-E,Barclays Capital Securities Ltd.,
002HR9-E,Capital International SARL,
006SNJ-E,Research Affiliates LLC,
002HXZ-E,Teachers Retirement System of the State of Kentucky,
0074HR-E,PNC Investments LLC,
06C5QC-E,BlueMountain Capital Management LLC,
05ZP03-E,Dimensional Fund Advisors Ltd.,
001YX3-E,"Securian Asset Management, Inc.",
002GSB-E,"Miller/Howard Investments, Inc.",
002HLZ-E,NISA Investment Advisors LLC,
0C04XM-E,Ziegler Capital Management LLC,
06G6QV-E,361 Capital LLC,
05FYYC-E,Deka Investment GmbH,
0019KF-E,"CIBC Asset Management, Inc.",
06Z4N0-E,Guggenheim Partners Investment Management LLC,
009S8T-E,"Ameritas Investment Partners, Inc.",
0D203N-E,Merian Global Investors (UK) Ltd.,
000L3V-E,"Grantham, Mayo, Van Otterloo & Co. LLC",
0D9273-E,Redpoint Investment Management Pty Ltd.,
00D01J-E,"Cohen Capital Management, Inc. (California)",
00GFHN-E,Aberdeen Standard Capital Ltd.,
00CX44-E,DBX Advisors LLC,
004B51-E,American Assets Investment Management LLC,
05HDD9-E,Manulife Asset Management (Hong Kong) Ltd.,
0KMSQT-E,Wealthfront Advisers LLC,
0032WN-E,DuPont Capital Management Corp.,
099NQD-E,FIL Pensions Management,
05FWFM-E,Premier Fund Managers Ltd.,
0DH2NF-E,MML Investment Advisers LLC,
0612GZ-E,The Public Sector Pension Investment Board,
002GL7-E,New Mexico Educational Retirement Board,
06LD0Q-E,Invesco Asset Management Deutschland GmbH,
0DV7C1-E,Vident Investment Advisory LLC,
05KCT8-E,Baloise Asset Management Schweiz AG,
002HRC-E,"Crossmark Global Investments, Inc.",
0DZ853-E,Wellington Management Singapore Pte Ltd.,
06149J-E,South Dakota Investment Council,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)",
05SP7S-E,Banque Cantonale Vaudoise (Investment Management),
05FVVM-E,ProFund Advisors LLC,
0FK1JV-E,Sawtooth Solutions LLC,
07KW7X-E,"Legal & General Investment Management America, Inc.",
002GGK-E,Rampart Investment Management Co. LLC,
006VKP-E,Macquarie Capital Investment Management LLC,
05G975-E,Danske Bank A/S (Investment Management),
06TMWC-E,Natixis Investment Managers International SA,
00FDDB-E,HRT Financial LLC,
0631M3-E,IFM Investors Pty Ltd.,
0G7PZK-E,Arca Fondi SGR SpA,
0GK9D1-E,D.A. Davidson & Co. (Investment Management),
0076JN-E,Capital Fund Management SA,
074MNH-E,"World Asset Management, Inc.",
00D3JM-E,Simplex Trading LLC,
0DNBZ2-E,Cubist Systematic Strategies LLC,
07NMMQ-E,Neuberger Berman Investment Advisers LLC,
0CZR1K-E,Edgestream Partners LP,
05K1YC-E,Eurizon Capital SA,
006230-E,Mizuho Securities USA LLC,
00CZN8-E,State Street Global Advisors Ireland Ltd.,
05LQ04-E,Kentucky Retirement Systems,
0JK8HH-E,Danske Bank A/S (Investment Management Sweden),
0JJVHD-E,"Ruane, Cunniff & Goldfarb LP",
073Q04-E,"Cutter & Co. Brokerage, Inc. (Investment Management)",
05GXG4-E,OP Asset Management Ltd.,
008K0W-E,United Capital Financial Advisers LLC,
05FW8P-E,CPR Asset Management SA,
0DV738-E,Pacad Investment Ltd.,
0CN24P-E,City National Rochdale LLC,
06Z0SL-E,Macquarie Investment Management Global Ltd.,
0HWFTZ-E,ExodusPoint Capital Management LP,
002FPX-E,Pennsylvania Public School Employees Retirement System,
0DYG40-E,Amica Mutual Insurance Co. (Investment Portfolio),
002GGR-E,Sentry Investment Management LLC,
07HQ1Z-E,HighTower Advisors LLC,
0G1ZW0-E,BMO Family Office LLC,
0B1Z1C-E,Assenagon Asset Management SA (Germany),
06QP03-E,LÌ´n & Spar Bank A/S (Investment Management),
05V81Q-E,State Street Global Advisors (Japan) Co. Ltd.,
0G1KQH-E,Degroof Petercam Asset Management SA,
05FL7Y-E,Wolverine Trading LLC,
06Q1B4-E,BlackRock (Singapore) Ltd.,
05GNGN-E,"Wilmington Trust Investment Advisors, Inc.",
0011MX-E,Glenmede Investment Management LP,
0GXZ6H-E,Machina Capital SAS,
0H2G9Y-E,Aberdeen Investment Solutions Ltd.,
004G3H-E,Peak6 Capital Management LLC,
05FW5X-E,BNP Paribas Asset Management France SAS,
0KMSNB-E,Farmers & Merchants Trust Co. of Long Beach (Invt Mgmt),
005P98-E,"Manchester Financial, Inc.",
060DTF-E,"Mirae Asset Global Investments Co., Ltd.",
05K7SL-E,LLB Asset Management AG,
0DLDNG-E,Dynamic Technology Lab Pte Ltd.,
0G68G4-E,O'Shares Investment Advisers LLC,
07QM1L-E,Tower Research Capital LLC,
05FW1Q-E,"The Moneypaper Advisor, Inc.",
06CCRX-E,Louisiana State Employees' Retirement System,
005N9V-E,Jane Street Capital LLC,
05L8NW-E,SEI Investments Canada Co.,
0GH8XH-E,Qube Research & Technologies Ltd.,
0DL9MD-E,KCS Wealth Advisory LLC,
05J6QK-E,"Los Angeles Capital Management & Equity Research, Inc.",
002J3B-E,OakBrook Investments LLC,
0C2W36-E,Voloridge Investment Management LLC,
0C86GB-E,BFSG LLC,
05PW13-E,Macquarie Investment Management Austria Kapitalanlage AG,
00BQTC-E,LS Investment Advisors LLC,
0049MP-E,RegentAtlantic Capital LLC,
0G7J03-E,"Trilogy Capital, Inc.",
002L8H-E,"CIBC Private Wealth Advisors, Inc.",
0J8GKZ-E,Seeyond SA,
002MDL-E,Systematic Financial Management LP,
0071NH-E,MML Investors Services LLC,
002GVY-E,"Thrivent Investment Management, Inc.",
009S80-E,"First Republic Investment Management, Inc.",
001JJ6-E,"Kornitzer Capital Management, Inc.",
003C27-E,Wilmington Funds Management Corp.,
002YD0-E,First Foundation Advisors,
002LY6-E,Teacher Retirement System of Texas,
0D2W16-E,Cetera Advisor Networks LLC,
0DF26R-E,Mutual Advisors LLC,
0FB3YK-E,Merrill Lynch International (Investment Management),
05PKND-E,"Clark Capital Management Group, Inc.",
001LWP-E,Everett Harris & Co.,
0CKMWR-E,"Cambridge Investment Research Advisors, Inc.",
0FL6WR-E,Allianz Global Investors Asia Pacific Ltd.,
0KZD7B-E,"TIAA, FSB (Investment Management)",
0074DB-E,Jump Trading LLC,
0C39C1-E,"Hanson McClain, Inc.",
00787Y-E,Violich Capital Management,
003RRD-E,Susquehanna Financial Group LLLP,
07SJYN-E,Group One Trading LP,
05KZN7-E,"CIBC World Markets, Inc.",
075NT7-E,OxFORD Asset Management LLP,
05K5TW-E,Sanlam Investment Management (Pty) Ltd.,
002GTP-E,Gateway Investment Advisers LLC,
06D2PY-E,"Securities America Advisors, Inc.",
061DXL-E,"State Street Global Advisors, Australia, Ltd.",
006THN-E,Cetera Advisors LLC,
0618KM-E,Employees Retirement System of Texas,
0038VG-E,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,
002HHC-E,Austin Atlantic Asset Management Co.,
006ZH9-E,"Advisors Asset Management, Inc.",
05LZ44-E,"Nexus Investment Management, Inc.",
0BZXX2-E,Guggenheim Funds Investment Advisors LLC,
006W17-E,Zebra Capital Management LLC,
05G5RD-E,FIL Investment Management (Hong Kong) Ltd.,
05H68V-E,JPMorgan Asset Management (Japan) Ltd.,
08FL1V-E,Tibra Capital Pty Ltd.,
0D5X11-E,Skandia Investment Management AB,
0CZNZJ-E,Private Advisor Group LLC,
05J57J-E,DZ PRIVATBANK SA,
05KSHP-E,Callan LLC,
0DDLFQ-E,Janney Montgomery Scott LLC (Investment Management),
05GVB9-E,E. ÌÐhman J :or Fonder AB,
0DJQBS-E,"Oppenheimer & Co., Inc. (Wealth Management)",
05G352-E,"Hussman Strategic Advisors, Inc.",
0GKB9B-E,Achmea Investment Management BV,
05JBJD-E,Nykredit Bank A/S (Investment Management),
05GRNK-E,"ClearArc Capital, Inc.",
00B4HZ-E,Global X Management Co. LLC,
003L7H-E,"Foster & Motley, Inc.",
07HF58-E,Nordea Investment Management AB (Finland),
002HGT-E,"SunTrust Banks, Inc. (Wealth Management)",
002HRL-E,"Cigna Investments, Inc.",
05HM07-E,State Street Global Advisors Ltd. (Canada),
0080QY-E,GSA Capital Partners LLP,
0C5CZX-E,Beacon Pointe Advisors LLC,
06F30L-E,RB Capital Management LLC,
0GFY4W-E,Tech Square Trading LP,
07GBC6-E,"Mercer Global Advisors, Inc.",
0CYFP7-E,Squar Milner Financial Services LLC,
0012DH-E,"Everence Capital Management, Inc.",
05HF98-E,FIL Gestion SASU,
09SCX6-E,LMR Partners LLP,
005HYK-E,The PrivateBank & Trust Co. (Investment Management),
0FFZ67-E,Jyske Bank A/S (Investment Management),
05FW6P-E,HSBC Global Asset Management (France) SA,
0C2FJ3-E,"Pettee Investors, Inc.",
0FJWF8-E,Teza Capital Management LLC,
002H6W-E,"Lawson Kroeker Investment Management, Inc.",
0CTN67-E,Skandinaviska Enskilda Banken AB (Denmark),
05HX0B-E,Russell Investments Ltd.,
009119-E,"ValMark Advisers, Inc.",
00BQKM-E,Old Mission Capital LLC,
0DVJ4H-E,BlackRock Asset Management Schweiz AG,
05P8JC-E,Degroof Petercam Asset Services SA,
066XHG-E,Marshall Wace North America LP,
0B4476-E,Ossiam SA,
0717BB-E,Clifford Swan Investment Counsel LLC,
00D13P-E,"First Allied Advisory Services, Inc.",
05STRL-E,Meiji Yasuda Asset Management Co. Ltd.,
00FYV6-E,Landscape Capital Management LLC,
0D2CW0-E,BB&T Securities LLC,
06QGX5-E,"Nomura Securities Co., Ltd. (Private Banking)",
0H2YCC-E,"Wedbush Securities, Inc. (Investment Management)",
05H8J8-E,Goldman Sachs Asset Management International,
0D7YRS-E,Hancock Whitney Bank (Investment Management),
05X6XR-E,Veritable LP,
05G696-E,Union Investment Institutional GmbH,
004VF9-E,Security National Trust Co.,
002G4S-E,"Private Asset Management, Inc.",
0DRH69-E,COMMERZBANK AG (Investment Management),
0CSMC3-E,The Investment House LLC,
0C3H65-E,"Mitchell, McLeod, Pugh & Williams, Inc.",
05HLZQ-E,Old Mutual Investment Group (Pty) Ltd.,
