Factset Entity ID,Fund Name,Discrepancy Column
04CMB0-E,T Rowe Price Diversified Mid Cap Growth Fund,Incorrect: style aum eaum 
04CJF5-E,Schwab Small Cap Equity Fund,Incorrect: style eaum 
04BGJW-E,Franklin Small Mid Cap Growth Vip Fund,Incorrect: style eaum 
04BBD2-E,Hartford Small Company Hls Fund,Incorrect: style eaum 
04BHNJ-E,Vanguard Variable Insurance - Mid Cap Index Portfolio,Incorrect: aum eaum 
04B9ZJ-E,Fidelity Trend Fund,Incorrect: style eaum 
04CY8P-E,Mfs Equity Opportunities Fund,Incorrect: style eaum 
04BDQV-E,Sunamerica Series Trust - Sa Mfs Blue Chip Growth Portfolio,Incorrect: style eaum 
04CRX3-E,Axa/janus Enterprise Portfolio,Incorrect: style eaum 
04BGR1-E,Janus Aspen Ser. - Vit Global Research Portfolio,Incorrect: style eaum 
04C1WY-E,Rbc Private World Equity Pool,Incorrect: style eaum 
04HHP8-E,Large Cap Index Master Portfolio,Incorrect: eaum 
04BGQR-E,Janus Aspen Ser. - Vit Research Portfolio,Incorrect: style eaum 
04J3C0-E,Fidelity Advisor Series I - Series Equity Growth Fund,Incorrect: style eaum 
04FMF7-E,Xtrackers - S&p 500 Swap Ucits Etf,Incorrect: aum eaum 
04FVP2-E,Vanguard Russell 1000 Growth Index Fund,Incorrect: aum eaum 
04J43N-E,Blackrock International Alpha Tilts Fund,Incorrect: style aum eaum 
04DM9P-E,Ftif Sicav - Franklin World Perspectives Fund,Incorrect: style eaum 
04BHQ3-E,Hartford Small Company Fund,Incorrect: style eaum 
04DG1K-E,Fidelity Series All Sector Equity Fund,Incorrect: style eaum 
04KJWC-E,Fidelity Small Cap Growth K6 Fund,Incorrect: style eaum 
04DCVZ-E,Nationwide Vit - Multi Manager Large Cap Value Fund,Incorrect: style aum eaum 
04HPLT-E,Carmignac Portfolio - Investissement,Incorrect: style aum eaum 
04HKKC-E,Ishares Iii Plc - Core Msci World Ucits Etf,Incorrect: aum eaum 
04BFGS-E,Axa Large Cap Core Managed Volatility Portfolio,Incorrect: style eaum 
04BJQD-E,Profunds - Internet Ultrasector,Incorrect: aum eaum 
04KC4Q-E,Victory Rs Select Growth Fund,Incorrect: eaum 
04B9KV-E,Fidelity Advisor Diversified Stock Fund,Incorrect: style eaum 
04D2J6-E,Norges Bank Foreign Exchange Reserves,Incorrect: style eaum 
04H3H6-E,Fidelity Covington Tr. - Msci Information Technology Index Etf,Incorrect: aum eaum 
04GD85-E,John Hancock Iii - Us Quality Growth Fund,Incorrect: style eaum 
04KV0V-E,Robeco Inst. Umb. - Qi Global Developed Momentum Eq.,Incorrect: style eaum 
04CW4F-E,Clough Global Opportunities Fund,Incorrect: aum eaum 
04G24W-E,Blackrock Isf - Ishares Developed World Index Fund (ie),Incorrect: eaum 
04BCGS-E,Nationwide Fund,Incorrect: style aum eaum 
04D2WM-E,China Amc Global Selective Fund,Incorrect: aum eaum 
04CPT8-E,Nissay Asset Nissay Putnam Overseas Equity Mother Fund,Incorrect: style eaum 
04CGDL-E,Jpmorgan Intrepid America Fund,Incorrect: eaum 
04BJHP-E,Wanger Select Fund,Incorrect: style eaum turnover 
04C46M-E,Eaton Vance Tax Managed Multi Cap Growth Portfolio,Incorrect: eaum 
04CDHZ-E,Canada Pension Plan,Incorrect: style eaum 
04CC86-E,Fjarde Ap Fonden,Incorrect: eaum 
04B9HL-E,Fidelity Advisor Series Vii - Technology Fund,Incorrect: style eaum 
04CC88-E,Tredje Ap Fonden,Incorrect: eaum 
04CNH1-E,Fidelity Advisor Series I - Mid Cap Ii Fund,Incorrect: style eaum 
04CZKH-E,Xtrackers - Msci Usa Swap Ucits Etf,Incorrect: eaum 
04BGR4-E,Janus Aspen Ser. - Vit Global Technology Portfolio,Incorrect: style eaum 
04HNC9-E,Blackstone Alternative Multi Strategy Fund,Incorrect: eaum 
04BK0V-E,Jnl/mellon Capital Information Technology Sector Fund,Incorrect: aum eaum turnover 
04D2N5-E,Franklin Select Us Equity Fund,Incorrect: style eaum 
04D6M6-E,Vanguard Total World Stock Index Fund,Incorrect: aum eaum 
04BDF9-E,Sunamerica Series Trust - Sa Invesco Growth Opp. Port.,Incorrect: style eaum 
04BFSZ-E,Lincoln Vip - Blended Large Cap Growth Managed Volatility Fund,Incorrect: style eaum 
04BJ2T-E,Schwab Total Stock Market Index Fund,Incorrect: style eaum 
04GSZZ-E,Fidelity Series Opportunistic Insights Fund,Incorrect: eaum 
04JLVH-E,Swisscanto (ch) Ipf I - Equity Fund World Enhanced,Incorrect: style eaum 
04BGLP-E,Sunamerica Series Trust - Sa Jpmorgan Mid Cap Growth Portfolio,Incorrect: style eaum 
04K199-E,Mfs Blended Research Mid Cap Equity Fund,Incorrect: style eaum 
04BF3K-E,Vanguard Tax Managed Capital Appreciation Fund,Incorrect: aum eaum 
04DCVY-E,Nationwide Vit - Multi Manager Large Cap Growth Fund,Incorrect: style aum eaum 
04BGWH-E,Vanguard Ftse Social Index Fund,Incorrect: aum eaum 
04BHD4-E,Ishares Tr. - Russell 3000 Etf,Incorrect: aum eaum 
04BQ2M-E,Bridgeway Aggressive Investors I Fund,Incorrect: aum eaum 
04BZ2M-E,Vy T Rowe Price Diversified Mid Cap Growth Portfolio,Incorrect: style eaum 
04CTBZ-E,Ubs Us Equity Alpha Relationship Fund,Incorrect: style eaum 
04BJ2S-E,Schwab 1000 Index Fund,Incorrect: eaum 
04GHXL-E,St. James's Place Unit Trust - Global Equity,Incorrect: style eaum 
04BH4C-E,Brighthouse/wellington Balanced Portfolio,Incorrect: style eaum 
04HNFQ-E,Vanguard International Shares Index Fund,Incorrect: aum eaum 
04JJ06-E,Vanguard Msci Index International Shares Etf,Incorrect: aum eaum 
04C8WP-E,Challenge Funds - International Equity Fund,Incorrect: style eaum turnover 
04C78C-E,Putnam Small Cap Growth Fund,Incorrect: eaum 
04CJXR-E,Lord Abbett Invt. Tr. - Convertible Fund,Incorrect: style eaum 
04BG4L-E,Hartford Quality Value Fund,Incorrect: eaum 
04CC89-E,Andra Ap Fonden,Incorrect: eaum 
04BPM8-E,Principal Variable Contract - Small Cap Blend Account,Incorrect: style aum eaum 
04BR3Y-E,Ubs (lux) Equity Fund - Mid Caps Usa (usd),Incorrect: style eaum 
04BF35-E,Value Line Asset Allocation Fund,Incorrect: style eaum 
04D5TJ-E,London Life Global Equity Fund,Incorrect: style eaum 
04DS3D-E,Vanguard Invt. Fds. Icvc - Us Equity Index Fund,Incorrect: aum eaum 
04CS8H-E,New Zealand Superannuation Fund,Incorrect: style eaum 
04CZKJ-E,Xtrackers - Msci World Swap Ucits Etf,Incorrect: eaum 
04KC4L-E,Victory Rs Science & Technology Fund,Incorrect: style eaum 
04G7D6-E,Jpmorgan Global Allocation Fund,Incorrect: style eaum 
04CMY4-E,Ishares Tr. - Morningstar Mid Cap Growth Etf,Incorrect: aum eaum 
04G9GH-E,Blackrock Scientific International Equity Fund,Incorrect: style aum eaum 
04DC17-E,Royal London Equity Funds Icvc - Us Tracker Fund,Incorrect: style aum eaum 
04B8G1-E,Invesco Global Small & Mid Cap Growth Fund,Incorrect: style eaum 
04K2Z4-E,Guardian Large Cap Disciplined Growth Vip Fund,Incorrect: style eaum 
04BPDF-E,Invesco V.i. Mid Cap Growth Fund,Incorrect: style eaum 
04BT26-E,Harbor Mid Cap Growth Fund,Incorrect: eaum 
04F1L1-E,John Hancock Ii - Technical Opportunities Fund,Incorrect: style eaum 
04JF51-E,Vanguard Russell 1000 Growth Index Trust,Incorrect: aum eaum 
04CYDH-E,Bmo Private Us Special Equity Portfolio,Incorrect: style aum eaum 
04K3Q2-E,Ishares Iv Plc - Digitalisation Ucits Etf,Incorrect: eaum 
04JQR1-E,Robeco Umbrella Fund I Nv - Qi Glb. Multi-factor Equities,Incorrect: style eaum 
04DVXD-E,Janus Henderson Us Managed Volatility Fund,Incorrect: style eaum 
04C2BH-E,Vanguard Investment Series Plc - Global Stock Index Fund,Incorrect: aum eaum 
04KZT2-E,Jss Investmentfonds - Sustainable Tech Disruptors,Incorrect: style 
04BGPC-E,Valic Company I - Science & Technology Fund,Incorrect: eaum 
04HD57-E,Fidelity Us All Cap Fund,Incorrect: style eaum 
04BFSB-E,Massmutual Select Small Cap Growth Equity Fund,Incorrect: style eaum 
04BQ3G-E,State Farm Equity Fund,Incorrect: style eaum 
04HYHK-E,Xtrackers (ie) Plc - Msci Usa Ucits Etf,Incorrect: aum eaum 
04BFB0-E,Lincoln Vip - T Rowe Price Structured Mid Cap Growth Fund,Incorrect: style eaum 
04KJK2-E,Fidelity Contrafund K6,Incorrect: style eaum 
04H2W3-E,Fidelity Advisor Series I - Growth Opportunities Fund,Incorrect: style eaum 
04GZ5V-E,Blackrock Master Value Opportunities Llc,Incorrect: style eaum 
04GTG4-E,Spdr Ssga Us Large Cap Low Volatility Index Etf,Incorrect: aum eaum 
04CTRK-E,John Hancock Ii - Us Growth Fund,Incorrect: style eaum 
04DR1F-E,Desjardins American Equity Growth Fund,Incorrect: style eaum 
04GM70-E,Us Market Rotation Strategy Etf,Incorrect: style eaum 
04F7XR-E,Convergence Core Plus Fund,Incorrect: eaum 
04BBTG-E,"Blackrock Advantage Global Fund, Inc.",Incorrect: style eaum 
04HL75-E,Ubs Life - Global Equity All Country Fund,Incorrect: style eaum 
04BTY1-E,Northwestern Mutual-large Cap Core Stock Portfolio,Incorrect: style eaum 
04C46N-E,Eaton Vance Stock Portfolio,Incorrect: style eaum 
04JP49-E,American Beacon Bridgeway Large Cap Growth Fund,Incorrect: style eaum 
04CSLG-E,Mercer Funds - Us Small/mid Cap Equity Fund,Incorrect: style aum eaum 
04H0HK-E,Hsbc Opportunity Portfolio,Incorrect: style eaum 
04CX8Z-E,Invesco Ftse Rafi Us 1500 Small Mid Etf,Incorrect: aum eaum 
04GW7N-E,Gs Funds - Global Millennials Equity Portfolio,Incorrect: style eaum 
04D614-E,Dfa Ta Us Core Equity 2 Portfolio,Incorrect: eaum 
04BQJ7-E,Prudential Series - Sp Prudential Us Emerging Growth Portfolio,Incorrect: style eaum 
04D0H4-E,Russell Global Equity Fund,Incorrect: style eaum 
04L108-E,New Capital Ucits Fund Plc - Us Future Leaders Fund,
04BNQR-E,Goldman Sachs Vit - Mid Cap Value Fund,Incorrect: style eaum 
04BVYD-E,Ishares Tr. - Expanded Tech Sector Etf,Incorrect: aum eaum 
04DPTV-E,John Hancock Ii - Small Cap Stock Fund,Incorrect: style eaum 
04L09B-E,Eq/mfs Technology Portfolio,Incorrect: style 
04BFB8-E,Blackrock Advantage Large Cap Core V.i. Fund,Incorrect: style eaum 
04H05M-E,Spdr Portfolio Small Cap Etf,Incorrect: aum eaum 
04D34K-E,Ishares Tr. - Msci Acwi Etf,Incorrect: eaum 
04D996-E,Multi Manager Access - Us Equities,Incorrect: style eaum 
04BPB1-E,Fidelity Vip Iii - Balanced Portfolio,Incorrect: style eaum 
04JJMC-E,Artemis Investment Funds Icvc - Us Absolute Return,Incorrect: style aum eaum 
04J7DK-E,Blackrock Acs I - Us Equity Tracker Fund,Incorrect: style eaum 
04BGZ1-E,T Rowe Price Extended Equity Market Index Fund,Incorrect: aum eaum 
04HJCY-E,Vanguard Total Stock Market Index Trust,Incorrect: aum eaum 
04F1T5-E,Vanguard Investment Series Plc - Global Small Cap Index Fund,Incorrect: aum eaum 
04CDJX-E,Royal London Us Growth Trust,Incorrect: style eaum 
04BFXX-E,Russell Tax Managed Us Mid & Small Cap Fund,Incorrect: style eaum 
04KJW8-E,Fidelity Blue Chip Growth K6 Fund,Incorrect: style eaum 
04GV7F-E,Sei Institutional Invt. Trust - Extended Market Index Fund,Incorrect: aum eaum 
04HL62-E,Ubs Life - Usa Equity Tracker Fund,Incorrect: eaum 
04BL00-E,Legal & General Us Index Trust,Incorrect: eaum 
04DQY1-E,Voya Russell Mid Cap Index Portfolio,Incorrect: aum eaum 
04CTSL-E,Valic Company I - Small Mid Growth Fund,Incorrect: style eaum 
04BTYM-E,Pacific Select Fund - Technology Portfolio,Incorrect: eaum 
04G6RQ-E,Ast Wellington Mngt. Hedged Equity Port.,Incorrect: style eaum 
04BXTS-E,Pinebridge Global Funds - Dynamic Asset Allocation Fund,Incorrect: style eaum 
04BZ8S-E,Mainstay Vp - Mackay Mid Cap Core Portfolio,Incorrect: style eaum 
