,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
3559,G&S Capital LLC,2747.0,0.38051444,"GS Investments, Inc.",25190,3374452.0,-160.67,-159.47,,
3560,MRA Associates USA LLC,2729.0,0.37802108,MRA Associates USA LLC,2729,365577.0,0,3.35,,
3561,Girard Investment Services LLC,2728.0,0.37788256,"AR Asset Management, Inc.",13800,1848648.0,-133.98,-132.11,,
3562,AlphaStar Capital Management LLC,2720.0,0.3767744,AlphaStar Capital Management LLC,2720,364371.0,0,3.35,,
3563,Pacific Center for Financial Services,2719.0,0.37663588,The Pacific Center for Financial Services,2719,364237.0,0,3.35,,
3564,Actinver Wealth Management Inc.,2711.0,0.37552772,"Actinver Wealth Management, Inc.",2711,363166.0,0,3.35,,
3565,Eurobank Mutual Fund Management Co.,2700.0,0.374004,Capital Fund Management SA,182313,24422649.0,-194.16,-193.97,,
3566,Arnhold LLC,2700.0,0.374004,Arnhold LLC,2700,361692.0,0,3.35,,
3567,PARAGON Wealth Strategies LLC.,2699.0,0.37386548,PARAGON Wealth Strategies LLC,2699,361558.0,0,3.35,,
3568,Whitefoord Ltd.,2698.0,0.37372696,Whitefoord LLP,2698,318202.0,0,16.05,,
3569,Camarda Financial Advisors LLC,2677.0,0.37081804,Camarda Financial Advisors LLC,2677,358611.0,0,3.35,,
3570,Sound Income Strategies LLC,2660.0,0.3684632,Sound Income Strategies LLC,2660,356334.0,0,3.35,,
3571,Symphonic Financial Advisors LLC,2657.0,0.36804764,Symphonic Financial Advisors LLC,2657,355932.0,0,3.35,,
3572,Cabot Wealth Management Inc.,2656.0,0.36790912,"Cabot Wealth Management, Inc.",2656,355798.0,0,3.35,,
3573,Carosa Stanton Asset Management LLC,2650.0,0.367078,Carosa Stanton Asset Management LLC,2650,346090.0,0,5.89,,
3574,RAM Active Investments SA,2614.0,0.36209128,RAM Active Investments SA,382,51173.0,149.0,150.47,,
3575,Capital Asset Advisory Services LLC,2570.0,0.35599640000000005,Capital Investment Advisory Services LLC,23296,3120732.0,-160.26,-159.04,,
3576,Horan Securities Inc.,2565.0,0.3553038,"HORAN Securities, Inc.",2565,343607.0,0,3.35,,
3577,M.A. Greenwood & Associates Inc.,2550.0,0.35322600000000004,Greenwood Capital Associates LLC,107297,14373506.0,-190.71,-190.41,,
3578,Sentinel Trust Co LBA,2544.0,0.35239488,Sentinel Trust Co.,2544,340794.0,0,3.35,,
3579,Foster Victor Wealth Advisors LLC,2541.0,0.35197932,Foster Victor Wealth Advisors LLC,2541,340392.0,0,3.35,,
