factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating
001ZRD-E,Blue Ridge Capital LLC (New York),0,Hedge Fund,Medium,0,0
0020GL-E,Vanguard Fiduciary Trust Co.,187125,Growth,Very Low,25457.16854,80
0020WJ-E,"DePrince, Race & Zollo, Inc.",0,Yield,Low,4010.083222,72
0021HG-E,Chartwell Investment Partners LLC,37200,Quant,Medium,3407.210654,46
0022CW-E,"Foresters Investment Management Co., Inc.",17700,GARP,Low,6486.869003,73
0023WY-E,"Talon Asset Management, Inc.",0,Undefined,Medium,0,0
00245B-E,Scoggin Management LP,0,Hedge Fund,Medium,468.282587,38
0024MZ-E,Capital Guardian Trust Co.,2661,GARP,Low,7480.2418,74
0024Q5-E,"Capital International, Inc.",0,GARP,Very Low,843.872038,64
0024VM-E,Cowen & Co. LLC,0,Undefined,Very High,330.701494,30
0025QG-E,Old National Bank (Investment Management),33576,GARP,Very Low,2008.010058,68
002656-E,Carlson Capital LP,0,Hedge Fund,High,10855.56843,43
0029RK-E,"Edge Asset Management, Inc.",0,GARP,Medium,0,0
002B3Q-E,New York State Common Retirement Fund,539100,Index,Very Low,78990.46916,89
002BFN-E,Old Second National Bank,207,GARP,Very Low,281.403991,54
002BSH-E,Eaton Vance Management,174575,GARP,Very Low,44075.51613,89
002BZT-E,Dubuque Bank & Trust Co.,0,Value,Very Low,622.851701,58
002C1K-E,Regents of the University of California,10200,Growth,Medium,54.87871,43
002CDB-E,First Trust Advisors LP,530000,Index,Low,52117.42429,82
002CHW-E,Smith Asset Management Group LP,0,Growth,Medium,3433.481356,61
002CS5-E,Highfields Capital Management LP,0,Hedge Fund,Very Low,3646.46074,63
002CVM-E,"Mazama Capital Management, Inc.",0,Growth,Medium,0,0
002D10-E,"WHV Investments, Inc.",0,Value,Medium,0,0
002D6G-E,"Sit Investment Associates, Inc.",0,GARP,Low,3268.608069,66
002DFS-E,Maverick Capital Ltd.,19010,Hedge Fund,High,9540.867559,41
002DRR-E,California State Teachers' Retirement System,351203,Index,Very Low,49520.12351,87
002F4J-E,Perkins Investment Management LLC,0,Value,Very Low,3137.030516,82
002FGZ-E,I. G. Investment Management Ltd.,0,Yield,Medium,0,0
002FH8-E,Royal Trust Corp. of Canada,0,Yield,Very Low,129.51094,52
002FP3-E,"United Bank, Inc.",0,Yield,Medium,0,0
002FPX-E,Pennsylvania Public School Employees Retirement System,12840,GARP,Low,6428.627383,64
002FQB-E,F.L. Putnam Investment Management Co.,33698,GARP,Very Low,1235.679535,70
002FTH-E,M&G Investment Management Ltd.,445000,Value,Low,11553.86247,70
002FV9-E,"Aster Investment Management Co., Inc.",0,Undefined,Medium,0,0
002FVQ-E,Egerton Capital (UK) LLP,0,Hedge Fund,Medium,18615.54009,58
002FZ2-E,"Beach Investment Counsel, Inc.",1661,GARP,Very Low,915.893927,69
002G25-E,Cambiar Investors LLC,0,GARP,Low,5225.997259,76
002G2B-E,Chilton Capital Management LLC,3529,GARP,Very Low,1201.490417,70
002G2M-E,First Community Bank Trust & Financial Services Division,0,Undefined,Medium,0,0
002G44-E,"Gillespie, Robinson & Grimm, Inc.",0,GARP,Very Low,833.57563,73
002G4S-E,"Private Asset Management, Inc.",0,Yield,Very Low,569.992762,64
002G53-E,Tocqueville Asset Management LP,75829,GARP,Low,8255.882829,72
002G5X-E,Numeric Investors LLC,0,Quant,Medium,18141.43917,54
002G6D-E,"Bahl & Gaynor, Inc.",1313060,Yield,Very Low,10951.64674,83
002G77-E,"P. J. Schmidt Investment Management, Inc.",0,Yield,Very Low,348.23016,61
002G7F-E,"MB Financial Bank, NA (Trust Department)",364,GARP,Very Low,851.19247,63
002G7V-E,"Dillon & Associates, Inc.",48940,GARP,Very Low,310.166576,64
