FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
05WS3T-E,AMI Asset Management Corp.,
002G53-E,Tocqueville Asset Management LP,
0085C3-E,"Bruce & Co., Inc.",
002PM8-E,"Financial Counselors, Inc.",
001JK7-E,"Matrix Asset Advisors, Inc.",
0C8Q2P-E,Raub Brock Capital Management LP,Discrepancy: turnover 
003PK2-E,Trilogy Global Advisors LP,
05FW5X-E,BNP Paribas Asset Management France SAS,
002M0F-E,"S & Co., Inc.",
0025QG-E,Old National Bank (Investment Management),
0CVCK1-E,"Pacer Advisors, Inc.",
002K53-E,"Badgley, Phelps & Bell, Inc.",
05TNJM-E,"Baltimore-Washington Financial Advisors, Inc.",
06JZJ9-E,Alberta Investment Management Corp.,
002P1V-E,"Opus Investment Management, Inc.",
05LVBC-E,Frontier Investment Management Co.,
06KVT6-E,Crow Point Partners LLC,
05FWF7-E,Franklin Templeton Investment Management Ltd.,
0098L8-E,South Street Advisors LLC,
0D203N-E,Merian Global Investors (UK) Ltd.,
0034T6-E,Woodmont Investment Counsel LLC,
05FW8R-E,Milleis Investissements SA,
06R3TX-E,Sabal Trust Co.,
006X3X-E,"Exchange Capital Management, Inc.",
0C8P9T-E,Hedeker Wealth LLC,
000WX0-E,State of Wisconsin Investment Board,
002P34-E,The Caisse de dépôt et placement du Québec,
00577F-E,Gabelli Funds LLC,
001ZTT-E,SouthernSun Asset Management LLC,
05HMTP-E,Sprucegrove Investment Management Ltd.,
0DYG3Z-E,Factory Mutual Insurance Co. (Investment Portfolio),
0DKM72-E,Michigan Department of Treasury (Investment Management),
002H99-E,"Check Capital Management, Inc.",
05HP6D-E,AMP Capital Investors Ltd.,
002LLQ-E,Acadian Asset Management LLC,
001XT4-E,"DWS Investment Management Americas, Inc.",
002GRZ-E,"Harvard Management Co., Inc.",
002L86-E,C. S. McKee LP,
006840-E,"Morgan Stanley Investment Management, Inc.",
0CHF7N-E,Dynamo Internacional Gestão de Recursos Ltda.,
002JHW-E,Sterling Capital Management LLC,
002H8D-E,"Tirschwell & Loewy, Inc.",
002H13-E,"Schwartz Investment Counsel, Inc.",
002KNN-E,Templeton Asset Management Ltd. (Hong Kong),
05FWLH-E,"Aberdeen Standard Investments, Inc.",
002TMZ-E,Sawgrass Asset Management LLC,Discrepancy: turnover 
