FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
06PKY7-E,AustralianSuper Pty Ltd.,
073RD0-E,Banca d'Italia (Investment Portfolio),
002HJB-E,BlackRock Advisors LLC,
08DLP8-E,BlackRock Asset Management Canada Ltd.,
06L8XD-E,BlackRock Investment Management LLC,
05G6C9-E,C WorldWide Asset Management Fondsmæglerselskab A/S,
09YDZ6-E,Cincinnati Financial Corp. (Investment Portfolio),
0C7CGL-E,"Creative Planning, Inc.",
001PBJ-E,"Eagle Asset Management, Inc.",
061S4H-E,Generation Investment Management LLP,
06GQJC-E,ICICI Prudential Life Insurance Co. Ltd. (Invt Port),
05PCMH-E,Impax Asset Management Ltd.,
0034MV-E,Invesco Canada Ltd.,
00B346-E,LPL Financial LLC,
002GJ2-E,Marathon Asset Management LLP,
0049MN-E,Principal Real Estate Investors LLC,
002K96-E,Putnam Investment Management LLC,
06F5NK-E,RBC Capital Markets LLC (Investment Management),
00GLD1-E,Roundwood Asset Management LLC,
002J7T-E,Schroder Investment Management Ltd.,
0F1YTS-E,Swan Global Management LLC,
0CK7WP-E,Tesco Pension Investment Ltd.,
002JWC-E,Winslow Capital Management LLC,
060XWW-E,ASR Nederland NV (Investment Company),
05FWLG-E,Aberdeen Standard Investments (Asia) Ltd.,
0H9DCJ-E,Adventist Health System Sunbelt Healthcare Corp. (Invt Mgmt),
000TGV-E,"Amundi Pioneer Asset Management, Inc.",
05SG74-E,"Asset Management One Co., Ltd.",
09QWRD-E,BNP PARIBAS ASSET MANAGEMENT Belgium (Germany),
002G6D-E,"Bahl & Gaynor, Inc.",
000DPG-E,Brave Warrior Advisors LLC,
00FBTX-E,Broad Run Investment Management LLC,
05FW75-E,Comgest SA,
001M0W-E,Cooke & Bieler LP,
0DCX79-E,DWS Investment GmbH,
002GYZ-E,"Disciplined Growth Investors, Inc.",
0645TX-E,"Envestnet Asset Management, Inc.",
05YQZJ-E,"Epoch Investment Partners, Inc.",
05FWKC-E,FIL Investment Advisors (UK) Ltd.,
0049LH-E,Geode Capital Management LLC,
0JJTR6-E,H&H International Investment LLC,
06SHF5-E,Harvest Fund Advisors LLC,
002HB7-E,Hotchkis & Wiley Capital Management LLC,
069ZFJ-E,Legg Mason Asset Management (Australia) Ltd.,
0DH2NF-E,MML Investment Advisers LLC,
05J8GQ-E,Macquarie Investment Management Europe SA,
0089SY-E,"Matson Money, Inc.",
003NJ3-E,Mawer Investment Management Ltd.,
002JSD-E,Newton Investment Management Ltd.,
05L9XV-E,PGGM Vermogensbeheer BV,Discrepancy: aum 
002HH2-E,Provident Trust Co.,
06YXZ7-E,Pzena Investment Management LLC,
0BJ0LD-E,"RBC Global Asset Management, Inc.",
