FactSet Fund ID,Fund_name,AI_Targeting vs. Profile Page
04BY47-E,Nbi Global Equity Fund,
04B96Q-E,"Bny Mellon Large Cap Securities Fund, Inc.",
04G9F9-E,Dws Rreef Real Assets Fund,
04FCCX-E,Wells Fargo Premier Large Company Growth Fund,
04CMHV-E,Voya Investors Trust - Large Cap Growth Portfolio,
04BFV4-E,Voya Investors Trust - T Rowe Price Capital Appreciation Port.,
04DJL7-E,John Hancock Iii - Disciplined Value Fund,
04BJQZ-E,Franklin Mutual Ser. Fds. - Shares Fund,
04CQV3-E,Jpmorgan Value Advantage Fund,
04GLSG-E,Fidelity Funds Sicav - Global Dividend Fund,
04CDVS-E,Tiaa-cref Large Cap Value Fund,
04CYSY-E,Pictet - Security,
04BKBM-E,Fidelity Equity Dividend Income Fund,
04BJP4-E,Franklin Mutual Ser. Fds. - Beacon Fund,
04CDFL-E,Manulife Monthly High Income Fund,
04FH61-E,Oppenheimer Steelpath Mlp Select 40 Fund,
04BGVB-E,Ast Hotchkis & Wiley Large Cap Value Portfolio,
04CLFZ-E,Columbia Variable Portfolio-select Large Cap Value Fund,
04G808-E,Principal Investors - Small Mid Cap Dividend Income Fund,
04BDWV-E,American Century Value Fund,
04BVLX-E,Brighthouse Funds Trust I - T Rowe Price Large Cap Value Port.,
04BC70-E,Neuberger Berman Genesis Fund,
04FVQ5-E,Robeco Boston Partners Long/short Research Fund,
04BHNV-E,Prudential Investment Port. Inc. - Pgim Jennison Growth Fund,
04C0WZ-E,Robeco Global Stars Equities Fund Nv,
04CXH8-E,St. James's Place Unit Trust - Worldwide Opportunities,
04BGGH-E,Jnl/t Rowe Price Mid Cap Growth Series,
04BNTZ-E,Artisan Mid Cap Fund,
04BGMT-E,American Century Income & Growth Fund,
04BHB8-E,Ivy Mid Cap Growth Fund,
04BNWK-E,Clearbridge Mid Cap Core Fund,
04BFDG-E,Brighthouse Fds. Tr. Ii - T Rowe Price Large Cap Growth Port.,
04F97N-E,Jpmorgan Access Balanced Fund,
04BR64-E,Bny Mellon Research Growth Fund Inc.,
04H139-E,Aqr Style Premia Alternative Fund,
04C9YY-E,Liontrust Sustainable Future Icvc - Managed Fund,
04BJK4-E,Vanguard Strategic Equity Fund,
04BBHH-E,Janus Henderson Growth & Income Fund,
04HN70-E,Rbc Global Equity Focus Fund,
04D50R-E,Blackrock Global Dividend Portfolio,
04BQKV-E,American Funds Insurance Series - Growth Income Fund,
04BNVH-E,Columbia Select Mid Cap Value Fund,
04CQ2B-E,Primecap Odyssey Growth Fund,
04B8KC-E,American Funds New Economy Fund,
04CH8D-E,Deka - Br 100,
04BQ4Y-E,Massmutual Select Mid Cap Growth Fund,
04BHQ9-E,Hartford Core Equity Fund,
