contact_id,factset_person_id,discrepancy
57d38c9491aea376a7b7f6f7,07CTZN-E,
57d38c6d91aea376a7b73879,05YX6N-E,
57d38c8491aea376a7b7a78c,06THYW-E,
,,
,,
57d38cfd91aea376a7b9f8fa,0GHFT6-E,
5a0630515890ddad1fe94693,0HLZ4F-E,
,,
,06TGL3-E,
57d38cfb91aea376a7b9deb6,05K7KW-E,
,,
57d38cfd91aea376a7b9f8ff,0GHFTT-E,
57d38cfe91aea376a7b9fc25,0GHNS4-E,
,0GHNHR-E,
57d38c6591aea376a7b71bad,05PD8M-E,
,09SKC8-E,
5a5212cf5890ddad1f6d3c4a,05Z01M-E,
,,
57d38cfe91aea376a7b9fb75,06VHDH-E,
57d38cce91aea376a7b902f6,0D56ZH-E,
,,
,,
57d38cfb91aea376a7b9df07,06KD14-E,
57d38cfc91aea376a7b9ed15,05KPYC-E,
57d38c6491aea376a7b70f56,05LDLT-E, --- [0] value 
57d38cfd91aea376a7b9f7c5,0GH4FH-E,
57d38cc091aea376a7b8cb46,0CJDF5-E,
,,
57d38cfe91aea376a7b9fc14,0GHN42-E,
57d38cdf91aea376a7b95bb6,0FBNPL-E,
57d38cc091aea376a7b8cb33,0CJCTT-E,
,,
57d38c6b91aea376a7b72c41,05V5VQ-E, --- [0] value 
57d38c6291aea376a7b70048,05K7TX-E,
5a0631d65890ddad1fe9c545,0HLXQ9-E, --- [0] value  --- [0] value 
57d38c6d91aea376a7b738d7,05Z068-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,,
,,
5876121ec6f2f2bd34c5dc75,0GRGXT-E,
,,
57d38c6e91aea376a7b7445c,061JBX-E,
57d38cfb91aea376a7b9deed,0653CB-E,
,,
57d38c8491aea376a7b7a763,06TGN7-E,
,0CW532-E,
5a46c9655890ddad1f0b1d46,0HTC2S-E,
,,
5b7c2ae3a9277392a6eaf0a9,06NYCG-E,
57d38cce91aea376a7b901f7,0D55WY-E,
57d38cd591aea376a7b92415,0DJH6L-E,
57d38c6391aea376a7b70929,05KNFQ-E,
,,
57d38c8e91aea376a7b7deaf,075GM9-E, --- [0] value 
,,
57d38c9e91aea376a7b82a50,082XFT-E,
57d38cb591aea376a7b891c9,0BVYBH-E,
57d38c6291aea376a7b6fe8f,05K4JK-E,
57d38ced91aea376a7b9a380,0G7DC9-E,
,05G8TT-E,
,,
57d38c6b91aea376a7b72bb6,05V30G-E,
57d38cb591aea376a7b8918a,0BVT5F-E,
57d38c6491aea376a7b70ca4,05L3B2-E,
57d38c5991aea376a7b6e048,05DW0X-E,
