factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,,,,
07GYMP-E,36 South Investment Managers Ltd.,,,,,,,
077CF5-E,360 Asset Management Ltd.,,,,,,,
078N3T-E,360 Asset Managers SA,,,,,,,
0DN6Q1-E,360 Capital Group /Real Estate/,,,,,,,
0DVW3M-E,360 Capital Investment Management Ltd.,,GARP,,,,,
07BNT4-E,360 Global Capital LLC,,,,,,,
0KPYSW-E,360 Innovation Capital,,,,,,,
0HY0X4-E,360 Tec SA De CV,,,,,,,
0CFRQZ-E,360 Wealth Management Group,,,,,,,
0743PX-E,360? Capital Management SA,,,,,,,
07G25X-E,360HIXANCE AM SAS,,Yield,,,,,
0HHQKK-E,360ip Japan KK,,,,,,,
06G6QV-E,361 Capital LLC,,Growth,,,,,
0JDPPG-E,365.fintech as,,,,,,,
06HPSL-E,36ONE Asset Management (Pty) Ltd.,,Growth,,,,,
0GB0ZF-E,37 Angels LLC,,,,,,,
0CS9YR-E,37 Ventures LLC,,,,,,,
0HFV91-E,37.37 North Capital LLC,,,,,,,
0KJXZ2-E,37celsius Capital Partners LLC,,,,,,,
0CZ91S-E,38X Investment Partners SAS,,,,,,,
0K6B9G-E,39 North Capital LLC,,,,,,,
06NBVJ-E,3A (Asia) Ltd.,,,,,,,
06J01L-E,3A SA,,,,,,,
0GLMFT-E,3A Venture SAS,,,,,,,
0KK8V3-E,3B Ventures IVS,,,,,,,
0C7B7X-E,3bg Advisors & Managers Pvt Ltd.,,,,,,,
0036B9-E,3Bridge Capital LLC,,,,,,,
05KSKY-E,3C Asset Management Oy,,,,,,,
05FBTD-E,"3Com Ventures, Inc.",,,,,,,
0085VZ-E,"3D Asset Management, Inc.",,Aggressive Growth,,,,,
0J7DKT-E,3D Capital Partners Ltd.,,,,,,,
0G6JW8-E,3D Investment Partners Pte Ltd.,,,Aggressive Growth,,,,
0DF3F0-E,3D Printing Fund Advisers LLC,,GARP,,,,,
0FZ08Q-E,3E Bioventures,,,,,,,
0KBSKL-E,3E Capital Partners GmbH,,,,,,,
0G1X88-E,3EDGE Asset Management LP,,Deep Value,,,,,
0BRYXN-E,3G Capital Gestora de Recursos Ltda.,,,,,,,
0D9SH8-E,3G Capital Management LLC,,,,,,,
009VM4-E,3G Capital Partners LP (New York),,GARP,,,,,
06ZVL3-E,3G Capital Partners Ltd. (Private Equity),,,,,,,
0F9218-E,3G Radar Gestora de Recursos Ltda.,,,Yield,,,,
0FYSTB-E,3i Asia Ltd. (Singapore),,,,,,,
05TP7K-E,3i BIFM Investments Ltd.,,,,,,,
0CBGRN-E,3i Brasil Assessoria de Investimentos Ltda.,,,,,,,
076VZY-E,3i Capital Group,,,,,,,
0CZRW5-E,3i Corp.,,,,,,,
05JSHR-E,3i Deutschland Gesellschaft fur Industriebeteiligungen mbH,,,,,,,
0G0JN1-E,3i Europe Plc (France),,,,,,,
05ZB8F-E,3i Europe Plc (Sucursal en Espana),,,,,,,
0B15RP-E,3i Europe Plc Benelux,,,,,,,
05VBGM-E,3i Finland Oy,,,,,,,
05SB3M-E,3i Gestion SA,,,,,,,
0BYW0G-E,3i India Pvt Ltd.,,,,,,,
06RLB3-E,3i Infrastructure,,,,,,,
0GZZ18-E,3i Infrastructure (France),,,,,,,
003L0P-E,3i Investments Plc,,,,,,,
06MHMF-E,3i Nordic Plc,,,,,,,
06RL63-E,3i Private Equity,,,,,,,
0H2MH4-E,3i Private Equity /France/,,,,,,,
06RMZH-E,3i Quoted Private Equity,,,,,,,
06LQ94-E,3i Schweiz AG,,,,,,,
0648Q0-E,3i US,,,,,,,
06RLK1-E,3i Venture Capital,,,,,,,
05NNSF-E,3K INVESTMENT PARTNERS M.F.M.C SA,,GARP,,,,,
00DV58-E,3K LP,,,,,,,
0HB035-E,3L Capital LLC,,,,,,,
0755XP-E,3L Investment LLP,,,,,,,
0HBT1Q-E,3LB Seed Capital SRL,,,,,,,
0JCKJ4-E,3lines LLC,,,,,,,
09GLZQ-E,3M New Ventures,,,,,,,
0K8F8S-E,3M Ventures,,,,,,,
0G31WB-E,3one4capital Advisors LLP,,,,,,,
0DFXWZ-E,3P Capital LLC,,,,,,,
0DLST1-E,3P Equity Partners LLC,,,,,,,
0FSX98-E,3R Gestora de Recursos Ltda.,,,,,,,
0G2RCF-E,3rd Prime Capital LLC,,,,,,,
0JWNQ0-E,3rodeo Partners LLC,,,,,,,
0KKB9C-E,3sisters Sustainable Management /Private Equity/,,,,,,,
06R88Z-E,3Stone Advisors LLC,,,,,,,
0GGD3V-E,3T Invest AB,,,,,,,
0HNSB3-E,3TS Capital Partners (Austria),,,,,,,
0C749C-E,3TS Capital Partners (Czech Republic),,,,,,,
0HNSBZ-E,3TS Capital Partners (Hungary),,,,,,,
0HNSCS-E,3TS Capital Partners (Romania),,,,,,,
0HNSHL-E,3TS Capital Partners (Turkey),,,,,,,
0HNSK0-E,3TS Capital Partners (US),,,,,,,
05MD9W-E,3TS Capital Partners Oy,,,,,,,
08HSQ1-E,3TS SRO,,,,,,,
072Z01-E,3TS Venture Partners Sp zoo,,,,,,,
05LMFH-E,3V Asset Management AG,,Yield,,,,,
06GYFB-E,3V Capital Ltd.,,,,,,,
0090P5-E,3V Capital Management LLC,,,,,,,
06BDH2-E,3V SourceOne Capital Pte Ltd,,,,,,,
0FJW0B-E,3W Fund Management Ltd.,,Yield,,,,,
0H3VC1-E,3W Partners Capital (HK) Ltd.,,,,,,,
0H0H7L-E,3W Partners LLC,,,,,,,
09Y9LB-E,3Way Markets Ltd.,,,,,,,
0CTJGJ-E,3x5 Partners LLC,,,,,,,
0FB7J7-E,4 A Securities Ltd.,,,,,,,
0FK3W0-E,4 Catalyzer Corp.,,,,,,,
00DR00-E,40 North Management LLC,,GARP,,,,,
05J6YK-E,"40/86 Advisors, Inc.",,GARP,,,,,
07NR21-E,400 Capital Management LLC,,,,,,,
0JM9L5-E,400 Capital Management LLC (Private Equity),,,,,,,
073P0Z-E,"401 Capital Partners, Inc.",,,,,,,
05VHY9-E,401k Extra LLC,,,,,,,
0CZS1X-E,402 Capital LLC,,GARP,,,,,
0H68W3-E,408 Ventures LLC,,,,,,,
0DR4WR-E,414 Capital Inc.,,,,,,,
0GZQ7N-E,41an Invest AB,,,,,,,
0DVV30-E,42 Investment Advisory Group LLC,,Yield,,,,,
0C6BBM-E,42 Ventures LLC,,,,,,,
0GSZFZ-E,42CAP Manager GmbH,,,,,,,
0HY79X-E,42k Investimentos,,,,,,,
0CSD2Z-E,43 Private Equity Group LLC,,,,,,,
00C84J-E,440 Investment Group LLC,,Growth,,,,,
0D25BB-E,4490 Ventures Management LLC,,,,,,,
0HZC2R-E,44north Ventures LLC,,,,,,,
0D2RGD-E,451 Research LLC,,,,,,,
05NPJH-E,452 Capital Pty Ltd.,,,,,,,
0GYMRS-E,4612 Group LLC,,,,,,,
0HSG37-E,4bio Capital Partners,,,,,,,
0HSDZ0-E,4bio Ventures Management Ltd.,,,,,,,
0FS5WC-E,4C Capital LLC,,,,,,,
06WGG2-E,4C Ventures,,,,,,,
09LG3C-E,4CAST GmbH,,,,,,,
0F174M-E,"4Cast, Inc.",,,,,,,
060C9G-E,4D Global Energy Advisors SAS,,,,,,,
0GJW1Q-E,4D Infrastructure Pty Ltd.,,,,,,,
0B15BS-E,4D Innovative Capital International Ltd.,,,,,,,
0DRRKY-E,4D Wealth Management (Pty) Ltd.,,GARP,,,,,
0JB58D-E,4DX Ventures Management LLC,,,,,,,
0JL9F7-E,4FO Ventures Partners,,,,,,,
0FWXTM-E,4G Ventures LLC,,,,,,,
0KJJ7G-E,4i Capital Partners OOO,,,,,,,
0JC3HH-E,4impact.vc,,,,,,,
09S71N-E,4IP Management AG,,,,,,,
0DY12F-E,4k Invest International Ltd.,,,,,,,
0KJXXJ-E,4Point9 Capital Advisors LLP,,,,,,,
071SF9-E,4th Level Ventures Ltd.,,,,,,,
0D0L21-E,5 M Ventures SAS,,,,,,,
0FFLXP-E,5 Prime Ventures,,,,,,,
0FMFND-E,"5 Star Life Insurance Co., Inc. (Investment Portfolio)",,,,,,,
07ZBCV-E,5:15 Capital Management LLC,,,,,,,
0FZWSV-E,50 Partners Gestion SARL,,,,,,,
0FJW3F-E,50 South Capital Advisors LLC,,,,,,,
09Z9PF-E,500 Startups Management Co LLC,,,,,,,
0FWB30-E,50K Ventures,,,,,,,
05MD9X-E,5280 Partners LLC,,,,,,,
06TCHS-E,52nd Street Capital Advisors LLC,,,,,,,
0KQP28-E,55 Catalyst Capital LP,,,,,,,
0CW73N-E,55 North Capital Partners Ltd. (Russia),,,,,,,
0053BB-E,"550 Digital Media Ventures, Inc.",,,,,,,
0D8QVB-E,56CUBE SRL,,,,,,,
063XZ1-E,57 Stars LLC,,,,,,,
0KZ5SY-E,574 Invest SASU,,,,,,,
06BJYL-E,5AM Venture Management LLC,,,,,,,
0KK21Y-E,5CS Partners Management BV,,,,,,,
0CQ7YS-E,"5i Research, Inc.",,,,,,,
0G0BPP-E,5Lights LLC,,,,,,,
0G0HKK-E,5Lion Holdings LLC,,,,,,,
062DRP-E,5Square BV,,,,,,,
0DQVK8-E,5V Capital Pty Ltd.,,,,,,,
0DWB1Z-E,6 Dimensions Capital,,,,,,,
0GLG4K-E,6 Meridian LLC,,Growth,,,,,
0HVCMQ-E,600 Mile Challenge Fund,,,,,,,
0FQH81-E,62 Mile Ventures LLC,,,,,,,
0DQ3W8-E,645 Ventures Management LLC,,,,,,,
009JPV-E,683 Capital Management LLC,,GARP,,,,,
0CLF7V-E,7 Capital LLC,,,,,,,
0H151P-E,7 Gate Ventures,,,,,,,
0J7Y1M-E,7 Global Capital GP SARL,,,,,,,
