factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,Discrepancy Source
007Z6X-E,Ruby Capital Partners LLP,,,N/A,N/A
007ZNR-E,ORN Capital LLP,,,N/A,N/A
0080MN-E,Lathrop Investment Management Corp.,,GARP,N/A,N/A
00832N-E,Perry Capital UK LLP,,,N/A,N/A
0085KN-E,Levin Capital Strategies LP,,Value,N/A,N/A
008G02-E,Armory Advisors LLC,,,N/A,N/A
05W0VS-E,"GSN North America, Inc.",,,N/A,N/A
05W660-E,Threadneedle Capital Management Ltd.,,,N/A,N/A
05W7HP-E,Opportunite Luxembourg SA,,,N/A,N/A
05W9CN-E,Shiozumi Asset Management Co. Ltd.,,GARP,N/A,N/A
05W9GF-E,Verlagsgesellschaft Madsack (Beteiligungen),,,N/A,N/A
05WBMR-E,Mortimer & Chua Pty Ltd.,,,N/A,N/A
05WG0Z-E,Slavia Capital AS (Private Equity),,,N/A,N/A
07FLWG-E,Liontrust Investments Ltd.,,GARP,N/A,N/A
07FRW0-E,Barclaytrust (Suisse) SA,,,N/A,N/A
07FSS7-E,Biotech Coaching SA,,,N/A,N/A
07G5PM-E,Dalton Investments KK,,,N/A,N/A
07G7JL-E,Peak Partners SA,,,N/A,N/A
07GDM0-E,Nalanda Capital Pte Ltd.,,,N/A,N/A
07GJ01-E,Eporgen SpA,,,N/A,N/A
07GQ5B-E,Mcgraw-Hill (Malaysia) Sdn. Bhd.,,,N/A,N/A
07GVW2-E,Cardinalasia Consulting Ltd.,,,N/A,N/A
07GXF7-E,Ergon Capital Advisors Spain SLU,,,N/A,N/A
08HC2J-E,Grepalife Asset Management Corp.,,GARP,N/A,N/A
08HFKP-E,DWS Grundbesitz GmbH,,GARP,N/A,N/A
08HVYX-E,Karn Merchant Bankers Ltd.,,,N/A,N/A
0BZHGN-E,Inveni Secondaries Management Oy,,,N/A,N/A
0BZJVJ-E,Rexiter Capital Management Ltd. (Boston),,,N/A,N/A
0C04W4-E,First Avenue Investment Management (Pty) Ltd.,,GARP,N/A,N/A
0C0C97-E,"Index Venture Management (US), Inc.",,,N/A,N/A
0C0GBH-E,Finance In Motion GmbH,,,N/A,N/A
0DH18G-E,Rockshelter Capital Management LLC,,GARP,N/A,N/A
0DH19N-E,Sanchez Wealth Management Group LLC,,Growth,N/A,N/A
0DHGV7-E,Standard Chartered Securities N.A. LLC,,,N/A,N/A
0DHLHM-E,"JNT Ventures, Inc.",,,N/A,N/A
0FKLQL-E,Dymon Asia Capital Pte Ltd,,,N/A,N/A
0FKQ2C-E,Inflection Ventures Ltd.,,,N/A,N/A
0FKV9R-E,IWC Investment Partners AS,,,N/A,N/A
0G9D99-E,Shorewood Capital LLC,,,N/A,N/A
0G9SS5-E,Ke Nako (Pty) Ltd.,,,N/A,N/A
0G9VCS-E,Blockhouse Capital Management LP,,Deep Value,N/A,N/A
0G9WL4-E,Rudra Shares & Stock Brokers Ltd.,,,N/A,N/A
0GB1R4-E,CIBC World Markets Corp. (Research),,,N/A,N/A
0GB3K1-E,Gullspang Invest AB,,,N/A,N/A
0HBMY7-E,Surplus Ventures,,,N/A,N/A
0HBNBB-E,Angels 3.0 LLC,,,N/A,N/A
0J9VNL-E,M-1 Ventures,,,N/A,N/A
00GLK4-E,"Godshalk Welsh Capital Management, Inc.",,GARP,N/A,N/A
06N0H3-E,Drum Capital Management LLC,,,N/A,N/A
06N2RP-E,Groupe des Assurances du Credit Mutuel SA,,Yield,N/A,N/A
06N34H-E,Meago Asset Managers (Pty) Ltd.,,GARP,N/A,N/A
06N79X-E,Sino Grade Securities Ltd.,,,N/A,N/A
06NCWV-E,Intermonte BCC Private Equity SGR SpA,,,N/A,N/A
06NGVY-E,Global Founders Capital Management GmbH,,,N/A,N/A
06NK08-E,HBK Europe Management LLP,,,N/A,N/A
06NQHQ-E,Titan Bioventures Management Pty (UK) Ltd.,,,N/A,N/A
06NRJC-E,Hilltop Park Associates LLC,,Growth,N/A,N/A
06NT3T-E,Interward Asset Management Ltd.,,,N/A,N/A
06NV3P-E,Intrinsic Value Investors (IVI) LLP,,GARP,N/A,N/A
06NYFK-E,Akros Alternative Investment SGR SpA,,,N/A,N/A
06P053-E,Cambridge Associates LLC,,GARP,N/A,N/A
09NMP1-E,Yatir Investments Sanilevich Ltd.,,,N/A,N/A
09NWZD-E,Lightbank LLC,,,N/A,N/A
09P678-E,Element Capital Management LLC,,Value,N/A,N/A
09P6ZN-E,Haute-Savoie Demain SA,,,N/A,N/A
09P8C5-E,BNP PARIBAS ASSET MANAGEMENT Netherlands NV,,Yield,N/A,N/A
09QCRJ-E,Stena Finance AB,,,N/A,N/A
0C81VK-E,Markiewicz & Co. Pty Ltd.,,,N/A,N/A
0C82F4-E,Kessler Investment Group LLC,,GARP,N/A,N/A
0C86G2-E,Bermuda Investment Advisory Services Ltd.,,,N/A,N/A
0C86VQ-E,Hadrons Capital Partners Sdn. Bhd.,,,N/A,N/A
065WMM-E,Nanotech Partners Ltd.,,,N/A,N/A
0661ZC-E,"OMERS Private Equity, Inc.",,,N/A,N/A
0664FV-E,TIF Ventures Pte Ltd.,,,N/A,N/A
066JLK-E,Grazia Equity GmbH,,,N/A,N/A
066Q4V-E,Kenzo KK,,,N/A,N/A
066XHG-E,Marshall Wace North America LP,,,N/A,N/A
06771W-E,"Sagaponack Management Co. , Inc.",,,N/A,N/A
06790X-E,Cornerstone Investment Counsel Ltd.,,,N/A,N/A
067BJS-E,New Century Advisors LLC,,Deep Value,N/A,N/A
067FNJ-E,Wesray Capital Corp.,,,N/A,N/A
