factset_fund_id,style,turnover_label,Discrepancy Column,Discrepancy Source
04B9NK-E,Aggressive Growth,Very Low,,
04B9NN-E,,Very Low,,
04B9NP-E,Deep Value,Very Low,,
04B9NQ-E,,Medium,,
04B9NR-E,,Low,,
04B9NV-E,Growth,Very Low,,
04B9NW-E,Growth,Very Low,,
04B9NZ-E,,Very High,,
04B9P0-E,Growth,Low,,
04B9P5-E,,Medium,,
04B9PB-E,Growth,High,,
04B9PJ-E,,High,,
04B9PQ-E,,Very Low,,
04B9PS-E,Yield,Very Low,,
04B9PZ-E,Yield,Very Low,,
04B9Q0-E,Growth,Low,,
04B9Q1-E,,Very High,,
04B9Q2-E,,High,,
04B9Q5-E,Growth,Very Low,,
04B9Q6-E,Value,Low,,
04B9QD-E,Aggressive Growth,Very Low,,
04B9QF-E,,,,
04B9QH-E,Growth,Very Low,,
04B9QJ-E,Yield,Very Low,,
04B9QP-E,Growth,Very Low,,
04B9QW-E,Yield,Very Low,,
04B9QZ-E,GARP,Very Low,,
04B9R0-E,,Low,,
04B9R1-E,Value,Very Low,,
04B9R2-E,,Medium,,
04B9R5-E,,Medium,,
04B9RF-E,Value,Very Low,,
04B9RH-E,,High,,
04B9RJ-E,,,,
04B9RP-E,,Low,,
04B9RQ-E,,Medium,,
04B9RT-E,,Very Low,,
04B9RV-E,Growth,Low,,
04B9RW-E,,,,
04B9RY-E,Index,Low,,
04B9RZ-E,,Low,,
04B9S2-E,,Medium,,
04B9S3-E,,Medium,,
04B9S7-E,Yield,Low,,
04B9S8-E,,Low,,
04B9S9-E,Value,Very Low,,
04B9SC-E,,Low,,
04B9SJ-E,,Low,,
04B9SL-E,,Low,,
04B9SP-E,Value,Very Low,,
04B9SW-E,Growth,Very Low,,
04B9T1-E,Growth,Very Low,,
04B9T2-E,Growth,Very Low,,
04B9T3-E,Aggressive Growth,Very Low,,
04B9T4-E,,Low,,
04B9TC-E,,Medium,,
04B9TH-E,Value,Very Low,,
04B9TJ-E,Growth,Very Low,,
04B9TM-E,Value,Low,,
04B9TN-E,,Medium,,
04B9TQ-E,Aggressive Growth,Very Low,,
04B9TY-E,Growth,Very Low,,
04B9TZ-E,Value,Medium,,
04B9V0-E,Growth,Low,,
04B9V2-E,,Low,,
04B9V4-E,Growth,Very Low,,
04B9V7-E,,,,
04B9V8-E,,Low,,
04B9V9-E,Value,Very Low,,
04B9VD-E,Growth,Very Low,,
04B9VF-E,Yield,Low,,
04B9VG-E,Yield,Very Low,,
04B9VH-E,Yield,Very Low,,
04B9VL-E,,Very Low,,
04B9VQ-E,,Medium,,
04B9VS-E,Deep Value,Very Low,,
04B9VW-E,,Medium,,
04B9W4-E,,Low,,
04B9W9-E,Deep Value,Very Low,,
04B9WB-E,GARP,Very Low,,
04B9WC-E,Value,Very Low,,
04B9WD-E,Value,Very Low,,
04B9WG-E,,Very High,,
04B9WJ-E,Value,Very Low,,
